축제명,그룹명,개최년도,구분명,지표값
순창장류축제,축제기간,2025,외부방문자 유입,0.702
순창장류축제,축제기간,2025,현지인방문자 유입,0.893
순창장류축제,축제기간,2025,내비게이션 검색량,0.8
순창장류축제,축제기간,2025,관광소비,0.443
순창장류축제,축제기간,2025,축제지 집중률,0.972
순창장류축제,비축제기간,2025,외부방문자 유입,0.47
순창장류축제,비축제기간,2025,현지인방문자 유입,0.677
순창장류축제,비축제기간,2025,내비게이션 검색량,0.337
순창장류축제,비축제기간,2025,관광소비,0.493
순창장류축제,비축제기간,2025,축제지 집중률,0.663
순창장류축제,축제기간,2024,외부방문자 유입,0.886
순창장류축제,축제기간,2024,현지인방문자 유입,0.885
순창장류축제,축제기간,2024,내비게이션 검색량,0.829
순창장류축제,축제기간,2024,관광소비,0.518
순창장류축제,축제기간,2024,축제지 집중률,0.906
순창장류축제,비축제기간,2024,외부방문자 유입,0.574
순창장류축제,비축제기간,2024,현지인방문자 유입,0.665
순창장류축제,비축제기간,2024,내비게이션 검색량,0.309
순창장류축제,비축제기간,2024,관광소비,0.509
순창장류축제,비축제기간,2024,축제지 집중률,0.679
순창장류축제,축제기간,2023,외부방문자 유입,0.718
순창장류축제,축제기간,2023,현지인방문자 유입,0.897
순창장류축제,축제기간,2023,내비게이션 검색량,0.758
순창장류축제,축제기간,2023,관광소비,0.53
순창장류축제,축제기간,2023,축제지 집중률,0.938
순창장류축제,비축제기간,2023,외부방문자 유입,0.515
순창장류축제,비축제기간,2023,현지인방문자 유입,0.593
순창장류축제,비축제기간,2023,내비게이션 검색량,0.442
순창장류축제,비축제기간,2023,관광소비,0.547
순창장류축제,비축제기간,2023,축제지 집중률,0.614
순창장류축제,축제기간,2022,외부방문자 유입,0.776
순창장류축제,축제기간,2022,현지인방문자 유입,0.908
순창장류축제,축제기간,2022,내비게이션 검색량,0.612
순창장류축제,축제기간,2022,관광소비,0.677
순창장류축제,축제기간,2022,축제지 집중률,0.949
순창장류축제,비축제기간,2022,외부방문자 유입,0.499
순창장류축제,비축제기간,2022,현지인방문자 유입,0.676
순창장류축제,비축제기간,2022,내비게이션 검색량,0.401
순창장류축제,비축제기간,2022,관광소비,0.659
순창장류축제,비축제기간,2022,축제지 집중률,0.653
순창장류축제,축제기간,2019,외부방문자 유입,0.753
순창장류축제,축제기간,2019,현지인방문자 유입,0.812
순창장류축제,축제기간,2019,내비게이션 검색량,0.75
순창장류축제,축제기간,2019,관광소비,0.675
순창장류축제,축제기간,2019,축제지 집중률,0.829
순창장류축제,비축제기간,2019,외부방문자 유입,0.437
순창장류축제,비축제기간,2019,현지인방문자 유입,0.619
순창장류축제,비축제기간,2019,내비게이션 검색량,0.401
순창장류축제,비축제기간,2019,관광소비,0.598
순창장류축제,비축제기간,2019,축제지 집중률,0.587
순창장류축제,축제기간,2018,외부방문자 유입,0.76
순창장류축제,축제기간,2018,현지인방문자 유입,0.916
순창장류축제,축제기간,2018,내비게이션 검색량,0.742
순창장류축제,축제기간,2018,관광소비,0.59
순창장류축제,축제기간,2018,축제지 집중률,0.902
순창장류축제,비축제기간,2018,외부방문자 유입,0.434
순창장류축제,비축제기간,2018,현지인방문자 유입,0.675
순창장류축제,비축제기간,2018,내비게이션 검색량,0.395
순창장류축제,비축제기간,2018,관광소비,0.576
순창장류축제,비축제기간,2018,축제지 집중률,0.621
