축제명,그룹명,개최년도,구분명,지표값
음성품바축제,축제기간,2025,외부방문자 유입,0.688
음성품바축제,축제기간,2025,현지인방문자 유입,0.929
음성품바축제,축제기간,2025,내비게이션 검색량,0.582
음성품바축제,축제기간,2025,관광소비,0.725
음성품바축제,축제기간,2025,축제지 집중률,0.79
음성품바축제,비축제기간,2025,외부방문자 유입,0.353
음성품바축제,비축제기간,2025,현지인방문자 유입,0.755
음성품바축제,비축제기간,2025,내비게이션 검색량,0.223
음성품바축제,비축제기간,2025,관광소비,0.721
음성품바축제,비축제기간,2025,축제지 집중률,0.457
음성품바축제,축제기간,2024,외부방문자 유입,0.612
음성품바축제,축제기간,2024,현지인방문자 유입,0.918
음성품바축제,축제기간,2024,내비게이션 검색량,0.562
음성품바축제,축제기간,2024,관광소비,0.769
음성품바축제,축제기간,2024,축제지 집중률,0.741
음성품바축제,비축제기간,2024,외부방문자 유입,0.294
음성품바축제,비축제기간,2024,현지인방문자 유입,0.74
음성품바축제,비축제기간,2024,내비게이션 검색량,0.227
음성품바축제,비축제기간,2024,관광소비,0.765
음성품바축제,비축제기간,2024,축제지 집중률,0.421
음성품바축제,축제기간,2023,외부방문자 유입,0.67
음성품바축제,축제기간,2023,현지인방문자 유입,0.942
음성품바축제,축제기간,2023,내비게이션 검색량,0.622
음성품바축제,축제기간,2023,관광소비,0.644
음성품바축제,축제기간,2023,축제지 집중률,0.832
음성품바축제,비축제기간,2023,외부방문자 유입,0.306
음성품바축제,비축제기간,2023,현지인방문자 유입,0.727
음성품바축제,비축제기간,2023,내비게이션 검색량,0.483
음성품바축제,비축제기간,2023,관광소비,0.623
음성품바축제,비축제기간,2023,축제지 집중률,0.428
음성품바축제,축제기간,2022,외부방문자 유입,0.665
음성품바축제,축제기간,2022,현지인방문자 유입,0.916
음성품바축제,축제기간,2022,내비게이션 검색량,0.628
음성품바축제,축제기간,2022,관광소비,0.77
음성품바축제,축제기간,2022,축제지 집중률,0.803
음성품바축제,비축제기간,2022,외부방문자 유입,0.272
음성품바축제,비축제기간,2022,현지인방문자 유입,0.704
음성품바축제,비축제기간,2022,내비게이션 검색량,0.299
음성품바축제,비축제기간,2022,관광소비,0.789
음성품바축제,비축제기간,2022,축제지 집중률,0.362
음성품바축제,축제기간,2019,외부방문자 유입,0.636
음성품바축제,축제기간,2019,현지인방문자 유입,0.921
음성품바축제,축제기간,2019,내비게이션 검색량,0.639
음성품바축제,축제기간,2019,관광소비,0.793
음성품바축제,축제기간,2019,축제지 집중률,0.797
음성품바축제,비축제기간,2019,외부방문자 유입,0.2
음성품바축제,비축제기간,2019,현지인방문자 유입,0.727
음성품바축제,비축제기간,2019,내비게이션 검색량,0.247
음성품바축제,비축제기간,2019,관광소비,0.755
음성품바축제,비축제기간,2019,축제지 집중률,0.335
음성품바축제,축제기간,2018,외부방문자 유입,0.625
음성품바축제,축제기간,2018,현지인방문자 유입,0.913
음성품바축제,축제기간,2018,내비게이션 검색량,0.566
음성품바축제,축제기간,2018,관광소비,0.766
음성품바축제,축제기간,2018,축제지 집중률,0.796
음성품바축제,비축제기간,2018,외부방문자 유입,0.213
음성품바축제,비축제기간,2018,현지인방문자 유입,0.716
음성품바축제,비축제기간,2018,내비게이션 검색량,0.218
음성품바축제,비축제기간,2018,관광소비,0.742
음성품바축제,비축제기간,2018,축제지 집중률,0.357
