축제명,그룹명,개최년도,구분명,지표값
울산옹기축제,축제기간,2025,외부방문자 유입,0.879
울산옹기축제,축제기간,2025,현지인방문자 유입,0.838
울산옹기축제,축제기간,2025,내비게이션 검색량,0.779
울산옹기축제,축제기간,2025,관광소비,0.878
울산옹기축제,축제기간,2025,축제지 집중률,0.965
울산옹기축제,비축제기간,2025,외부방문자 유입,0.395
울산옹기축제,비축제기간,2025,현지인방문자 유입,0.788
울산옹기축제,비축제기간,2025,내비게이션 검색량,0.28
울산옹기축제,비축제기간,2025,관광소비,0.692
울산옹기축제,비축제기간,2025,축제지 집중률,0.664
울산옹기축제,축제기간,2024,외부방문자 유입,0.746
울산옹기축제,축제기간,2024,현지인방문자 유입,0.812
울산옹기축제,축제기간,2024,내비게이션 검색량,0.681
울산옹기축제,축제기간,2024,관광소비,0.872
울산옹기축제,축제기간,2024,축제지 집중률,0.859
울산옹기축제,비축제기간,2024,외부방문자 유입,0.452
울산옹기축제,비축제기간,2024,현지인방문자 유입,0.828
울산옹기축제,비축제기간,2024,내비게이션 검색량,0.344
울산옹기축제,비축제기간,2024,관광소비,0.76
울산옹기축제,비축제기간,2024,축제지 집중률,0.667
울산옹기축제,축제기간,2023,외부방문자 유입,0.549
울산옹기축제,축제기간,2023,현지인방문자 유입,0.802
울산옹기축제,축제기간,2023,내비게이션 검색량,0.351
울산옹기축제,축제기간,2023,관광소비,0.748
울산옹기축제,축제기간,2023,축제지 집중률,0.756
울산옹기축제,비축제기간,2023,외부방문자 유입,0.538
울산옹기축제,비축제기간,2023,현지인방문자 유입,0.881
울산옹기축제,비축제기간,2023,내비게이션 검색량,0.388
울산옹기축제,비축제기간,2023,관광소비,0.765
울산옹기축제,비축제기간,2023,축제지 집중률,0.733
울산옹기축제,축제기간,2022,외부방문자 유입,0.812
울산옹기축제,축제기간,2022,현지인방문자 유입,0.914
울산옹기축제,축제기간,2022,내비게이션 검색량,0.717
울산옹기축제,축제기간,2022,관광소비,0.894
울산옹기축제,축제기간,2022,축제지 집중률,0.845
울산옹기축제,비축제기간,2022,외부방문자 유입,0.487
울산옹기축제,비축제기간,2022,현지인방문자 유입,0.832
울산옹기축제,비축제기간,2022,내비게이션 검색량,0.338
울산옹기축제,비축제기간,2022,관광소비,0.788
울산옹기축제,비축제기간,2022,축제지 집중률,0.58
울산옹기축제,축제기간,2019,외부방문자 유입,0.764
울산옹기축제,축제기간,2019,현지인방문자 유입,0.807
울산옹기축제,축제기간,2019,내비게이션 검색량,0.39
울산옹기축제,축제기간,2019,관광소비,0.798
울산옹기축제,축제기간,2019,축제지 집중률,0.975
울산옹기축제,비축제기간,2019,외부방문자 유입,0.444
울산옹기축제,비축제기간,2019,현지인방문자 유입,0.773
울산옹기축제,비축제기간,2019,내비게이션 검색량,0.189
울산옹기축제,비축제기간,2019,관광소비,0.671
울산옹기축제,비축제기간,2019,축제지 집중률,0.717
울산옹기축제,축제기간,2018,외부방문자 유입,0.646
울산옹기축제,축제기간,2018,현지인방문자 유입,0.844
울산옹기축제,축제기간,2018,내비게이션 검색량,0.549
울산옹기축제,축제기간,2018,관광소비,0.847
울산옹기축제,축제기간,2018,축제지 집중률,0.712
울산옹기축제,비축제기간,2018,외부방문자 유입,0.47
울산옹기축제,비축제기간,2018,현지인방문자 유입,0.879
울산옹기축제,비축제기간,2018,내비게이션 검색량,0.37
울산옹기축제,비축제기간,2018,관광소비,0.723
울산옹기축제,비축제기간,2018,축제지 집중률,0.618
