축제명,그룹명,개최년도,구분명,지표값
정선아리랑제,축제기간,2025,외부방문자 유입,0.408
정선아리랑제,축제기간,2025,현지인방문자 유입,0.948
정선아리랑제,축제기간,2025,내비게이션 검색량,0.246
정선아리랑제,축제기간,2025,관광소비,0.327
정선아리랑제,축제기간,2025,축제지 집중률,0.767
정선아리랑제,비축제기간,2025,외부방문자 유입,0.289
정선아리랑제,비축제기간,2025,현지인방문자 유입,0.728
정선아리랑제,비축제기간,2025,내비게이션 검색량,0.282
정선아리랑제,비축제기간,2025,관광소비,0.363
정선아리랑제,비축제기간,2025,축제지 집중률,0.534
정선아리랑제,축제기간,2024,외부방문자 유입,0.632
정선아리랑제,축제기간,2024,현지인방문자 유입,0.908
정선아리랑제,축제기간,2024,내비게이션 검색량,0.436
정선아리랑제,축제기간,2024,관광소비,0.492
정선아리랑제,축제기간,2024,축제지 집중률,0.865
정선아리랑제,비축제기간,2024,외부방문자 유입,0.317
정선아리랑제,비축제기간,2024,현지인방문자 유입,0.733
정선아리랑제,비축제기간,2024,내비게이션 검색량,0.218
정선아리랑제,비축제기간,2024,관광소비,0.383
정선아리랑제,비축제기간,2024,축제지 집중률,0.582
정선아리랑제,축제기간,2023,외부방문자 유입,0.39
정선아리랑제,축제기간,2023,현지인방문자 유입,0.927
정선아리랑제,축제기간,2023,내비게이션 검색량,0.216
정선아리랑제,축제기간,2023,관광소비,0.343
정선아리랑제,축제기간,2023,축제지 집중률,0.865
정선아리랑제,비축제기간,2023,외부방문자 유입,0.375
정선아리랑제,비축제기간,2023,현지인방문자 유입,0.712
정선아리랑제,비축제기간,2023,내비게이션 검색량,0.289
정선아리랑제,비축제기간,2023,관광소비,0.478
정선아리랑제,비축제기간,2023,축제지 집중률,0.64
정선아리랑제,축제기간,2022,외부방문자 유입,0.47
정선아리랑제,축제기간,2022,현지인방문자 유입,0.924
정선아리랑제,축제기간,2022,내비게이션 검색량,0.229
정선아리랑제,축제기간,2022,관광소비,0.351
정선아리랑제,축제기간,2022,축제지 집중률,0.884
정선아리랑제,비축제기간,2022,외부방문자 유입,0.389
정선아리랑제,비축제기간,2022,현지인방문자 유입,0.719
정선아리랑제,비축제기간,2022,내비게이션 검색량,0.28
정선아리랑제,비축제기간,2022,관광소비,0.469
정선아리랑제,비축제기간,2022,축제지 집중률,0.631
정선아리랑제,축제기간,2019,외부방문자 유입,0.421
정선아리랑제,축제기간,2019,현지인방문자 유입,0.911
정선아리랑제,축제기간,2019,내비게이션 검색량,0.309
정선아리랑제,축제기간,2019,관광소비,0.425
정선아리랑제,축제기간,2019,축제지 집중률,0.836
정선아리랑제,비축제기간,2019,외부방문자 유입,0.291
정선아리랑제,비축제기간,2019,현지인방문자 유입,0.648
정선아리랑제,비축제기간,2019,내비게이션 검색량,0.191
정선아리랑제,비축제기간,2019,관광소비,0.329
정선아리랑제,비축제기간,2019,축제지 집중률,0.643
정선아리랑제,축제기간,2018,외부방문자 유입,0.307
정선아리랑제,축제기간,2018,현지인방문자 유입,0.831
정선아리랑제,축제기간,2018,내비게이션 검색량,0.21
정선아리랑제,축제기간,2018,관광소비,0.289
정선아리랑제,축제기간,2018,축제지 집중률,0.64
정선아리랑제,비축제기간,2018,외부방문자 유입,0.263
정선아리랑제,비축제기간,2018,현지인방문자 유입,0.762
정선아리랑제,비축제기간,2018,내비게이션 검색량,0.144
정선아리랑제,비축제기간,2018,관광소비,0.265
정선아리랑제,비축제기간,2018,축제지 집중률,0.547
