축제명,그룹명,개최년도,구분명,지표값
영암왕인문화축제,축제기간,2024,외부방문자 유입,0.584
영암왕인문화축제,축제기간,2024,현지인방문자 유입,0.849
영암왕인문화축제,축제기간,2024,내비게이션 검색량,0.572
영암왕인문화축제,축제기간,2024,관광소비,0.74
영암왕인문화축제,축제기간,2024,축제지 집중률,0.712
영암왕인문화축제,비축제기간,2024,외부방문자 유입,0.138
영암왕인문화축제,비축제기간,2024,현지인방문자 유입,0.378
영암왕인문화축제,비축제기간,2024,내비게이션 검색량,0.08
영암왕인문화축제,비축제기간,2024,관광소비,0.668
영암왕인문화축제,비축제기간,2024,축제지 집중률,0.233
영암왕인문화축제,축제기간,2023,외부방문자 유입,0.697
영암왕인문화축제,축제기간,2023,현지인방문자 유입,0.876
영암왕인문화축제,축제기간,2023,내비게이션 검색량,0.661
영암왕인문화축제,축제기간,2023,관광소비,0.75
영암왕인문화축제,축제기간,2023,축제지 집중률,0.851
영암왕인문화축제,비축제기간,2023,외부방문자 유입,0.08
영암왕인문화축제,비축제기간,2023,현지인방문자 유입,0.28
영암왕인문화축제,비축제기간,2023,내비게이션 검색량,0.05
영암왕인문화축제,비축제기간,2023,관광소비,0.591
영암왕인문화축제,비축제기간,2023,축제지 집중률,0.169
영암왕인문화축제,축제기간,2022,외부방문자 유입,0.0
영암왕인문화축제,축제기간,2022,현지인방문자 유입,0.0
영암왕인문화축제,축제기간,2022,내비게이션 검색량,0.0
영암왕인문화축제,축제기간,2022,관광소비,0.0
영암왕인문화축제,축제기간,2022,축제지 집중률,0.0
영암왕인문화축제,비축제기간,2022,외부방문자 유입,0.0
영암왕인문화축제,비축제기간,2022,현지인방문자 유입,0.0
영암왕인문화축제,비축제기간,2022,내비게이션 검색량,0.0
영암왕인문화축제,비축제기간,2022,관광소비,0.0
영암왕인문화축제,비축제기간,2022,축제지 집중률,0.0
영암왕인문화축제,축제기간,2019,외부방문자 유입,0.575
영암왕인문화축제,축제기간,2019,현지인방문자 유입,0.82
영암왕인문화축제,축제기간,2019,내비게이션 검색량,0.479
영암왕인문화축제,축제기간,2019,관광소비,0.696
영암왕인문화축제,축제기간,2019,축제지 집중률,0.859
영암왕인문화축제,비축제기간,2019,외부방문자 유입,0.077
영암왕인문화축제,비축제기간,2019,현지인방문자 유입,0.215
영암왕인문화축제,비축제기간,2019,내비게이션 검색량,0.049
영암왕인문화축제,비축제기간,2019,관광소비,0.632
영암왕인문화축제,비축제기간,2019,축제지 집중률,0.17
영암왕인문화축제,축제기간,2018,외부방문자 유입,0.453
영암왕인문화축제,축제기간,2018,현지인방문자 유입,0.812
영암왕인문화축제,축제기간,2018,내비게이션 검색량,0.361
영암왕인문화축제,축제기간,2018,관광소비,0.621
영암왕인문화축제,축제기간,2018,축제지 집중률,0.674
영암왕인문화축제,비축제기간,2018,외부방문자 유입,0.14
영암왕인문화축제,비축제기간,2018,현지인방문자 유입,0.287
영암왕인문화축제,비축제기간,2018,내비게이션 검색량,0.097
영암왕인문화축제,비축제기간,2018,관광소비,0.594
영암왕인문화축제,비축제기간,2018,축제지 집중률,0.231
