축제명,그룹명,개최년도,구분명,지표값
시흥갯골축제,축제기간,2025,외부방문자 유입,0.715
시흥갯골축제,축제기간,2025,현지인방문자 유입,0.95
시흥갯골축제,축제기간,2025,내비게이션 검색량,0.468
시흥갯골축제,축제기간,2025,관광소비,0.742
시흥갯골축제,축제기간,2025,축제지 집중률,0.773
시흥갯골축제,비축제기간,2025,외부방문자 유입,0.603
시흥갯골축제,비축제기간,2025,현지인방문자 유입,0.757
시흥갯골축제,비축제기간,2025,내비게이션 검색량,0.41
시흥갯골축제,비축제기간,2025,관광소비,0.761
시흥갯골축제,비축제기간,2025,축제지 집중률,0.667
시흥갯골축제,축제기간,2024,외부방문자 유입,0.785
시흥갯골축제,축제기간,2024,현지인방문자 유입,0.917
시흥갯골축제,축제기간,2024,내비게이션 검색량,0.806
시흥갯골축제,축제기간,2024,관광소비,0.705
시흥갯골축제,축제기간,2024,축제지 집중률,0.76
시흥갯골축제,비축제기간,2024,외부방문자 유입,0.362
시흥갯골축제,비축제기간,2024,현지인방문자 유입,0.734
시흥갯골축제,비축제기간,2024,내비게이션 검색량,0.45
시흥갯골축제,비축제기간,2024,관광소비,0.728
시흥갯골축제,비축제기간,2024,축제지 집중률,0.395
시흥갯골축제,축제기간,2023,외부방문자 유입,0.665
시흥갯골축제,축제기간,2023,현지인방문자 유입,0.892
시흥갯골축제,축제기간,2023,내비게이션 검색량,0.729
시흥갯골축제,축제기간,2023,관광소비,0.766
시흥갯골축제,축제기간,2023,축제지 집중률,0.791
시흥갯골축제,비축제기간,2023,외부방문자 유입,0.519
시흥갯골축제,비축제기간,2023,현지인방문자 유입,0.678
시흥갯골축제,비축제기간,2023,내비게이션 검색량,0.498
시흥갯골축제,비축제기간,2023,관광소비,0.731
시흥갯골축제,비축제기간,2023,축제지 집중률,0.615
시흥갯골축제,축제기간,2022,외부방문자 유입,0.801
시흥갯골축제,축제기간,2022,현지인방문자 유입,0.933
시흥갯골축제,축제기간,2022,내비게이션 검색량,0.697
시흥갯골축제,축제기간,2022,관광소비,0.78
시흥갯골축제,축제기간,2022,축제지 집중률,0.892
시흥갯골축제,비축제기간,2022,외부방문자 유입,0.623
시흥갯골축제,비축제기간,2022,현지인방문자 유입,0.795
시흥갯골축제,비축제기간,2022,내비게이션 검색량,0.497
시흥갯골축제,비축제기간,2022,관광소비,0.798
시흥갯골축제,비축제기간,2022,축제지 집중률,0.719
시흥갯골축제,축제기간,2019,외부방문자 유입,0.654
시흥갯골축제,축제기간,2019,현지인방문자 유입,0.887
시흥갯골축제,축제기간,2019,내비게이션 검색량,0.542
시흥갯골축제,축제기간,2019,관광소비,0.708
시흥갯골축제,축제기간,2019,축제지 집중률,0.815
시흥갯골축제,비축제기간,2019,외부방문자 유입,0.558
시흥갯골축제,비축제기간,2019,현지인방문자 유입,0.749
시흥갯골축제,비축제기간,2019,내비게이션 검색량,0.394
시흥갯골축제,비축제기간,2019,관광소비,0.748
시흥갯골축제,비축제기간,2019,축제지 집중률,0.701
시흥갯골축제,축제기간,2018,외부방문자 유입,0.558
시흥갯골축제,축제기간,2018,현지인방문자 유입,0.863
시흥갯골축제,축제기간,2018,내비게이션 검색량,0.357
시흥갯골축제,축제기간,2018,관광소비,0.684
시흥갯골축제,축제기간,2018,축제지 집중률,0.824
시흥갯골축제,비축제기간,2018,외부방문자 유입,0.442
시흥갯골축제,비축제기간,2018,현지인방문자 유입,0.753
시흥갯골축제,비축제기간,2018,내비게이션 검색량,0.32
시흥갯골축제,비축제기간,2018,관광소비,0.665
시흥갯골축제,비축제기간,2018,축제지 집중률,0.721
