축제명,그룹명,개최년도,구분명,지표값
인천펜타포트음악축제,축제기간,2025,외부방문자 유입,0.949
인천펜타포트음악축제,축제기간,2025,현지인방문자 유입,0.782
인천펜타포트음악축제,축제기간,2025,내비게이션 검색량,0.556
인천펜타포트음악축제,축제기간,2025,관광소비,0.584
인천펜타포트음악축제,축제기간,2025,축제지 집중률,0.97
인천펜타포트음악축제,비축제기간,2025,외부방문자 유입,0.36
인천펜타포트음악축제,비축제기간,2025,현지인방문자 유입,0.812
인천펜타포트음악축제,비축제기간,2025,내비게이션 검색량,0.42
인천펜타포트음악축제,비축제기간,2025,관광소비,0.546
인천펜타포트음악축제,비축제기간,2025,축제지 집중률,0.389
인천펜타포트음악축제,축제기간,2024,외부방문자 유입,0.904
인천펜타포트음악축제,축제기간,2024,현지인방문자 유입,0.721
인천펜타포트음악축제,축제기간,2024,내비게이션 검색량,0.783
인천펜타포트음악축제,축제기간,2024,관광소비,0.695
인천펜타포트음악축제,축제기간,2024,축제지 집중률,0.905
인천펜타포트음악축제,비축제기간,2024,외부방문자 유입,0.347
인천펜타포트음악축제,비축제기간,2024,현지인방문자 유입,0.79
인천펜타포트음악축제,비축제기간,2024,내비게이션 검색량,0.58
인천펜타포트음악축제,비축제기간,2024,관광소비,0.648
인천펜타포트음악축제,비축제기간,2024,축제지 집중률,0.388
인천펜타포트음악축제,축제기간,2023,외부방문자 유입,0.852
인천펜타포트음악축제,축제기간,2023,현지인방문자 유입,0.793
인천펜타포트음악축제,축제기간,2023,내비게이션 검색량,0.665
인천펜타포트음악축제,축제기간,2023,관광소비,0.727
인천펜타포트음악축제,축제기간,2023,축제지 집중률,0.968
인천펜타포트음악축제,비축제기간,2023,외부방문자 유입,0.359
인천펜타포트음악축제,비축제기간,2023,현지인방문자 유입,0.815
인천펜타포트음악축제,비축제기간,2023,내비게이션 검색량,0.496
인천펜타포트음악축제,비축제기간,2023,관광소비,0.703
인천펜타포트음악축제,비축제기간,2023,축제지 집중률,0.455
인천펜타포트음악축제,축제기간,2022,외부방문자 유입,0.759
인천펜타포트음악축제,축제기간,2022,현지인방문자 유입,0.742
인천펜타포트음악축제,축제기간,2022,내비게이션 검색량,0.547
인천펜타포트음악축제,축제기간,2022,관광소비,0.619
인천펜타포트음악축제,축제기간,2022,축제지 집중률,0.991
인천펜타포트음악축제,비축제기간,2022,외부방문자 유입,0.434
인천펜타포트음악축제,비축제기간,2022,현지인방문자 유입,0.801
인천펜타포트음악축제,비축제기간,2022,내비게이션 검색량,0.46
인천펜타포트음악축제,비축제기간,2022,관광소비,0.665
인천펜타포트음악축제,비축제기간,2022,축제지 집중률,0.599
인천펜타포트음악축제,축제기간,2019,외부방문자 유입,0.527
인천펜타포트음악축제,축제기간,2019,현지인방문자 유입,0.657
인천펜타포트음악축제,축제기간,2019,내비게이션 검색량,0.486
인천펜타포트음악축제,축제기간,2019,관광소비,0.613
인천펜타포트음악축제,축제기간,2019,축제지 집중률,0.539
인천펜타포트음악축제,비축제기간,2019,외부방문자 유입,0.402
인천펜타포트음악축제,비축제기간,2019,현지인방문자 유입,0.621
인천펜타포트음악축제,비축제기간,2019,내비게이션 검색량,0.435
인천펜타포트음악축제,비축제기간,2019,관광소비,0.647
인천펜타포트음악축제,비축제기간,2019,축제지 집중률,0.422
인천펜타포트음악축제,축제기간,2018,외부방문자 유입,0.811
인천펜타포트음악축제,축제기간,2018,현지인방문자 유입,0.78
인천펜타포트음악축제,축제기간,2018,내비게이션 검색량,0.573
인천펜타포트음악축제,축제기간,2018,관광소비,0.61
인천펜타포트음악축제,축제기간,2018,축제지 집중률,0.961
인천펜타포트음악축제,비축제기간,2018,외부방문자 유입,0.564
인천펜타포트음악축제,비축제기간,2018,현지인방문자 유입,0.779
인천펜타포트음악축제,비축제기간,2018,내비게이션 검색량,0.485
인천펜타포트음악축제,비축제기간,2018,관광소비,0.638
인천펜타포트음악축제,비축제기간,2018,축제지 집중률,0.665
