축제명,그룹명,개최년도,구분명,지표값
진안홍삼축제,축제기간,2025,외부방문자 유입,0.591
진안홍삼축제,축제기간,2025,현지인방문자 유입,0.851
진안홍삼축제,축제기간,2025,내비게이션 검색량,0.472
진안홍삼축제,축제기간,2025,관광소비,0.602
진안홍삼축제,축제기간,2025,축제지 집중률,0.958
진안홍삼축제,비축제기간,2025,외부방문자 유입,0.33
진안홍삼축제,비축제기간,2025,현지인방문자 유입,0.707
진안홍삼축제,비축제기간,2025,내비게이션 검색량,0.244
진안홍삼축제,비축제기간,2025,관광소비,0.459
진안홍삼축제,비축제기간,2025,축제지 집중률,0.667
진안홍삼축제,축제기간,2024,외부방문자 유입,0.716
진안홍삼축제,축제기간,2024,현지인방문자 유입,0.812
진안홍삼축제,축제기간,2024,내비게이션 검색량,0.669
진안홍삼축제,축제기간,2024,관광소비,0.703
진안홍삼축제,축제기간,2024,축제지 집중률,0.981
진안홍삼축제,비축제기간,2024,외부방문자 유입,0.364
진안홍삼축제,비축제기간,2024,현지인방문자 유입,0.729
진안홍삼축제,비축제기간,2024,내비게이션 검색량,0.167
진안홍삼축제,비축제기간,2024,관광소비,0.507
진안홍삼축제,비축제기간,2024,축제지 집중률,0.716
진안홍삼축제,축제기간,2023,외부방문자 유입,0.434
진안홍삼축제,축제기간,2023,현지인방문자 유입,0.602
진안홍삼축제,축제기간,2023,내비게이션 검색량,0.717
진안홍삼축제,축제기간,2023,관광소비,0.657
진안홍삼축제,축제기간,2023,축제지 집중률,0.966
진안홍삼축제,비축제기간,2023,외부방문자 유입,0.357
진안홍삼축제,비축제기간,2023,현지인방문자 유입,0.663
진안홍삼축제,비축제기간,2023,내비게이션 검색량,0.223
진안홍삼축제,비축제기간,2023,관광소비,0.519
진안홍삼축제,비축제기간,2023,축제지 집중률,0.646
진안홍삼축제,축제기간,2022,외부방문자 유입,0.606
진안홍삼축제,축제기간,2022,현지인방문자 유입,0.825
진안홍삼축제,축제기간,2022,내비게이션 검색량,0.659
진안홍삼축제,축제기간,2022,관광소비,0.679
진안홍삼축제,축제기간,2022,축제지 집중률,0.904
진안홍삼축제,비축제기간,2022,외부방문자 유입,0.353
진안홍삼축제,비축제기간,2022,현지인방문자 유입,0.707
진안홍삼축제,비축제기간,2022,내비게이션 검색량,0.347
진안홍삼축제,비축제기간,2022,관광소비,0.526
진안홍삼축제,비축제기간,2022,축제지 집중률,0.643
진안홍삼축제,축제기간,2019,외부방문자 유입,0.645
진안홍삼축제,축제기간,2019,현지인방문자 유입,0.856
진안홍삼축제,축제기간,2019,내비게이션 검색량,0.599
진안홍삼축제,축제기간,2019,관광소비,0.631
진안홍삼축제,축제기간,2019,축제지 집중률,0.949
진안홍삼축제,비축제기간,2019,외부방문자 유입,0.298
진안홍삼축제,비축제기간,2019,현지인방문자 유입,0.63
진안홍삼축제,비축제기간,2019,내비게이션 검색량,0.297
진안홍삼축제,비축제기간,2019,관광소비,0.454
진안홍삼축제,비축제기간,2019,축제지 집중률,0.612
진안홍삼축제,축제기간,2018,외부방문자 유입,0.528
진안홍삼축제,축제기간,2018,현지인방문자 유입,0.871
진안홍삼축제,축제기간,2018,내비게이션 검색량,0.575
진안홍삼축제,축제기간,2018,관광소비,0.634
진안홍삼축제,축제기간,2018,축제지 집중률,0.949
진안홍삼축제,비축제기간,2018,외부방문자 유입,0.26
진안홍삼축제,비축제기간,2018,현지인방문자 유입,0.662
진안홍삼축제,비축제기간,2018,내비게이션 검색량,0.28
진안홍삼축제,비축제기간,2018,관광소비,0.443
진안홍삼축제,비축제기간,2018,축제지 집중률,0.663
