축제명,그룹명,개최년도,구분명,지표값
화성뱃놀이축제,축제기간,2025,외부방문자 유입,0.601
화성뱃놀이축제,축제기간,2025,현지인방문자 유입,0.883
화성뱃놀이축제,축제기간,2025,내비게이션 검색량,0.626
화성뱃놀이축제,축제기간,2025,관광소비,0.879
화성뱃놀이축제,축제기간,2025,축제지 집중률,0.644
화성뱃놀이축제,비축제기간,2025,외부방문자 유입,0.426
화성뱃놀이축제,비축제기간,2025,현지인방문자 유입,0.572
화성뱃놀이축제,비축제기간,2025,내비게이션 검색량,0.384
화성뱃놀이축제,비축제기간,2025,관광소비,0.819
화성뱃놀이축제,비축제기간,2025,축제지 집중률,0.481
화성뱃놀이축제,축제기간,2024,외부방문자 유입,0.714
화성뱃놀이축제,축제기간,2024,현지인방문자 유입,0.809
화성뱃놀이축제,축제기간,2024,내비게이션 검색량,0.675
화성뱃놀이축제,축제기간,2024,관광소비,0.812
화성뱃놀이축제,축제기간,2024,축제지 집중률,0.758
화성뱃놀이축제,비축제기간,2024,외부방문자 유입,0.48
화성뱃놀이축제,비축제기간,2024,현지인방문자 유입,0.493
화성뱃놀이축제,비축제기간,2024,내비게이션 검색량,0.37
화성뱃놀이축제,비축제기간,2024,관광소비,0.78
화성뱃놀이축제,비축제기간,2024,축제지 집중률,0.5
화성뱃놀이축제,축제기간,2023,외부방문자 유입,0.49
화성뱃놀이축제,축제기간,2023,현지인방문자 유입,0.817
화성뱃놀이축제,축제기간,2023,내비게이션 검색량,0.418
화성뱃놀이축제,축제기간,2023,관광소비,0.756
화성뱃놀이축제,축제기간,2023,축제지 집중률,0.511
화성뱃놀이축제,비축제기간,2023,외부방문자 유입,0.397
화성뱃놀이축제,비축제기간,2023,현지인방문자 유입,0.581
화성뱃놀이축제,비축제기간,2023,내비게이션 검색량,0.265
화성뱃놀이축제,비축제기간,2023,관광소비,0.78
화성뱃놀이축제,비축제기간,2023,축제지 집중률,0.393
화성뱃놀이축제,축제기간,2022,외부방문자 유입,0.542
화성뱃놀이축제,축제기간,2022,현지인방문자 유입,0.744
화성뱃놀이축제,축제기간,2022,내비게이션 검색량,0.62
화성뱃놀이축제,축제기간,2022,관광소비,0.791
화성뱃놀이축제,축제기간,2022,축제지 집중률,0.609
화성뱃놀이축제,비축제기간,2022,외부방문자 유입,0.561
화성뱃놀이축제,비축제기간,2022,현지인방문자 유입,0.654
화성뱃놀이축제,비축제기간,2022,내비게이션 검색량,0.601
화성뱃놀이축제,비축제기간,2022,관광소비,0.824
화성뱃놀이축제,비축제기간,2022,축제지 집중률,0.581
화성뱃놀이축제,축제기간,2019,외부방문자 유입,0.498
화성뱃놀이축제,축제기간,2019,현지인방문자 유입,0.718
화성뱃놀이축제,축제기간,2019,내비게이션 검색량,0.526
화성뱃놀이축제,축제기간,2019,관광소비,0.705
화성뱃놀이축제,축제기간,2019,축제지 집중률,0.689
화성뱃놀이축제,비축제기간,2019,외부방문자 유입,0.324
화성뱃놀이축제,비축제기간,2019,현지인방문자 유입,0.519
화성뱃놀이축제,비축제기간,2019,내비게이션 검색량,0.257
화성뱃놀이축제,비축제기간,2019,관광소비,0.718
화성뱃놀이축제,비축제기간,2019,축제지 집중률,0.43
화성뱃놀이축제,축제기간,2018,외부방문자 유입,0.411
화성뱃놀이축제,축제기간,2018,현지인방문자 유입,0.684
화성뱃놀이축제,축제기간,2018,내비게이션 검색량,0.447
화성뱃놀이축제,축제기간,2018,관광소비,0.751
화성뱃놀이축제,축제기간,2018,축제지 집중률,0.563
화성뱃놀이축제,비축제기간,2018,외부방문자 유입,0.316
화성뱃놀이축제,비축제기간,2018,현지인방문자 유입,0.523
화성뱃놀이축제,비축제기간,2018,내비게이션 검색량,0.29
화성뱃놀이축제,비축제기간,2018,관광소비,0.733
화성뱃놀이축제,비축제기간,2018,축제지 집중률,0.444
