축제명,그룹명,개최년도,구분명,지표값
정남진장흥물축제,축제기간,2025,외부방문자 유입,0.562
정남진장흥물축제,축제기간,2025,현지인방문자 유입,0.903
정남진장흥물축제,축제기간,2025,내비게이션 검색량,0.586
정남진장흥물축제,축제기간,2025,관광소비,0.449
정남진장흥물축제,축제기간,2025,축제지 집중률,0.891
정남진장흥물축제,비축제기간,2025,외부방문자 유입,0.26
정남진장흥물축제,비축제기간,2025,현지인방문자 유입,0.845
정남진장흥물축제,비축제기간,2025,내비게이션 검색량,0.164
정남진장흥물축제,비축제기간,2025,관광소비,0.253
정남진장흥물축제,비축제기간,2025,축제지 집중률,0.767
정남진장흥물축제,축제기간,2024,외부방문자 유입,0.698
정남진장흥물축제,축제기간,2024,현지인방문자 유입,0.898
정남진장흥물축제,축제기간,2024,내비게이션 검색량,0.684
정남진장흥물축제,축제기간,2024,관광소비,0.571
정남진장흥물축제,축제기간,2024,축제지 집중률,0.866
정남진장흥물축제,비축제기간,2024,외부방문자 유입,0.328
정남진장흥물축제,비축제기간,2024,현지인방문자 유입,0.847
정남진장흥물축제,비축제기간,2024,내비게이션 검색량,0.173
정남진장흥물축제,비축제기간,2024,관광소비,0.307
정남진장흥물축제,비축제기간,2024,축제지 집중률,0.774
정남진장흥물축제,축제기간,2023,외부방문자 유입,0.596
정남진장흥물축제,축제기간,2023,현지인방문자 유입,0.845
정남진장흥물축제,축제기간,2023,내비게이션 검색량,0.566
정남진장흥물축제,축제기간,2023,관광소비,0.543
정남진장흥물축제,축제기간,2023,축제지 집중률,0.912
정남진장흥물축제,비축제기간,2023,외부방문자 유입,0.253
정남진장흥물축제,비축제기간,2023,현지인방문자 유입,0.814
정남진장흥물축제,비축제기간,2023,내비게이션 검색량,0.126
정남진장흥물축제,비축제기간,2023,관광소비,0.275
정남진장흥물축제,비축제기간,2023,축제지 집중률,0.782
정남진장흥물축제,축제기간,2022,외부방문자 유입,0.517
정남진장흥물축제,축제기간,2022,현지인방문자 유입,0.799
정남진장흥물축제,축제기간,2022,내비게이션 검색량,0.548
정남진장흥물축제,축제기간,2022,관광소비,0.556
정남진장흥물축제,축제기간,2022,축제지 집중률,0.902
정남진장흥물축제,비축제기간,2022,외부방문자 유입,0.268
정남진장흥물축제,비축제기간,2022,현지인방문자 유입,0.773
정남진장흥물축제,비축제기간,2022,내비게이션 검색량,0.152
정남진장흥물축제,비축제기간,2022,관광소비,0.35
정남진장흥물축제,비축제기간,2022,축제지 집중률,0.773
정남진장흥물축제,축제기간,2019,외부방문자 유입,0.617
정남진장흥물축제,축제기간,2019,현지인방문자 유입,0.894
정남진장흥물축제,축제기간,2019,내비게이션 검색량,0.704
정남진장흥물축제,축제기간,2019,관광소비,0.543
정남진장흥물축제,축제기간,2019,축제지 집중률,0.937
정남진장흥물축제,비축제기간,2019,외부방문자 유입,0.274
정남진장흥물축제,비축제기간,2019,현지인방문자 유입,0.828
정남진장흥물축제,비축제기간,2019,내비게이션 검색량,0.181
정남진장흥물축제,비축제기간,2019,관광소비,0.272
정남진장흥물축제,비축제기간,2019,축제지 집중률,0.785
정남진장흥물축제,축제기간,2018,외부방문자 유입,0.637
정남진장흥물축제,축제기간,2018,현지인방문자 유입,0.893
정남진장흥물축제,축제기간,2018,내비게이션 검색량,0.669
정남진장흥물축제,축제기간,2018,관광소비,0.53
정남진장흥물축제,축제기간,2018,축제지 집중률,0.938
정남진장흥물축제,비축제기간,2018,외부방문자 유입,0.263
정남진장흥물축제,비축제기간,2018,현지인방문자 유입,0.845
정남진장흥물축제,비축제기간,2018,내비게이션 검색량,0.146
정남진장흥물축제,비축제기간,2018,관광소비,0.247
정남진장흥물축제,비축제기간,2018,축제지 집중률,0.813
