축제명,그룹명,개최년도,구분명,지표값
안성맞춤남사당바우덕이축제,축제기간,2025,외부방문자 유입,0.558
안성맞춤남사당바우덕이축제,축제기간,2025,현지인방문자 유입,0.869
안성맞춤남사당바우덕이축제,축제기간,2025,내비게이션 검색량,0.695
안성맞춤남사당바우덕이축제,축제기간,2025,관광소비,0.734
안성맞춤남사당바우덕이축제,축제기간,2025,축제지 집중률,0.923
안성맞춤남사당바우덕이축제,비축제기간,2025,외부방문자 유입,0.243
안성맞춤남사당바우덕이축제,비축제기간,2025,현지인방문자 유입,0.403
안성맞춤남사당바우덕이축제,비축제기간,2025,내비게이션 검색량,0.184
안성맞춤남사당바우덕이축제,비축제기간,2025,관광소비,0.792
안성맞춤남사당바우덕이축제,비축제기간,2025,축제지 집중률,0.38
안성맞춤남사당바우덕이축제,축제기간,2024,외부방문자 유입,0.735
안성맞춤남사당바우덕이축제,축제기간,2024,현지인방문자 유입,0.926
안성맞춤남사당바우덕이축제,축제기간,2024,내비게이션 검색량,0.798
안성맞춤남사당바우덕이축제,축제기간,2024,관광소비,0.82
안성맞춤남사당바우덕이축제,축제기간,2024,축제지 집중률,0.83
안성맞춤남사당바우덕이축제,비축제기간,2024,외부방문자 유입,0.255
안성맞춤남사당바우덕이축제,비축제기간,2024,현지인방문자 유입,0.456
안성맞춤남사당바우덕이축제,비축제기간,2024,내비게이션 검색량,0.221
안성맞춤남사당바우덕이축제,비축제기간,2024,관광소비,0.734
안성맞춤남사당바우덕이축제,비축제기간,2024,축제지 집중률,0.324
안성맞춤남사당바우덕이축제,축제기간,2023,외부방문자 유입,0.729
안성맞춤남사당바우덕이축제,축제기간,2023,현지인방문자 유입,0.922
안성맞춤남사당바우덕이축제,축제기간,2023,내비게이션 검색량,0.765
안성맞춤남사당바우덕이축제,축제기간,2023,관광소비,0.828
안성맞춤남사당바우덕이축제,축제기간,2023,축제지 집중률,0.843
안성맞춤남사당바우덕이축제,비축제기간,2023,외부방문자 유입,0.311
안성맞춤남사당바우덕이축제,비축제기간,2023,현지인방문자 유입,0.45
안성맞춤남사당바우덕이축제,비축제기간,2023,내비게이션 검색량,0.221
안성맞춤남사당바우덕이축제,비축제기간,2023,관광소비,0.776
안성맞춤남사당바우덕이축제,비축제기간,2023,축제지 집중률,0.351
안성맞춤남사당바우덕이축제,축제기간,2022,외부방문자 유입,0.575
안성맞춤남사당바우덕이축제,축제기간,2022,현지인방문자 유입,0.845
안성맞춤남사당바우덕이축제,축제기간,2022,내비게이션 검색량,0.691
안성맞춤남사당바우덕이축제,축제기간,2022,관광소비,0.831
안성맞춤남사당바우덕이축제,축제기간,2022,축제지 집중률,0.779
안성맞춤남사당바우덕이축제,비축제기간,2022,외부방문자 유입,0.285
안성맞춤남사당바우덕이축제,비축제기간,2022,현지인방문자 유입,0.445
안성맞춤남사당바우덕이축제,비축제기간,2022,내비게이션 검색량,0.273
안성맞춤남사당바우덕이축제,비축제기간,2022,관광소비,0.759
안성맞춤남사당바우덕이축제,비축제기간,2022,축제지 집중률,0.432
안성맞춤남사당바우덕이축제,축제기간,2019,외부방문자 유입,0.0
안성맞춤남사당바우덕이축제,축제기간,2019,현지인방문자 유입,0.0
안성맞춤남사당바우덕이축제,축제기간,2019,내비게이션 검색량,0.0
안성맞춤남사당바우덕이축제,축제기간,2019,관광소비,0.0
안성맞춤남사당바우덕이축제,축제기간,2019,축제지 집중률,0.0
안성맞춤남사당바우덕이축제,비축제기간,2019,외부방문자 유입,0.0
안성맞춤남사당바우덕이축제,비축제기간,2019,현지인방문자 유입,0.0
안성맞춤남사당바우덕이축제,비축제기간,2019,내비게이션 검색량,0.0
안성맞춤남사당바우덕이축제,비축제기간,2019,관광소비,0.0
안성맞춤남사당바우덕이축제,비축제기간,2019,축제지 집중률,0.0
안성맞춤남사당바우덕이축제,축제기간,2018,외부방문자 유입,0.384
안성맞춤남사당바우덕이축제,축제기간,2018,현지인방문자 유입,0.752
안성맞춤남사당바우덕이축제,축제기간,2018,내비게이션 검색량,0.512
안성맞춤남사당바우덕이축제,축제기간,2018,관광소비,0.665
안성맞춤남사당바우덕이축제,축제기간,2018,축제지 집중률,0.715
안성맞춤남사당바우덕이축제,비축제기간,2018,외부방문자 유입,0.173
안성맞춤남사당바우덕이축제,비축제기간,2018,현지인방문자 유입,0.385
안성맞춤남사당바우덕이축제,비축제기간,2018,내비게이션 검색량,0.171
안성맞춤남사당바우덕이축제,비축제기간,2018,관광소비,0.699
안성맞춤남사당바우덕이축제,비축제기간,2018,축제지 집중률,0.29
