기준년월,기초지자체,중분류,소비액(천원)
2018,장흥군,관광총소비,4.0180429E7
2019,장흥군,관광총소비,4.0606582E7
2020,장흥군,관광총소비,4.1480983E7
2021,장흥군,관광총소비,5.1718829E7
2023,장흥군,관광총소비,5.986231E7
2024,장흥군,관광총소비,5.9045828E7
2025,장흥군,관광총소비,6.1307211E7
2022,장흥군,관광총소비,5.9099219E7
2018,장흥군,여행업,27275.0
2018,장흥군,호텔,34921.0
2018,장흥군,골프장,4991177.0
2018,장흥군,뷰티,153999.0
2018,장흥군,육상운송,6903325.0
2018,장흥군,관광유원시설,12774.0
2018,장흥군,일반외식업,9501821.0
2018,장흥군,대형쇼핑몰,25146.0
2019,장흥군,일반외식업,1.0008881E7
2019,장흥군,문화서비스,113740.0
2019,장흥군,호텔,26498.0
2019,장흥군,뷰티,153022.0
2019,장흥군,관광유원시설,10900.0
2019,장흥군,대형쇼핑몰,25666.0
2019,장흥군,골프장,5151007.0
2019,장흥군,레저용품쇼핑,1028267.0
2019,장흥군,캠핑장/펜션,11138.0
2019,장흥군,기타관광쇼핑,1.5574734E7
2020,장흥군,기타레저,117587.0
2020,장흥군,기타숙박,843147.0
2020,장흥군,캠핑장/펜션,20704.0
2020,장흥군,제과음료업,1036493.0
2020,장흥군,문화서비스,21881.0
2020,장흥군,뷰티,216082.0
2020,장흥군,육상운송,6322928.0
2021,장흥군,골프장,7986588.0
2021,장흥군,레저용품쇼핑,776635.0
2021,장흥군,문화서비스,22120.0
2021,장흥군,뷰티,205557.0
2021,장흥군,호텔,58019.0
2021,장흥군,기타숙박,869071.0
2023,장흥군,제과음료업,1560113.0
2023,장흥군,기타숙박,1131896.0
2023,장흥군,레저용품쇼핑,721102.0
2023,장흥군,기타레저,186541.0
2023,장흥군,여행업,17251.0
2024,장흥군,콘도,4539.0
2024,장흥군,렌터카,1645.0
2024,장흥군,관광유원시설,18177.0
2024,장흥군,대형쇼핑몰,25651.0
2024,장흥군,문화서비스,43178.0
2024,장흥군,여행업,8839.0
2024,장흥군,호텔,64507.0
2024,장흥군,일반외식업,1.4365365E7
2024,장흥군,캠핑장/펜션,13145.0
2025,장흥군,뷰티,278085.0
2025,장흥군,캠핑장/펜션,14125.0
2025,장흥군,기타숙박,986775.0
2018,장흥군,기타숙박,691435.0
2018,장흥군,문화서비스,88075.0
2019,장흥군,제과음료업,1004065.0
2019,장흥군,여행업,13535.0
2019,장흥군,기타레저,188069.0
2020,장흥군,여행업,14895.0
2020,장흥군,호텔,27624.0
2021,장흥군,기타레저,82710.0
2021,장흥군,제과음료업,1106631.0
2021,장흥군,콘도,30131.0
2021,장흥군,캠핑장/펜션,16535.0
2021,장흥군,관광유원시설,2553.0
2021,장흥군,대형쇼핑몰,28041.0
2022,장흥군,호텔,61344.0
2022,장흥군,캠핑장/펜션,22389.0
2022,장흥군,기타숙박,985394.0
2022,장흥군,여행업,27665.0
2022,장흥군,레저용품쇼핑,767168.0
2022,장흥군,관광유원시설,11820.0
2022,장흥군,골프장,8625330.0
2022,장흥군,기타레저,154984.0
2022,장흥군,문화서비스,50766.0
2022,장흥군,뷰티,258773.0
2022,장흥군,콘도,5412.0
2022,장흥군,육상운송,1.3494819E7
2022,장흥군,수상운송,1662.0
2022,장흥군,대형쇼핑몰,25694.0
2022,장흥군,기타관광쇼핑,2.0274014E7
2022,장흥군,일반외식업,1.2910163E7
2022,장흥군,제과음료업,1421821.0
2023,장흥군,일반외식업,1.4343903E7
2023,장흥군,골프장,6307171.0
2023,장흥군,육상운송,1.3567131E7
2023,장흥군,뷰티,265082.0
2024,장흥군,기타레저,211932.0
2024,장흥군,육상운송,1.4323021E7
2024,장흥군,기타관광쇼핑,2.0692735E7
2025,장흥군,관광유원시설,23035.0
2025,장흥군,일반외식업,1.4757406E7
2025,장흥군,여행업,19059.0
2025,장흥군,레저용품쇼핑,592534.0
2025,장흥군,호텔,60247.0
2025,장흥군,기타관광쇼핑,2.0706006E7
2025,장흥군,기타레저,195463.0
2025,장흥군,골프장,7077090.0
2018,장흥군,제과음료업,665283.0
2018,장흥군,캠핑장/펜션,36836.0
2018,장흥군,기타레저,159073.0
2019,장흥군,기타숙박,895474.0
2020,장흥군,일반외식업,9618397.0
2020,장흥군,관광유원시설,1845.0
2020,장흥군,대형쇼핑몰,30036.0
2020,장흥군,골프장,6019468.0
2020,장흥군,레저용품쇼핑,822715.0
2020,장흥군,기타관광쇼핑,1.6367182E7
2021,장흥군,기타관광쇼핑,1.7614978E7
2021,장흥군,육상운송,1.2515489E7
2023,장흥군,콘도,7850.0
2023,장흥군,호텔,52995.0
2023,장흥군,기타관광쇼핑,2.1570322E7
2023,장흥군,문화서비스,51632.0
2023,장흥군,관광유원시설,13812.0
2023,장흥군,대형쇼핑몰,26107.0
2024,장흥군,골프장,5874225.0
2024,장흥군,레저용품쇼핑,577948.0
2024,장흥군,기타숙박,1099594.0
2025,장흥군,육상운송,1.4779594E7
2025,장흥군,대형쇼핑몰,25044.0
2025,장흥군,콘도,7117.0
2025,장흥군,문화서비스,44741.0
2019,장흥군,육상운송,6401587.0
2018,장흥군,레저용품쇼핑,1055450.0
2021,장흥군,일반외식업,1.0379695E7
2025,장흥군,제과음료업,1740893.0
2021,장흥군,여행업,24077.0
2023,장흥군,캠핑장/펜션,39402.0
2024,장흥군,뷰티,218050.0
2024,장흥군,제과음료업,1503277.0
2018,장흥군,기타관광쇼핑,1.5833841E7
2025,장흥군,렌터카,0.0
2023,장흥군,수상운송,0.0
