기준년월,기초지자체,중분류,소비액(천원)
2018,임실군,관광총소비,8.9164947E7
2019,임실군,관광총소비,9.6036E7
2020,임실군,관광총소비,8.641497E7
2021,임실군,관광총소비,1.0611999E8
2024,임실군,관광총소비,1.08055802E8
2025,임실군,관광총소비,1.14191293E8
2023,임실군,관광총소비,1.11399735E8
2022,임실군,관광총소비,1.23793635E8
2018,임실군,일반외식업,1.3067601E7
2019,임실군,육상운송,6.2211191E7
2019,임실군,뷰티,70219.0
2019,임실군,골프장,2780051.0
2019,임실군,레저용품쇼핑,144338.0
2019,임실군,캠핑장/펜션,43253.0
2019,임실군,기타숙박,182940.0
2019,임실군,기타레저,557234.0
2020,임실군,기타레저,282874.0
2020,임실군,기타숙박,153301.0
2020,임실군,기타관광쇼핑,1.1413007E7
2020,임실군,캠핑장/펜션,34820.0
2020,임실군,제과음료업,1352850.0
2020,임실군,문화서비스,7130.0
2020,임실군,뷰티,152398.0
2020,임실군,육상운송,5.3016058E7
2021,임실군,레저용품쇼핑,219872.0
2021,임실군,문화서비스,32832.0
2021,임실군,뷰티,195091.0
2024,임실군,기타관광쇼핑,1.6875319E7
2024,임실군,대형쇼핑몰,3311786.0
2024,임실군,문화서비스,13272.0
2024,임실군,기타레저,840696.0
2024,임실군,골프장,5115511.0
2024,임실군,레저용품쇼핑,122508.0
2024,임실군,육상운송,6.0538605E7
2025,임실군,캠핑장/펜션,44361.0
2025,임실군,기타숙박,162857.0
2025,임실군,골프장,4388692.0
2025,임실군,레저용품쇼핑,153342.0
2018,임실군,기타숙박,213315.0
2018,임실군,문화서비스,25157.0
2018,임실군,골프장,2923142.0
2019,임실군,관광유원시설,22090.0
2019,임실군,기타관광쇼핑,1.0793836E7
2019,임실군,문화서비스,33826.0
2021,임실군,기타레저,334584.0
2021,임실군,일반외식업,1.3915182E7
2023,임실군,뷰티,165556.0
2023,임실군,제과음료업,2185086.0
2023,임실군,문화서비스,32163.0
2023,임실군,대형쇼핑몰,3506773.0
2023,임실군,골프장,5242196.0
2024,임실군,뷰티,68049.0
2025,임실군,기타레저,1040690.0
2025,임실군,문화서비스,13189.0
2025,임실군,뷰티,77920.0
2025,임실군,제과음료업,2656797.0
2018,임실군,대형쇼핑몰,4186040.0
2018,임실군,기타관광쇼핑,1.0378402E7
2018,임실군,캠핑장/펜션,64003.0
2018,임실군,기타레저,561620.0
2019,임실군,일반외식업,1.414177E7
2020,임실군,일반외식업,1.3006866E7
2020,임실군,대형쇼핑몰,3189706.0
2020,임실군,골프장,3550359.0
2020,임실군,레저용품쇼핑,255603.0
2021,임실군,기타관광쇼핑,1.2471289E7
2021,임실군,캠핑장/펜션,22493.0
2021,임실군,기타숙박,135939.0
2023,임실군,일반외식업,1.7813774E7
2023,임실군,캠핑장/펜션,57523.0
2023,임실군,기타숙박,165647.0
2023,임실군,레저용품쇼핑,50998.0
2023,임실군,기타레저,895524.0
2023,임실군,기타관광쇼핑,1.5403832E7
2023,임실군,육상운송,6.5880661E7
2024,임실군,일반외식업,1.8591481E7
2025,임실군,일반외식업,1.9953581E7
2025,임실군,기타관광쇼핑,1.8187254E7
2025,임실군,관광유원시설,16545.0
2018,임실군,육상운송,5.7048246E7
2019,임실군,제과음료업,871391.0
2019,임실군,대형쇼핑몰,4183863.0
2021,임실군,대형쇼핑몰,3497464.0
2021,임실군,골프장,5483575.0
2018,임실군,제과음료업,634217.0
2024,임실군,제과음료업,2331949.0
2018,임실군,레저용품쇼핑,39512.0
2021,임실군,제과음료업,1572515.0
2021,임실군,육상운송,6.8239155E7
2022,임실군,캠핑장/펜션,55314.0
2022,임실군,기타숙박,145364.0
2022,임실군,레저용품쇼핑,106289.0
2022,임실군,기타관광쇼핑,1.3697371E7
2022,임실군,골프장,6429468.0
2022,임실군,기타레저,442874.0
2022,임실군,문화서비스,59445.0
2022,임실군,육상운송,8.0349427E7
2022,임실군,대형쇼핑몰,4143309.0
2022,임실군,뷰티,145117.0
2022,임실군,일반외식업,1.6225068E7
2022,임실군,제과음료업,1994588.0
2024,임실군,캠핑장/펜션,57412.0
2024,임실군,기타숙박,188503.0
2024,임실군,관광유원시설,710.0
2018,임실군,뷰티,23693.0
2025,임실군,육상운송,6.4052798E7
2025,임실군,대형쇼핑몰,3443266.0
2020,임실군,관광유원시설,0.0
