기준년월,기초지자체,중분류,소비액(천원)
2018,연천군,관광총소비,7.6980354E7
2019,연천군,관광총소비,7.5970559E7
2020,연천군,관광총소비,6.8940447E7
2021,연천군,관광총소비,7.6948587E7
2022,연천군,관광총소비,8.9639799E7
2023,연천군,관광총소비,9.2161849E7
2024,연천군,관광총소비,9.2118579E7
2025,연천군,관광총소비,8.9487322E7
2018,연천군,캠핑장/펜션,125364.0
2018,연천군,렌터카,12811.0
2018,연천군,기타레저,651147.0
2018,연천군,기타숙박,1114338.0
2018,연천군,문화서비스,70870.0
2018,연천군,레저용품쇼핑,1036306.0
2019,연천군,뷰티,729586.0
2019,연천군,관광유원시설,74700.0
2019,연천군,골프장,9448492.0
2019,연천군,레저용품쇼핑,937424.0
2019,연천군,캠핑장/펜션,156844.0
2019,연천군,기타관광쇼핑,1.9799645E7
2019,연천군,렌터카,6464.0
2019,연천군,기타레저,1550566.0
2019,연천군,일반외식업,2.5291507E7
2020,연천군,골프장,9958690.0
2020,연천군,레저용품쇼핑,796777.0
2020,연천군,문화서비스,22891.0
2020,연천군,관광유원시설,33694.0
2020,연천군,렌터카,3672.0
2021,연천군,관광유원시설,37560.0
2021,연천군,기타레저,653144.0
2021,연천군,일반외식업,2.2364266E7
2022,연천군,캠핑장/펜션,134973.0
2022,연천군,기타숙박,1104111.0
2022,연천군,레저용품쇼핑,377151.0
2022,연천군,관광유원시설,84376.0
2022,연천군,골프장,1.3983609E7
2022,연천군,기타레저,1259368.0
2022,연천군,문화서비스,80275.0
2022,연천군,육상운송,1.7625369E7
2022,연천군,기타관광쇼핑,2.2916269E7
2022,연천군,뷰티,647936.0
2022,연천군,일반외식업,2.7190465E7
2022,연천군,제과음료업,4235896.0
2023,연천군,뷰티,829043.0
2023,연천군,일반외식업,2.937935E7
2023,연천군,캠핑장/펜션,150540.0
2023,연천군,문화서비스,159955.0
2024,연천군,골프장,1.2055527E7
2024,연천군,제과음료업,5092259.0
2024,연천군,여행업,38724.0
2024,연천군,기타관광쇼핑,2.5034295E7
2024,연천군,레저용품쇼핑,224429.0
2024,연천군,기타숙박,1700947.0
2025,연천군,캠핑장/펜션,85572.0
2025,연천군,기타숙박,1467198.0
2025,연천군,관광유원시설,128650.0
2018,연천군,골프장,8815688.0
2018,연천군,기타관광쇼핑,2.0631055E7
2019,연천군,육상운송,1.4428454E7
2020,연천군,캠핑장/펜션,116610.0
2020,연천군,제과음료업,2630607.0
2020,연천군,기타레저,619513.0
2021,연천군,문화서비스,32048.0
2021,연천군,제과음료업,3715905.0
2021,연천군,레저용품쇼핑,592738.0
2023,연천군,제과음료업,4878919.0
2023,연천군,기타관광쇼핑,2.4046473E7
2023,연천군,관광유원시설,74275.0
2024,연천군,캠핑장/펜션,133084.0
2025,연천군,제과음료업,5009542.0
2018,연천군,뷰티,493382.0
2018,연천군,육상운송,1.684065E7
2018,연천군,관광유원시설,91608.0
2019,연천군,문화서비스,77352.0
2020,연천군,뷰티,647494.0
2020,연천군,기타숙박,1326671.0
2021,연천군,골프장,1.2856631E7
2021,연천군,기타숙박,867251.0
2021,연천군,육상운송,1.262569E7
2023,연천군,레저용품쇼핑,243021.0
2023,연천군,기타레저,1536456.0
2023,연천군,골프장,1.4051369E7
2023,연천군,육상운송,1.517834E7
2024,연천군,관광유원시설,73987.0
2025,연천군,일반외식업,2.921351E7
2019,연천군,여행업,2374.0
2019,연천군,제과음료업,2454237.0
2020,연천군,기타관광쇼핑,2.0857157E7
2021,연천군,기타관광쇼핑,2.2508545E7
2024,연천군,일반외식업,2.9916036E7
2025,연천군,기타레저,1331564.0
2025,연천군,렌터카,37691.0
2025,연천군,문화서비스,159957.0
2019,연천군,기타숙박,1012913.0
2020,연천군,일반외식업,2.1946504E7
2018,연천군,제과음료업,2135381.0
2020,연천군,육상운송,9980167.0
2021,연천군,뷰티,562706.0
2021,연천군,캠핑장/펜션,132104.0
2023,연천군,기타숙박,1634107.0
2024,연천군,기타레저,1514095.0
2024,연천군,육상운송,1.5345184E7
2024,연천군,뷰티,839702.0
2024,연천군,문화서비스,150310.0
2025,연천군,골프장,1.0971858E7
2025,연천군,여행업,41521.0
2025,연천군,레저용품쇼핑,249651.0
2025,연천군,뷰티,925271.0
2018,연천군,일반외식업,2.4961754E7
2025,연천군,기타관광쇼핑,2.5972226E7
2025,연천군,육상운송,1.3893111E7
2021,연천군,렌터카,0.0
2020,연천군,여행업,0.0
