기준년월,기초지자체,중분류,소비액(천원)
2018,진안군,관광총소비,3.7820296E7
2019,진안군,관광총소비,3.6730125E7
2020,진안군,관광총소비,3.5316782E7
2021,진안군,관광총소비,3.986685E7
2023,진안군,관광총소비,4.0585169E7
2024,진안군,관광총소비,4.4458149E7
2025,진안군,관광총소비,5.1124912E7
2022,진안군,관광총소비,4.2020979E7
2018,진안군,기타숙박,928425.0
2018,진안군,문화서비스,2559.0
2018,진안군,기타관광쇼핑,1.009672E7
2019,진안군,레저용품쇼핑,8423.0
2019,진안군,캠핑장/펜션,185338.0
2019,진안군,기타관광쇼핑,1.2364069E7
2019,진안군,문화서비스,23842.0
2020,진안군,골프장,3423668.0
2020,진안군,레저용품쇼핑,9280.0
2020,진안군,일반외식업,7845663.0
2021,진안군,기타숙박,187071.0
2021,진안군,레저용품쇼핑,50538.0
2021,진안군,문화서비스,2794.0
2021,진안군,뷰티,38332.0
2023,진안군,캠핑장/펜션,172278.0
2023,진안군,문화서비스,15601.0
2023,진안군,골프장,2648704.0
2023,진안군,제과음료업,1602221.0
2024,진안군,기타레저,166551.0
2024,진안군,육상운송,1.2078628E7
2024,진안군,기타숙박,452687.0
2024,진안군,캠핑장/펜션,186074.0
2024,진안군,제과음료업,1511114.0
2025,진안군,여행업,13295.0
2025,진안군,레저용품쇼핑,4833.0
2025,진안군,기타관광쇼핑,1.8509252E7
2025,진안군,기타레저,130161.0
2025,진안군,뷰티,125138.0
2018,진안군,골프장,2114973.0
2018,진안군,레저용품쇼핑,5038.0
2018,진안군,일반외식업,8595954.0
2018,진안군,캠핑장/펜션,210668.0
2018,진안군,기타레저,96391.0
2019,진안군,골프장,2270438.0
2019,진안군,기타숙박,874382.0
2019,진안군,육상운송,1.150676E7
2019,진안군,제과음료업,517129.0
2020,진안군,기타숙박,293589.0
2020,진안군,캠핑장/펜션,166563.0
2020,진안군,제과음료업,577759.0
2021,진안군,대형쇼핑몰,32847.0
2021,진안군,기타레저,101761.0
2021,진안군,골프장,4861995.0
2021,진안군,캠핑장/펜션,111410.0
2023,진안군,육상운송,9220416.0
2023,진안군,레저용품쇼핑,11679.0
2023,진안군,기타레저,127898.0
2023,진안군,여행업,3592.0
2023,진안군,대형쇼핑몰,21077.0
2023,진안군,뷰티,322764.0
2023,진안군,기타숙박,502482.0
2025,진안군,육상운송,1.5836859E7
2025,진안군,대형쇼핑몰,36953.0
2025,진안군,골프장,1430475.0
2018,진안군,육상운송,1.5372212E7
2018,진안군,대형쇼핑몰,37389.0
2020,진안군,기타레저,54839.0
2020,진안군,문화서비스,7193.0
2020,진안군,육상운송,9161789.0
2021,진안군,육상운송,1.1047691E7
2021,진안군,일반외식업,8271916.0
2023,진안군,기타관광쇼핑,1.5355652E7
2023,진안군,일반외식업,1.0580806E7
2024,진안군,기타관광쇼핑,1.6134669E7
2024,진안군,뷰티,239616.0
2024,진안군,레저용품쇼핑,13027.0
2025,진안군,일반외식업,1.2505512E7
2019,진안군,뷰티,41736.0
2019,진안군,대형쇼핑몰,50085.0
2020,진안군,뷰티,33547.0
2021,진안군,제과음료업,847273.0
2024,진안군,일반외식업,1.1475448E7
2025,진안군,기타숙박,291333.0
2019,진안군,기타레저,77533.0
2024,진안군,렌터카,31014.0
2018,진안군,뷰티,29641.0
2018,진안군,제과음료업,330324.0
2020,진안군,대형쇼핑몰,123372.0
2020,진안군,기타관광쇼핑,1.3619521E7
2022,진안군,캠핑장/펜션,141834.0
2022,진안군,기타숙박,315493.0
2022,진안군,육상운송,1.0986466E7
2022,진안군,레저용품쇼핑,95692.0
2022,진안군,골프장,4314897.0
2022,진안군,기타레저,156905.0
2022,진안군,문화서비스,14496.0
2022,진안군,대형쇼핑몰,37937.0
2022,진안군,기타관광쇼핑,1.4610009E7
2022,진안군,뷰티,142956.0
2022,진안군,일반외식업,1.0191202E7
2022,진안군,제과음료업,1013094.0
2024,진안군,대형쇼핑몰,30406.0
2024,진안군,문화서비스,15816.0
2024,진안군,골프장,2123100.0
2025,진안군,문화서비스,16237.0
2025,진안군,캠핑장/펜션,184030.0
2019,진안군,일반외식업,8810390.0
2021,진안군,기타관광쇼핑,1.4313223E7
2025,진안군,렌터카,8475.0
2025,진안군,제과음료업,2032359.0
2024,진안군,여행업,0.0
