기초지자체명,중분류,소비액(천원),전년동기 소비액
익산시,관광총소비,2.770158243E9,2.417361088E9
정읍시,관광총소비,1.072032116E9,9.16037743E8
남원시,관광총소비,9.96212435E8,8.27177099E8
무주군,관광총소비,5.85726431E8,4.96661585E8
장수군,관광총소비,2.58854393E8,2.22265601E8
임실군,관광총소비,8.35176373E8,7.2098508E8
순창군,관광총소비,3.20643043E8,2.8426048E8
전주시 완산구,관광총소비,5.119135369E9,4.467890204E9
전주시 덕진구,관광총소비,3.955754312E9,3.413745451E9
군산시,관광총소비,4.012601936E9,3.461034505E9
진안군,관광총소비,3.27923262E8,2.7679835E8
김제시,관광총소비,1.25746916E9,1.073822286E9
부안군,관광총소비,9.29721048E8,7.73641102E8
고창군,관광총소비,9.59213615E8,8.3534119E8
완주군,관광총소비,2.149675245E9,1.85511452E9
