기준년월,기초지자체,중분류,소비액(천원)
2018,보성군,관광총소비,8.2850541E7
2019,보성군,관광총소비,8.5525215E7
2020,보성군,관광총소비,7.6107477E7
2021,보성군,관광총소비,8.0132758E7
2022,보성군,관광총소비,9.6982194E7
2023,보성군,관광총소비,9.4606564E7
2024,보성군,관광총소비,9.1496904E7
2025,보성군,관광총소비,9.315186E7
2018,보성군,뷰티,130647.0
2018,보성군,일반외식업,1.713623E7
2018,보성군,제과음료업,2023466.0
2019,보성군,문화서비스,552835.0
2019,보성군,호텔,1514799.0
2019,보성군,뷰티,118705.0
2019,보성군,관광유원시설,338230.0
2019,보성군,콘도,877886.0
2019,보성군,골프장,60563.0
2019,보성군,캠핑장/펜션,95039.0
2019,보성군,기타관광쇼핑,1.8364184E7
2019,보성군,렌터카,17386.0
2020,보성군,문화서비스,554613.0
2020,보성군,뷰티,122034.0
2020,보성군,캠핑장/펜션,82840.0
2020,보성군,기타레저,225234.0
2020,보성군,레저용품쇼핑,247546.0
2020,보성군,기타숙박,668107.0
2020,보성군,호텔,2730762.0
2021,보성군,콘도,493482.0
2021,보성군,육상운송,3.49335E7
2021,보성군,기타관광쇼핑,1.921807E7
2021,보성군,관광유원시설,240522.0
2022,보성군,호텔,7019400.0
2022,보성군,콘도,631510.0
2022,보성군,캠핑장/펜션,91427.0
2022,보성군,기타숙박,818478.0
2022,보성군,레저용품쇼핑,188733.0
2022,보성군,기타관광쇼핑,2.2394616E7
2022,보성군,관광유원시설,244293.0
2022,보성군,골프장,187735.0
2022,보성군,기타레저,391364.0
2022,보성군,문화서비스,505485.0
2022,보성군,육상운송,4.1261203E7
2022,보성군,렌터카,7506.0
2022,보성군,대형쇼핑몰,22227.0
2022,보성군,뷰티,136372.0
2022,보성군,일반외식업,1.9881298E7
2022,보성군,제과음료업,3200549.0
2023,보성군,기타숙박,944753.0
2023,보성군,캠핑장/펜션,90257.0
2023,보성군,호텔,4250809.0
2023,보성군,기타관광쇼핑,2.2667252E7
2023,보성군,문화서비스,464543.0
2024,보성군,콘도,676892.0
2024,보성군,여행업,12659.0
2024,보성군,레저용품쇼핑,266630.0
2024,보성군,문화서비스,388277.0
2024,보성군,기타관광쇼핑,2.1599591E7
2024,보성군,캠핑장/펜션,74563.0
2024,보성군,기타레저,576148.0
2025,보성군,콘도,780465.0
2025,보성군,문화서비스,461368.0
2025,보성군,캠핑장/펜션,86479.0
2025,보성군,뷰티,218114.0
2025,보성군,제과음료업,4279298.0
2025,보성군,일반외식업,2.1522774E7
2018,보성군,콘도,971508.0
2018,보성군,기타관광쇼핑,1.715566E7
2019,보성군,육상운송,4.1280238E7
2019,보성군,제과음료업,2715593.0
2019,보성군,레저용품쇼핑,241425.0
2019,보성군,기타숙박,776992.0
2019,보성군,기타레저,296017.0
2020,보성군,골프장,86788.0
2020,보성군,관광유원시설,112097.0
2020,보성군,대형쇼핑몰,26379.0
2021,보성군,골프장,152970.0
2021,보성군,레저용품쇼핑,207311.0
2021,보성군,호텔,4883491.0
2021,보성군,문화서비스,525459.0
2021,보성군,제과음료업,2640070.0
2023,보성군,제과음료업,3540980.0
2023,보성군,일반외식업,2.1995223E7
2023,보성군,콘도,706326.0
2023,보성군,레저용품쇼핑,189774.0
2023,보성군,기타레저,438740.0
2023,보성군,골프장,126430.0
2023,보성군,육상운송,3.8790602E7
2024,보성군,골프장,157196.0
2025,보성군,기타숙박,863252.0
2025,보성군,호텔,2983882.0
2025,보성군,기타관광쇼핑,2.2836718E7
2025,보성군,기타레저,694179.0
2025,보성군,렌터카,16264.0
2018,보성군,레저용품쇼핑,249795.0
2018,보성군,기타숙박,587886.0
2018,보성군,문화서비스,519133.0
2020,보성군,기타관광쇼핑,1.8507655E7
2021,보성군,캠핑장/펜션,74808.0
2021,보성군,기타레저,236431.0
2023,보성군,관광유원시설,207376.0
2023,보성군,대형쇼핑몰,25904.0
2023,보성군,뷰티,167594.0
2024,보성군,호텔,4024446.0
2024,보성군,기타숙박,824792.0
2024,보성군,관광유원시설,208314.0
2024,보성군,뷰티,207838.0
2018,보성군,호텔,1503732.0
2018,보성군,골프장,61407.0
2019,보성군,일반외식업,1.8257821E7
2020,보성군,육상운송,3.3703118E7
2020,보성군,콘도,444859.0
2020,보성군,일반외식업,1.6047615E7
2020,보성군,렌터카,26083.0
2021,보성군,기타숙박,673500.0
2021,보성군,뷰티,108620.0
2024,보성군,렌터카,10808.0
2018,보성군,관광유원시설,452431.0
2018,보성군,대형쇼핑몰,14339.0
2019,보성군,대형쇼핑몰,17501.0
2024,보성군,대형쇼핑몰,27835.0
2018,보성군,캠핑장/펜션,72270.0
2018,보성군,기타레저,234590.0
2020,보성군,제과음료업,2521748.0
2024,보성군,일반외식업,2.1901023E7
2025,보성군,골프장,148107.0
2025,보성군,레저용품쇼핑,266812.0
2025,보성군,관광유원시설,153085.0
2025,보성군,육상운송,3.781468E7
2025,보성군,대형쇼핑몰,26383.0
2018,보성군,육상운송,4.1736476E7
2018,보성군,렌터카,970.0
2021,보성군,렌터카,5962.0
2021,보성군,대형쇼핑몰,23606.0
2021,보성군,일반외식업,1.5714957E7
2024,보성군,제과음료업,3868851.0
2024,보성군,육상운송,3.6671042E7
2023,보성군,렌터카,0.0
2025,보성군,여행업,0.0
