기준년월,기초지자체,중분류,소비액(천원)
2019,정선군,관광총소비,1.41382459E8
2020,정선군,관광총소비,9.0515447E7
2021,정선군,관광총소비,1.04756054E8
2022,정선군,관광총소비,1.43049283E8
2023,정선군,관광총소비,1.53033687E8
2024,정선군,관광총소비,1.53327727E8
2025,정선군,관광총소비,1.5812506E8
2018,정선군,관광총소비,1.35844869E8
2019,정선군,육상운송,1.3929055E7
2019,정선군,여행업,22790.0
2019,정선군,호텔,1.6182517E7
2019,정선군,뷰티,507642.0
2019,정선군,콘도,1.3301761E7
2019,정선군,골프장,3139243.0
2019,정선군,레저용품쇼핑,960850.0
2019,정선군,캠핑장/펜션,521428.0
2019,정선군,스키장,9989191.0
2019,정선군,기타숙박,5965989.0
2019,정선군,기타레저,401868.0
2020,정선군,육상운송,9228107.0
2020,정선군,기타숙박,2856002.0
2020,정선군,문화서비스,90344.0
2020,정선군,관광유원시설,707904.0
2020,정선군,기타관광쇼핑,2.3045996E7
2020,정선군,렌터카,3664.0
2020,정선군,호텔,6329281.0
2020,정선군,콘도,1.143058E7
2021,정선군,기타레저,370333.0
2021,정선군,일반외식업,2.6270142E7
2021,정선군,캠핑장/펜션,348892.0
2021,정선군,여행업,34149.0
2021,정선군,기타관광쇼핑,2.6019749E7
2021,정선군,관광유원시설,1739539.0
2021,정선군,렌터카,8521.0
2022,정선군,호텔,1.6064997E7
2022,정선군,콘도,1.3625208E7
2022,정선군,캠핑장/펜션,375869.0
2022,정선군,기타숙박,5756126.0
2022,정선군,렌터카,16319.0
2022,정선군,레저용품쇼핑,899197.0
2022,정선군,기타관광쇼핑,3.1664957E7
2022,정선군,관광유원시설,6076160.0
2022,정선군,골프장,4890933.0
2022,정선군,스키장,7546769.0
2022,정선군,기타레저,376769.0
2022,정선군,문화서비스,176491.0
2022,정선군,여행업,4872.0
2022,정선군,육상운송,1.3148714E7
2022,정선군,뷰티,349682.0
2022,정선군,일반외식업,3.874166E7
2022,정선군,제과음료업,3334558.0
2023,정선군,콘도,1.1023945E7
2023,정선군,기타숙박,5864073.0
2023,정선군,호텔,1.7802201E7
2023,정선군,캠핑장/펜션,563910.0
2023,정선군,여행업,70508.0
2023,정선군,관광유원시설,7375431.0
2023,정선군,스키장,1.0061278E7
2024,정선군,스키장,9372298.0
2024,정선군,기타관광쇼핑,3.3348209E7
2024,정선군,캠핑장/펜션,554337.0
2024,정선군,콘도,1.0256339E7
2024,정선군,여행업,58503.0
2024,정선군,골프장,4423969.0
2024,정선군,기타숙박,6175651.0
2024,정선군,일반외식업,4.6364265E7
2024,정선군,호텔,1.8666448E7
2025,정선군,캠핑장/펜션,461902.0
2025,정선군,기타숙박,6430981.0
2025,정선군,골프장,4792677.0
2025,정선군,여행업,99346.0
2025,정선군,레저용품쇼핑,906145.0
2025,정선군,스키장,9825771.0
2018,정선군,기타숙박,5909644.0
2018,정선군,문화서비스,47028.0
2018,정선군,관광유원시설,7542523.0
2018,정선군,여행업,52366.0
2019,정선군,관광유원시설,8449667.0
2019,정선군,기타관광쇼핑,2.86856E7
2019,정선군,문화서비스,216095.0
2020,정선군,스키장,4715054.0
2020,정선군,골프장,3052397.0
2020,정선군,레저용품쇼핑,663154.0
2021,정선군,기타숙박,3329124.0
2021,정선군,레저용품쇼핑,595883.0
2021,정선군,문화서비스,151626.0
2021,정선군,스키장,3995634.0
2021,정선군,뷰티,300100.0
2023,정선군,렌터카,8436.0
2023,정선군,기타관광쇼핑,3.3318781E7
2023,정선군,문화서비스,234063.0
2023,정선군,골프장,4540681.0
2023,정선군,육상운송,1.1033618E7
2023,정선군,레저용품쇼핑,1006005.0
2023,정선군,기타레저,552901.0
2024,정선군,렌터카,13299.0
2025,정선군,호텔,1.9664734E7
2025,정선군,기타관광쇼핑,3.2908884E7
2025,정선군,기타레저,526541.0
2025,정선군,콘도,1.0786436E7
2025,정선군,렌터카,18430.0
2025,정선군,문화서비스,166396.0
2025,정선군,뷰티,575794.0
2025,정선군,제과음료업,4690951.0
2018,정선군,육상운송,1.2938725E7
2018,정선군,콘도,1.4817854E7
2018,정선군,스키장,1.0227469E7
2018,정선군,기타관광쇼핑,2.6739436E7
2018,정선군,캠핑장/펜션,567242.0
2018,정선군,렌터카,18036.0
2018,정선군,기타레저,389631.0
2019,정선군,일반외식업,3.6976965E7
2020,정선군,기타레저,329570.0
2020,정선군,뷰티,323781.0
2021,정선군,제과음료업,2166974.0
2021,정선군,호텔,1.1153372E7
2021,정선군,골프장,3907567.0
2023,정선군,뷰티,439304.0
2023,정선군,제과음료업,4266810.0
2024,정선군,레저용품쇼핑,891847.0
2024,정선군,뷰티,509965.0
2024,정선군,문화서비스,200794.0
2025,정선군,일반외식업,4.8695932E7
2025,정선군,관광유원시설,6890651.0
2018,정선군,뷰티,539898.0
2019,정선군,제과음료업,2122716.0
2020,정선군,캠핑장/펜션,346480.0
2020,정선군,제과음료업,1890367.0
2021,정선군,콘도,1.1781833E7
2023,정선군,일반외식업,4.4871742E7
2019,정선군,렌터카,9084.0
2018,정선군,레저용품쇼핑,991177.0
2018,정선군,호텔,1.7367884E7
2018,정선군,골프장,3065679.0
2020,정선군,일반외식업,2.5494914E7
2020,정선군,여행업,7852.0
2021,정선군,육상운송,1.2582615E7
2024,정선군,기타레저,513267.0
2024,정선군,제과음료업,4296309.0
2024,정선군,관광유원시설,7262016.0
2018,정선군,일반외식업,3.2095959E7
2018,정선군,제과음료업,2534318.0
2024,정선군,육상운송,1.0420211E7
2025,정선군,육상운송,1.0683491E7
