기초지자체명,중분류,소비액(천원),전년동기 소비액
원주시,관광총소비,5.938773514E9,5.14766468E9
동해시,관광총소비,1.488387945E9,1.282128336E9
속초시,관광총소비,4.308507756E9,3.682374189E9
홍천군,관광총소비,3.386163188E9,2.947070292E9
영월군,관광총소비,7.15570218E8,6.16549631E8
평창군,관광총소비,2.355578771E9,2.039468382E9
화천군,관광총소비,3.2885307E8,2.9094512E8
양구군,관광총소비,2.45587924E8,2.14919378E8
인제군,관광총소비,8.90523405E8,7.76088787E8
양양군,관광총소비,1.517173195E9,1.31610556E9
춘천시,관광총소비,4.793304453E9,4.194441103E9
강릉시,관광총소비,5.8341328E9,5.032299292E9
태백시,관광총소비,7.33978613E8,6.37273587E8
철원군,관광총소비,5.44637475E8,4.72893571E8
고성군,관광총소비,1.245380651E9,1.085000172E9
삼척시,관광총소비,1.442016009E9,1.2749747E9
횡성군,관광총소비,1.791505681E9,1.535157348E9
정선군,관광총소비,1.080034585E9,9.21909526E8
