기준년월,기초지자체,중분류,소비액(천원)
2018,서천군,관광총소비,7.755096E7
2019,서천군,관광총소비,8.4517602E7
2020,서천군,관광총소비,8.1100381E7
2021,서천군,관광총소비,9.4182025E7
2022,서천군,관광총소비,1.13051041E8
2023,서천군,관광총소비,1.11132916E8
2024,서천군,관광총소비,1.08921771E8
2025,서천군,관광총소비,1.01446617E8
2018,서천군,캠핑장/펜션,578567.0
2018,서천군,기타레저,1518162.0
2018,서천군,레저용품쇼핑,828214.0
2018,서천군,육상운송,2.8738763E7
2018,서천군,관광유원시설,219568.0
2018,서천군,기타관광쇼핑,2.3927159E7
2019,서천군,일반외식업,2.3641729E7
2019,서천군,문화서비스,188556.0
2019,서천군,관광유원시설,223690.0
2019,서천군,대형쇼핑몰,13552.0
2019,서천군,레저용품쇼핑,743677.0
2019,서천군,캠핑장/펜션,535775.0
2019,서천군,기타관광쇼핑,2.8014459E7
2020,서천군,기타레저,854579.0
2020,서천군,기타관광쇼핑,2.6029157E7
2020,서천군,수상운송,1108.0
2020,서천군,캠핑장/펜션,375572.0
2020,서천군,제과음료업,1596681.0
2020,서천군,기타숙박,1125869.0
2021,서천군,캠핑장/펜션,297210.0
2021,서천군,수상운송,106.0
2021,서천군,기타레저,815205.0
2021,서천군,골프장,62232.0
2022,서천군,캠핑장/펜션,367745.0
2022,서천군,기타숙박,1171039.0
2022,서천군,육상운송,4.3139907E7
2022,서천군,레저용품쇼핑,747440.0
2022,서천군,관광유원시설,408568.0
2022,서천군,기타레저,1488463.0
2022,서천군,문화서비스,234719.0
2022,서천군,수상운송,1621.0
2022,서천군,대형쇼핑몰,24820.0
2022,서천군,기타관광쇼핑,3.4311331E7
2022,서천군,골프장,82651.0
2022,서천군,뷰티,175287.0
2022,서천군,일반외식업,2.8361975E7
2022,서천군,제과음료업,2535474.0
2023,서천군,육상운송,3.5275453E7
2023,서천군,레저용품쇼핑,743734.0
2023,서천군,기타레저,1887100.0
2023,서천군,뷰티,220502.0
2023,서천군,기타숙박,1132550.0
2024,서천군,육상운송,3.2294929E7
2024,서천군,레저용품쇼핑,978056.0
2024,서천군,문화서비스,389494.0
2024,서천군,기타관광쇼핑,3.6383385E7
2024,서천군,캠핑장/펜션,248805.0
2024,서천군,기타레저,1733139.0
2025,서천군,레저용품쇼핑,999942.0
2025,서천군,기타관광쇼핑,3.828742E7
2025,서천군,기타레저,1736839.0
2025,서천군,관광유원시설,215198.0
2018,서천군,제과음료업,1272259.0
2018,서천군,대형쇼핑몰,18300.0
2019,서천군,육상운송,2.6865917E7
2019,서천군,제과음료업,1513715.0
2019,서천군,뷰티,173432.0
2019,서천군,기타레저,1460132.0
2020,서천군,문화서비스,50898.0
2020,서천군,관광유원시설,184616.0
2021,서천군,레저용품쇼핑,771242.0
2021,서천군,기타관광쇼핑,2.8285129E7
2021,서천군,관광유원시설,317445.0
2023,서천군,문화서비스,218732.0
2023,서천군,제과음료업,3099113.0
2024,서천군,골프장,63998.0
2025,서천군,렌터카,1659.0
2025,서천군,문화서비스,266284.0
2025,서천군,육상운송,2.4141548E7
2025,서천군,대형쇼핑몰,23748.0
2025,서천군,골프장,65652.0
2025,서천군,뷰티,180015.0
2025,서천군,기타숙박,1116251.0
2025,서천군,캠핑장/펜션,262746.0
2018,서천군,수상운송,1272.0
2018,서천군,골프장,15400.0
2018,서천군,뷰티,150870.0
2018,서천군,일반외식업,1.9220915E7
2019,서천군,골프장,46866.0
2019,서천군,기타숙박,1095253.0
2020,서천군,대형쇼핑몰,19986.0
2020,서천군,레저용품쇼핑,775750.0
2020,서천군,육상운송,2.6547529E7
2020,서천군,여행업,0.0
2020,서천군,골프장,45787.0
2021,서천군,기타숙박,1133207.0
2021,서천군,문화서비스,137005.0
2021,서천군,뷰티,159176.0
2023,서천군,골프장,111433.0
2023,서천군,관광유원시설,312428.0
2023,서천군,일반외식업,3.1303814E7
2023,서천군,캠핑장/펜션,326098.0
2024,서천군,기타숙박,1179425.0
2024,서천군,관광유원시설,263521.0
2024,서천군,뷰티,208585.0
2020,서천군,뷰티,206779.0
2021,서천군,육상운송,3.7937175E7
2021,서천군,일반외식업,2.2356121E7
2024,서천군,렌터카,2263.0
2018,서천군,기타숙박,875816.0
2018,서천군,문화서비스,185696.0
2019,서천군,수상운송,850.0
2024,서천군,대형쇼핑몰,26611.0
2020,서천군,일반외식업,2.3286069E7
2021,서천군,대형쇼핑몰,19001.0
2023,서천군,수상운송,295.0
2023,서천군,기타관광쇼핑,3.6474043E7
2024,서천군,일반외식업,3.1823347E7
2025,서천군,일반외식업,3.0770666E7
2021,서천군,제과음료업,1891771.0
2023,서천군,대형쇼핑몰,27622.0
2024,서천군,제과음료업,3326212.0
2025,서천군,제과음료업,3378651.0
2021,서천군,여행업,0.0
2024,서천군,수상운송,0.0
