기준년월,기초지자체,중분류,소비액(천원)
2018,화성시,관광총소비,1.537262129E9
2019,화성시,관광총소비,1.650883331E9
2020,화성시,관광총소비,1.605932522E9
2021,화성시,관광총소비,1.785303456E9
2022,화성시,관광총소비,2.05320191E9
2023,화성시,관광총소비,2.034379131E9
2024,화성시,관광총소비,1.995204373E9
2025,화성시,관광총소비,1.950346851E9
2018,화성시,캠핑장/펜션,590674.0
2018,화성시,렌터카,257909.0
2018,화성시,기타레저,2.3123293E7
2018,화성시,기타숙박,1.609475E7
2018,화성시,문화서비스,9858155.0
2018,화성시,레저용품쇼핑,4.9960861E7
2018,화성시,콘도,1590473.0
2019,화성시,콘도,1669893.0
2019,화성시,골프장,4.9761136E7
2019,화성시,레저용품쇼핑,4.9242464E7
2019,화성시,기타관광쇼핑,3.55799081E8
2019,화성시,렌터카,274531.0
2019,화성시,기타숙박,1.5411778E7
2019,화성시,기타레저,2.9605891E7
2019,화성시,육상운송,5.72227488E8
2019,화성시,여행업,274442.0
2019,화성시,호텔,4962462.0
2019,화성시,뷰티,3.2690561E7
2020,화성시,문화서비스,4165508.0
2020,화성시,뷰티,2.8698251E7
2020,화성시,관광유원시설,531319.0
2020,화성시,여행업,235135.0
2020,화성시,기타숙박,1.2818436E7
2020,화성시,기타레저,2.2847387E7
2020,화성시,수상운송,274050.0
2020,화성시,레저용품쇼핑,5.902599E7
2021,화성시,기타레저,2.1154431E7
2021,화성시,일반외식업,3.78621446E8
2021,화성시,호텔,5560296.0
2021,화성시,기타숙박,1.3650322E7
2021,화성시,콘도,228543.0
2022,화성시,호텔,6649657.0
2022,화성시,콘도,613646.0
2022,화성시,캠핑장/펜션,567705.0
2022,화성시,기타숙박,1.7291439E7
2022,화성시,여행업,636864.0
2022,화성시,육상운송,7.70491459E8
2022,화성시,렌터카,163897.0
2022,화성시,대형쇼핑몰,6.6299843E7
2022,화성시,레저용품쇼핑,6.8071674E7
2022,화성시,기타관광쇼핑,4.26744652E8
2022,화성시,관광유원시설,2812233.0
2022,화성시,골프장,6.5515267E7
2022,화성시,기타레저,3.5175818E7
2022,화성시,문화서비스,9305805.0
2022,화성시,뷰티,3.5001854E7
2022,화성시,수상운송,207576.0
2022,화성시,일반외식업,4.7273823E8
2022,화성시,제과음료업,7.4914291E7
2023,화성시,캠핑장/펜션,701259.0
2023,화성시,기타관광쇼핑,4.36688308E8
2023,화성시,문화서비스,1.1674283E7
2023,화성시,렌터카,135723.0
2024,화성시,여행업,568936.0
2024,화성시,호텔,5994561.0
2024,화성시,스키장,6221.0
2024,화성시,기타관광쇼핑,4.27058168E8
2024,화성시,관광유원시설,2278834.0
2024,화성시,대형쇼핑몰,7.4051369E7
2024,화성시,문화서비스,1.2067202E7
2024,화성시,기타레저,3.4931368E7
2024,화성시,콘도,3706597.0
2024,화성시,골프장,6.5275183E7
2024,화성시,레저용품쇼핑,5.1458016E7
2024,화성시,육상운송,6.43813615E8
2025,화성시,관광유원시설,2535483.0
2025,화성시,육상운송,6.3507992E8
2025,화성시,대형쇼핑몰,6.588863E7
2025,화성시,골프장,6.2857973E7
2025,화성시,제과음료업,8.483208E7
2018,화성시,여행업,168749.0
2018,화성시,호텔,4728138.0
2018,화성시,수상운송,273955.0
2018,화성시,골프장,4.6633817E7
2018,화성시,기타관광쇼핑,3.25079565E8
2019,화성시,캠핑장/펜션,419829.0
2019,화성시,일반외식업,4.0450603E8
2019,화성시,수상운송,263703.0
2020,화성시,콘도,405694.0
2020,화성시,호텔,4335316.0
2021,화성시,캠핑장/펜션,448580.0
2021,화성시,여행업,261068.0
2021,화성시,문화서비스,4798654.0
2021,화성시,뷰티,3.0548996E7
2023,화성시,골프장,6.6504689E7
2023,화성시,육상운송,6.71681206E8
2023,화성시,레저용품쇼핑,5.7674862E7
2023,화성시,기타레저,3.7818795E7
2023,화성시,관광유원시설,2815311.0
2023,화성시,대형쇼핑몰,7.3294345E7
2023,화성시,기타숙박,1.7620529E7
2023,화성시,콘도,2993468.0
2024,화성시,뷰티,4.1557862E7
2025,화성시,여행업,470153.0
2025,화성시,수상운송,177916.0
2025,화성시,레저용품쇼핑,4.8492976E7
2025,화성시,스키장,87790.0
2025,화성시,뷰티,4.311379E7
2025,화성시,일반외식업,5.15220095E8
2025,화성시,콘도,1140859.0
2025,화성시,렌터카,223017.0
2025,화성시,문화서비스,1.0119954E7
2025,화성시,캠핑장/펜션,591754.0
2025,화성시,호텔,5828116.0
2025,화성시,기타관광쇼핑,4.26268097E8
2025,화성시,기타레저,3.293458E7
2018,화성시,뷰티,2.8731311E7
2018,화성시,육상운송,5.74202872E8
2018,화성시,관광유원시설,459122.0
2018,화성시,대형쇼핑몰,7.8335289E7
2019,화성시,관광유원시설,540454.0
2019,화성시,대형쇼핑몰,7.445063E7
2020,화성시,일반외식업,3.7450317E8
2020,화성시,캠핑장/펜션,479239.0
2020,화성시,제과음료업,5.2549688E7
2020,화성시,골프장,5.2548093E7
2020,화성시,기타관광쇼핑,3.9389449E8
2021,화성시,육상운송,6.5705334E8
2021,화성시,골프장,5.7727218E7
2021,화성시,레저용품쇼핑,6.4608975E7
2021,화성시,기타관광쇼핑,4.25134327E8
2021,화성시,관광유원시설,473384.0
2023,화성시,제과음료업,8.2850835E7
2023,화성시,호텔,6345043.0
2023,화성시,여행업,583009.0
2024,화성시,렌터카,170384.0
2024,화성시,일반외식업,5.2967985E8
2025,화성시,기타숙박,1.4483669E7
2020,화성시,렌터카,192638.0
2021,화성시,제과음료업,6.4859222E7
2023,화성시,수상운송,168793.0
2024,화성시,수상운송,197901.0
2019,화성시,문화서비스,1.0175753E7
2024,화성시,제과음료업,8.4906597E7
2018,화성시,제과음료업,3.6739618E7
2020,화성시,대형쇼핑몰,6.2022311E7
2020,화성시,육상운송,5.36405807E8
2021,화성시,렌터카,116880.0
2021,화성시,대형쇼핑몰,5.9874052E7
2021,화성시,수상운송,183721.0
2023,화성시,뷰티,4.073938E7
2023,화성시,일반외식업,5.24089292E8
2024,화성시,캠핑장/펜션,702016.0
2024,화성시,기타숙박,1.6779693E7
