기초지자체명,중분류,소비액(천원),전년동기 소비액
수원시,관광총소비,2.9554707226E10,2.5809879319E10
성남시,관광총소비,2.7577614114E10,2.3995724322E10
의정부시,관광총소비,7.250783205E9,6.341737722E9
부천시,관광총소비,1.2287692645E10,1.0491531541E10
평택시,관광총소비,9.118129867E9,7.966557754E9
안산시,관광총소비,1.2284667068E10,1.0730858649E10
구리시,관광총소비,4.672143924E9,4.035782088E9
남양주시,관광총소비,9.883549574E9,8.461462211E9
시흥시,관광총소비,9.59354467E9,8.367773683E9
의왕시,관광총소비,3.823307492E9,3.256440534E9
하남시,관광총소비,1.0670288701E10,9.196341749E9
파주시,관광총소비,9.832791661E9,8.565051031E9
안성시,관광총소비,7.230479292E9,6.193979635E9
김포시,관광총소비,9.745551509E9,8.38191244E9
광주시,관광총소비,6.357128893E9,5.531240899E9
포천시,관광총소비,5.007549608E9,4.330592685E9
가평군,관광총소비,3.381883985E9,2.938448431E9
안양시,관광총소비,1.1772237562E10,1.0230779612E10
광명시,관광총소비,4.458563602E9,3.880580781E9
동두천시,관광총소비,1.000871013E9,8.85926432E8
용인시,관광총소비,2.5475338702E10,2.1902260708E10
화성시,관광총소비,1.4612513704E10,1.2662166852E10
양주시,관광총소비,4.351111057E9,3.73192593E9
여주시,관광총소비,7.573056829E9,6.515033006E9
연천군,관광총소비,6.62247497E8,5.72760175E8
과천시,관광총소비,1.22611621E9,1.030876251E9
오산시,관광총소비,3.688416146E9,3.192022675E9
이천시,관광총소비,7.094009808E9,6.182984719E9
고양시,관광총소비,2.7547770121E10,2.3977325809E10
군포시,관광총소비,2.761559524E9,2.390689142E9
양평군,관광총소비,2.864732389E9,2.471000054E9
