기준년월,기초지자체,중분류,소비액(천원)
2018,서산시,관광총소비,3.28353525E8
2019,서산시,관광총소비,3.22574072E8
2020,서산시,관광총소비,2.97820133E8
2021,서산시,관광총소비,3.11399145E8
2022,서산시,관광총소비,3.35449562E8
2023,서산시,관광총소비,3.22509981E8
2024,서산시,관광총소비,3.35633471E8
2025,서산시,관광총소비,3.34285993E8
2018,서산시,캠핑장/펜션,688689.0
2018,서산시,렌터카,1226652.0
2018,서산시,기타레저,2992968.0
2019,서산시,육상운송,1.04348499E8
2019,서산시,여행업,37658.0
2019,서산시,제과음료업,6930417.0
2019,서산시,골프장,1731942.0
2019,서산시,레저용품쇼핑,1.6708311E7
2019,서산시,캠핑장/펜션,557822.0
2019,서산시,기타관광쇼핑,6.6376027E7
2019,서산시,기타숙박,6772070.0
2019,서산시,기타레저,3366817.0
2020,서산시,레저용품쇼핑,1.6646756E7
2020,서산시,골프장,1982438.0
2020,서산시,기타숙박,6099438.0
2020,서산시,기타관광쇼핑,7.2714614E7
2020,서산시,기타레저,2558009.0
2021,서산시,기타레저,2561353.0
2021,서산시,일반외식업,8.1568749E7
2021,서산시,기타숙박,6139599.0
2022,서산시,캠핑장/펜션,648488.0
2022,서산시,기타숙박,6410892.0
2022,서산시,여행업,8898.0
2022,서산시,육상운송,1.04354859E8
2022,서산시,렌터카,412747.0
2022,서산시,레저용품쇼핑,1.5795951E7
2022,서산시,기타관광쇼핑,7.8479247E7
2022,서산시,관광유원시설,151339.0
2022,서산시,골프장,2104224.0
2022,서산시,기타레저,2949980.0
2022,서산시,문화서비스,1739571.0
2022,서산시,수상운송,52291.0
2022,서산시,대형쇼핑몰,1.957536E7
2022,서산시,뷰티,4558931.0
2022,서산시,일반외식업,8.9128075E7
2022,서산시,제과음료업,9078709.0
2023,서산시,관광유원시설,217989.0
2023,서산시,대형쇼핑몰,2.0152011E7
2023,서산시,호텔,34929.0
2023,서산시,캠핑장/펜션,577824.0
2024,서산시,여행업,28017.0
2024,서산시,호텔,667444.0
2024,서산시,기타관광쇼핑,8.4141838E7
2024,서산시,육상운송,8.7969437E7
2024,서산시,렌터카,256066.0
2024,서산시,제과음료업,1.1126498E7
2024,서산시,관광유원시설,219336.0
2024,서산시,기타레저,3383656.0
2025,서산시,골프장,2111311.0
2025,서산시,수상운송,35601.0
2025,서산시,레저용품쇼핑,1.1606948E7
2025,서산시,뷰티,5610046.0
2018,서산시,기타관광쇼핑,6.4274521E7
2018,서산시,제과음료업,6145531.0
2018,서산시,기타숙박,7017613.0
2018,서산시,문화서비스,3159419.0
2019,서산시,관광유원시설,346.0
2019,서산시,대형쇼핑몰,1.825884E7
2019,서산시,렌터카,1055568.0
2019,서산시,문화서비스,2985469.0
2020,서산시,렌터카,739534.0
2020,서산시,캠핑장/펜션,566530.0
2021,서산시,캠핑장/펜션,520335.0
2021,서산시,문화서비스,878607.0
2021,서산시,뷰티,4366611.0
2023,서산시,기타관광쇼핑,8.3756568E7
2023,서산시,문화서비스,1851652.0
2023,서산시,렌터카,388443.0
2023,서산시,육상운송,7.5360852E7
2023,서산시,레저용품쇼핑,1.5049091E7
2023,서산시,기타레저,3447739.0
2023,서산시,여행업,37781.0
2023,서산시,일반외식업,9.7057296E7
2024,서산시,기타숙박,6639630.0
2025,서산시,여행업,17223.0
2025,서산시,호텔,805517.0
2025,서산시,기타관광쇼핑,8.6256748E7
2025,서산시,기타레저,3065708.0
2025,서산시,관광유원시설,228681.0
2025,서산시,제과음료업,1.152509E7
2025,서산시,캠핑장/펜션,475723.0
2025,서산시,기타숙박,6535795.0
2025,서산시,렌터카,166531.0
2025,서산시,문화서비스,1019295.0
2018,서산시,여행업,21559.0
2018,서산시,수상운송,31810.0
2018,서산시,골프장,1501103.0
2018,서산시,레저용품쇼핑,1.8242665E7
2020,서산시,문화서비스,1003305.0
2020,서산시,뷰티,3843896.0
2020,서산시,육상운송,8.4189878E7
2020,서산시,수상운송,29582.0
2021,서산시,육상운송,8.9139167E7
2021,서산시,골프장,1871072.0
2021,서산시,레저용품쇼핑,1.6179761E7
2021,서산시,기타관광쇼핑,7.9486863E7
2021,서산시,관광유원시설,46830.0
2023,서산시,수상운송,47431.0
2023,서산시,제과음료업,1.0364721E7
2023,서산시,기타숙박,6670593.0
2024,서산시,골프장,2255218.0
2024,서산시,레저용품쇼핑,1.3151219E7
2024,서산시,대형쇼핑몰,1.8394542E7
2024,서산시,문화서비스,1779607.0
2024,서산시,캠핑장/펜션,634960.0
2018,서산시,일반외식업,8.3617801E7
2019,서산시,뷰티,4159821.0
2019,서산시,수상운송,42665.0
2019,서산시,일반외식업,8.9241801E7
2020,서산시,일반외식업,8.2428215E7
2020,서산시,제과음료업,6827707.0
2020,서산시,대형쇼핑몰,1.8189864E7
2020,서산시,여행업,366.0
2021,서산시,제과음료업,7505995.0
2024,서산시,뷰티,5834385.0
2025,서산시,육상운송,9.413981E7
2025,서산시,대형쇼핑몰,1.8731156E7
2018,서산시,육상운송,1.12919738E8
2018,서산시,대형쇼핑몰,2.2099813E7
2021,서산시,렌터카,660818.0
2021,서산시,수상운송,32706.0
2023,서산시,골프장,2384065.0
2023,서산시,뷰티,5110995.0
2024,서산시,일반외식업,9.9101887E7
2024,서산시,수상운송,49731.0
2018,서산시,뷰티,4413642.0
2021,서산시,대형쇼핑몰,2.0440679E7
2025,서산시,일반외식업,9.1954812E7
2020,서산시,관광유원시설,0.0
2021,서산시,여행업,0.0
