기초지자체명,중분류,소비액(천원),전년동기 소비액
천안시 동남구,관광총소비,6.532163595E9,5.67466226E9
천안시 서북구,관광총소비,7.682229691E9,6.66870665E9
공주시,관광총소비,3.088239347E9,2.643373875E9
보령시,관광총소비,1.886220083E9,1.638569285E9
논산시,관광총소비,2.044417183E9,1.774420661E9
당진시,관광총소비,3.583508007E9,3.099699969E9
서천군,관광총소비,7.71903315E8,6.70456697E8
청양군,관광총소비,2.50018351E8,2.13395264E8
예산군,관광총소비,1.676105279E9,1.401900635E9
부여군,관광총소비,1.286766564E9,1.088225706E9
홍성군,관광총소비,1.396237221E9,1.20473873E9
태안군,관광총소비,1.90985014E9,1.647313905E9
서산시,관광총소비,2.588025883E9,2.25373989E9
계룡시,관광총소비,4.52373355E8,3.94660011E8
금산군,관광총소비,1.017988024E9,8.73990732E8
아산시,관광총소비,5.060986075E9,4.34855973E9
