기준년월,기초지자체,중분류,소비액(천원)
2018,강릉시,관광총소비,6.28655011E8
2019,강릉시,관광총소비,6.61158648E8
2020,강릉시,관광총소비,6.44074868E8
2021,강릉시,관광총소비,6.87927981E8
2022,강릉시,관광총소비,8.31136946E8
2023,강릉시,관광총소비,8.00405408E8
2024,강릉시,관광총소비,7.7894043E8
2025,강릉시,관광총소비,8.01833508E8
2018,강릉시,기타숙박,3.4150982E7
2018,강릉시,문화서비스,6583369.0
2018,강릉시,기타관광쇼핑,1.17525008E8
2019,강릉시,콘도,346794.0
2019,강릉시,골프장,9895890.0
2019,강릉시,캠핑장/펜션,2141239.0
2019,강릉시,기타관광쇼핑,1.22220151E8
2019,강릉시,렌터카,1045214.0
2019,강릉시,기타숙박,4.2437762E7
2019,강릉시,기타레저,7466491.0
2019,강릉시,문화서비스,5620542.0
2019,강릉시,육상운송,9.3230232E7
2020,강릉시,캠핑장/펜션,2166075.0
2020,강릉시,제과음료업,3.2496054E7
2020,강릉시,기타레저,7981704.0
2020,강릉시,렌터카,816843.0
2020,강릉시,콘도,368757.0
2020,강릉시,기타숙박,4.0172248E7
2020,강릉시,문화서비스,3175924.0
2020,강릉시,뷰티,6747798.0
2020,강릉시,관광유원시설,7840225.0
2020,강릉시,골프장,1.157555E7
2021,강릉시,골프장,1.4374555E7
2021,강릉시,레저용품쇼핑,2.9752075E7
2021,강릉시,문화서비스,3980525.0
2021,강릉시,뷰티,6699812.0
2021,강릉시,호텔,1.5799075E7
2021,강릉시,기타숙박,4.1420752E7
2022,강릉시,호텔,1.8812177E7
2022,강릉시,콘도,558596.0
2022,강릉시,캠핑장/펜션,2708242.0
2022,강릉시,기타숙박,4.6653155E7
2022,강릉시,여행업,43858.0
2022,강릉시,육상운송,1.24335557E8
2022,강릉시,렌터카,578252.0
2022,강릉시,레저용품쇼핑,2.9608374E7
2022,강릉시,기타관광쇼핑,1.61883527E8
2022,강릉시,관광유원시설,1.0556216E7
2022,강릉시,골프장,1.6280364E7
2022,강릉시,기타레저,8463239.0
2022,강릉시,문화서비스,1.3775699E7
2022,강릉시,뷰티,8290198.0
2022,강릉시,수상운송,357669.0
2022,강릉시,대형쇼핑몰,3.5509791E7
2022,강릉시,일반외식업,3.0572322E8
2022,강릉시,제과음료업,4.6998811E7
2023,강릉시,수상운송,466191.0
2023,강릉시,기타관광쇼핑,1.60204332E8
2023,강릉시,문화서비스,1.1901671E7
2023,강릉시,캠핑장/펜션,2273809.0
2024,강릉시,렌터카,566583.0
2024,강릉시,골프장,1.4648651E7
2024,강릉시,레저용품쇼핑,2.44521E7
2024,강릉시,뷰티,9004952.0
2024,강릉시,호텔,1.5845469E7
2024,강릉시,기타관광쇼핑,1.60169833E8
2024,강릉시,일반외식업,2.91919195E8
2025,강릉시,뷰티,8684179.0
2025,강릉시,캠핑장/펜션,8020183.0
2025,강릉시,기타숙박,3.450989E7
2018,강릉시,호텔,1.3882585E7
2018,강릉시,골프장,9395437.0
2018,강릉시,레저용품쇼핑,3.2829666E7
2018,강릉시,일반외식업,2.23926259E8
2018,강릉시,캠핑장/펜션,2425285.0
2018,강릉시,렌터카,1357335.0
2018,강릉시,기타레저,5890602.0
2019,강릉시,레저용품쇼핑,3.228691E7
2019,강릉시,호텔,1.5010054E7
2019,강릉시,뷰티,8280717.0
2019,강릉시,관광유원시설,7442025.0
2019,강릉시,대형쇼핑몰,3.4057997E7
2020,강릉시,수상운송,17316.0
2020,강릉시,여행업,81713.0
2021,강릉시,기타레저,8921087.0
2021,강릉시,제과음료업,3.6103306E7
2021,강릉시,콘도,446781.0
2021,강릉시,캠핑장/펜션,2126812.0
2021,강릉시,여행업,67338.0
2021,강릉시,기타관광쇼핑,1.45269616E8
2021,강릉시,관광유원시설,8636499.0
2021,강릉시,렌터카,672440.0
2021,강릉시,대형쇼핑몰,3.318826E7
2023,강릉시,렌터카,378232.0
2023,강릉시,콘도,462927.0
2023,강릉시,여행업,438235.0
2023,강릉시,호텔,1.6644689E7
2024,강릉시,기타숙박,4.1468918E7
2024,강릉시,캠핑장/펜션,2160388.0
2025,강릉시,관광유원시설,9881288.0
2025,강릉시,일반외식업,3.07822163E8
2025,강릉시,여행업,404879.0
2025,강릉시,레저용품쇼핑,2.2965924E7
2025,강릉시,호텔,1.6513373E7
2025,강릉시,기타관광쇼핑,1.66749882E8
2025,강릉시,기타레저,6167131.0
2025,강릉시,육상운송,1.10717207E8
2025,강릉시,골프장,1.3155538E7
2025,강릉시,수상운송,273956.0
2018,강릉시,뷰티,8897858.0
2018,강릉시,육상운송,9.8086335E7
2018,강릉시,관광유원시설,6149180.0
2018,강릉시,여행업,300041.0
2018,강릉시,대형쇼핑몰,3.645605E7
2019,강릉시,여행업,226262.0
2020,강릉시,호텔,1.4200153E7
2020,강릉시,레저용품쇼핑,2.797701E7
2020,강릉시,일반외식업,2.36644119E8
2020,강릉시,기타관광쇼핑,1.34546747E8
2021,강릉시,육상운송,9.8178338E7
2023,강릉시,관광유원시설,1.058371E7
2023,강릉시,대형쇼핑몰,3.3960295E7
2023,강릉시,골프장,1.4413296E7
2023,강릉시,뷰티,8943559.0
2023,강릉시,제과음료업,5.1236481E7
2023,강릉시,기타숙박,4.3375326E7
2023,강릉시,일반외식업,3.0094283E8
2024,강릉시,관광유원시설,1.11238E7
2024,강릉시,대형쇼핑몰,3.1202912E7
2024,강릉시,문화서비스,1.0828244E7
2024,강릉시,기타레저,6555782.0
2024,강릉시,콘도,338787.0
2025,강릉시,대형쇼핑몰,2.8648697E7
2025,강릉시,콘도,351466.0
2025,강릉시,렌터카,703511.0
2025,강릉시,문화서비스,9139484.0
2019,강릉시,수상운송,12882.0
2019,강릉시,제과음료업,3.3605299E7
2020,강릉시,대형쇼핑몰,3.2943883E7
2019,강릉시,일반외식업,2.45832187E8
2020,강릉시,육상운송,8.432275E7
2021,강릉시,일반외식업,2.42290711E8
2025,강릉시,제과음료업,5.7124759E7
2018,강릉시,제과음료업,3.0799019E7
2023,강릉시,육상운송,1.10338464E8
2023,강릉시,레저용품쇼핑,2.6657208E7
2023,강릉시,기타레저,7184156.0
2024,강릉시,육상운송,1.04546969E8
2024,강릉시,여행업,495754.0
2024,강릉시,수상운송,393291.0
2024,강릉시,제과음료업,5.3218801E7
2021,강릉시,수상운송,0.0
