기준년월,기초지자체,중분류,소비액(천원)
2018,수원시,관광총소비,3.782558127E9
2019,수원시,관광총소비,3.698850279E9
2020,수원시,관광총소비,3.216074558E9
2021,수원시,관광총소비,3.416763483E9
2022,수원시,관광총소비,3.878732744E9
2023,수원시,관광총소비,3.921378152E9
2024,수원시,관광총소비,3.895521976E9
2025,수원시,관광총소비,3.744827907E9
2018,수원시,제과음료업,1.22670516E8
2018,수원시,일반외식업,9.30112469E8
2019,수원시,레저용품쇼핑,4.1123641E7
2019,수원시,캠핑장/펜션,1054457.0
2019,수원시,기타숙박,2.6320037E7
2019,수원시,기타레저,6.1500182E7
2019,수원시,문화서비스,2.6053351E7
2019,수원시,육상운송,4.31579055E8
2019,수원시,여행업,2107020.0
2019,수원시,제과음료업,1.40083213E8
2019,수원시,호텔,1.5781855E7
2019,수원시,뷰티,1.07070865E8
2019,수원시,관광유원시설,452316.0
2019,수원시,대형쇼핑몰,1.246645723E9
2020,수원시,골프장,1.6092325E7
2020,수원시,레저용품쇼핑,4.0025073E7
2020,수원시,대형쇼핑몰,1.061010835E9
2020,수원시,호텔,8183303.0
2020,수원시,문화서비스,1.2770842E7
2020,수원시,뷰티,8.7751177E7
2020,수원시,관광유원시설,338723.0
2020,수원시,렌터카,2212900.0
2021,수원시,기타레저,3.4090401E7
2021,수원시,골프장,1.9892286E7
2021,수원시,문화서비스,1.3750115E7
2021,수원시,제과음료업,1.4304515E8
2021,수원시,캠핑장/펜션,514980.0
2021,수원시,여행업,525304.0
2021,수원시,호텔,9444709.0
2021,수원시,렌터카,2387919.0
2021,수원시,대형쇼핑몰,1.18193235E9
2022,수원시,호텔,1.540035E7
2022,수원시,캠핑장/펜션,638129.0
2022,수원시,기타숙박,2.4967067E7
2022,수원시,여행업,903961.0
2022,수원시,렌터카,2004502.0
2022,수원시,대형쇼핑몰,1.196050382E9
2022,수원시,레저용품쇼핑,4.6539122E7
2022,수원시,기타관광쇼핑,6.6062155E8
2022,수원시,관광유원시설,803836.0
2022,수원시,골프장,2.130851E7
2022,수원시,기타레저,5.0175064E7
2022,수원시,문화서비스,2.3862514E7
2022,수원시,뷰티,1.01889406E8
2022,수원시,육상운송,5.43199313E8
2022,수원시,일반외식업,1.014549461E9
2022,수원시,제과음료업,1.75819577E8
2023,수원시,캠핑장/펜션,585376.0
2023,수원시,기타관광쇼핑,6.71596152E8
2023,수원시,문화서비스,2.7989589E7
2023,수원시,렌터카,2192900.0
2024,수원시,육상운송,5.04484182E8
2024,수원시,여행업,2051993.0
2024,수원시,일반외식업,1.106216999E9
2024,수원시,기타레저,4.948709E7
2024,수원시,기타관광쇼핑,6.57514386E8
2024,수원시,뷰티,1.18096018E8
2025,수원시,일반외식업,1.098323647E9
2025,수원시,호텔,1.1473829E7
2025,수원시,기타관광쇼핑,6.27910053E8
2025,수원시,기타레저,5.112877E7
2025,수원시,렌터카,2061003.0
2025,수원시,문화서비스,2.7035303E7
2018,수원시,레저용품쇼핑,4.5089984E7
2019,수원시,기타관광쇼핑,5.81269471E8
2019,수원시,렌터카,2928613.0
2019,수원시,골프장,1.4112639E7
2020,수원시,캠핑장/펜션,558908.0
2020,수원시,제과음료업,1.29594499E8
2020,수원시,기타레저,3.9008874E7
2021,수원시,일반외식업,7.60234797E8
2021,수원시,기타숙박,2.1081188E7
2021,수원시,육상운송,4.43446091E8
2021,수원시,뷰티,9.0647806E7
2021,수원시,기타관광쇼핑,6.49876122E8
2021,수원시,관광유원시설,548225.0
2023,수원시,골프장,2.0228598E7
2023,수원시,육상운송,4.98491165E8
2023,수원시,레저용품쇼핑,4.523767E7
2023,수원시,기타레저,5.603077E7
2023,수원시,관광유원시설,753544.0
2023,수원시,대형쇼핑몰,1.123713559E9
2023,수원시,기타숙박,2.6575934E7
2024,수원시,호텔,1.346103E7
2024,수원시,기타숙박,2.600813E7
2025,수원시,제과음료업,2.03812098E8
2025,수원시,캠핑장/펜션,373432.0
2025,수원시,기타숙박,2.3910697E7
2025,수원시,관광유원시설,395916.0
