기준년월,기초지자체,중분류,소비액(천원)
2018,안성시,관광총소비,6.64394022E8
2019,안성시,관광총소비,7.30160263E8
2020,안성시,관광총소비,7.27635135E8
2021,안성시,관광총소비,9.05199648E8
2022,안성시,관광총소비,1.089366945E9
2023,안성시,관광총소비,1.049527056E9
2024,안성시,관광총소비,1.027696566E9
2025,안성시,관광총소비,1.036499657E9
2018,안성시,기타숙박,3489926.0
2018,안성시,문화서비스,2061615.0
2018,안성시,기타관광쇼핑,8.4143963E7
2018,안성시,캠핑장/펜션,546842.0
2018,안성시,렌터카,119708.0
2018,안성시,기타레저,3947763.0
2018,안성시,골프장,7.0538344E7
2018,안성시,레저용품쇼핑,1.0061781E7
2019,안성시,캠핑장/펜션,561964.0
2019,안성시,기타관광쇼핑,8.8325312E7
2019,안성시,기타레저,5164822.0
2019,안성시,일반외식업,1.34106657E8
2019,안성시,문화서비스,2306302.0
2019,안성시,관광유원시설,2025371.0
2019,안성시,대형쇼핑몰,2.3282898E7
2020,안성시,기타숙박,3784293.0
2020,안성시,문화서비스,928748.0
2020,안성시,관광유원시설,1683757.0
2020,안성시,캠핑장/펜션,514826.0
2020,안성시,제과음료업,1.1479112E7
2020,안성시,육상운송,3.25919299E8
2021,안성시,기타숙박,1.3549617E7
2021,안성시,콘도,10670.0
2021,안성시,육상운송,3.52592474E8
2022,안성시,콘도,35075.0
2022,안성시,캠핑장/펜션,639031.0
2022,안성시,기타숙박,1.5452826E7
2022,안성시,여행업,65723.0
2022,안성시,육상운송,4.30754615E8
2022,안성시,렌터카,103149.0
2022,안성시,레저용품쇼핑,1.5886125E7
2022,안성시,기타관광쇼핑,1.38163471E8
2022,안성시,관광유원시설,2216989.0
2022,안성시,골프장,9.9203197E7
2022,안성시,기타레저,5557170.0
2022,안성시,문화서비스,2056993.0
2022,안성시,대형쇼핑몰,2.08521941E8
2022,안성시,뷰티,6736989.0
2022,안성시,일반외식업,1.46541175E8
2022,안성시,제과음료업,1.7432478E7
2023,안성시,관광유원시설,1727865.0
2023,안성시,기타숙박,1.4395747E7
2023,안성시,일반외식업,1.56545748E8
2023,안성시,여행업,18426.0
2024,안성시,관광유원시설,1616091.0
2024,안성시,대형쇼핑몰,2.06385164E8
2024,안성시,문화서비스,2192312.0
2024,안성시,제과음료업,1.8960712E7
2024,안성시,기타숙박,6260658.0
2024,안성시,레저용품쇼핑,1.2291306E7
2024,안성시,골프장,9.7509862E7
2024,안성시,뷰티,8410212.0
2025,안성시,일반외식업,1.5406362E8
2025,안성시,기타관광쇼핑,1.20355778E8
2025,안성시,기타레저,6958508.0
2025,안성시,콘도,39949.0
2025,안성시,렌터카,132929.0
2025,안성시,문화서비스,1891392.0
2018,안성시,육상운송,3.25141796E8
2018,안성시,관광유원시설,2192632.0
2018,안성시,대형쇼핑몰,2.307595E7
2018,안성시,콘도,53978.0
2019,안성시,렌터카,135230.0
2019,안성시,기타숙박,3399307.0
2019,안성시,육상운송,3.67512321E8
2019,안성시,골프장,7.7417045E7
2019,안성시,레저용품쇼핑,9133415.0
2020,안성시,골프장,8.5609054E7
2020,안성시,레저용품쇼핑,1.3369168E7
2021,안성시,레저용품쇼핑,1.4695915E7
2021,안성시,캠핑장/펜션,502604.0
2021,안성시,여행업,790.0
2023,안성시,기타관광쇼핑,1.34444824E8
2023,안성시,문화서비스,2241516.0
2023,안성시,골프장,9.7608792E7
2023,안성시,육상운송,3.7873184E8
2023,안성시,레저용품쇼핑,1.4794369E7
2023,안성시,기타레저,5948738.0
2023,안성시,캠핑장/펜션,613603.0
2024,안성시,캠핑장/펜션,557484.0
2024,안성시,콘도,51019.0
2025,안성시,제과음료업,2.0191322E7
2025,안성시,캠핑장/펜션,549520.0
2025,안성시,기타숙박,4056787.0
2025,안성시,관광유원시설,1554788.0
2025,안성시,육상운송,4.0358446E8
2025,안성시,대형쇼핑몰,2.11835859E8
2025,안성시,골프장,9.1592972E7
2018,안성시,여행업,30540.0
2018,안성시,제과음료업,1.0826894E7
2018,안성시,뷰티,4083089.0
2019,안성시,콘도,101326.0
2020,안성시,기타관광쇼핑,8.9971909E7
2020,안성시,렌터카,159902.0
2020,안성시,여행업,8473.0
2020,안성시,콘도,3453.0
2020,안성시,기타레저,3873151.0
2021,안성시,기타관광쇼핑,1.086104E8
2021,안성시,관광유원시설,2183904.0
2021,안성시,렌터카,185242.0
2021,안성시,대형쇼핑몰,1.86088787E8
2021,안성시,문화서비스,1148323.0
2021,안성시,뷰티,4882791.0
2021,안성시,기타레저,4546002.0
2021,안성시,일반외식업,1.1803678E8
2023,안성시,대형쇼핑몰,2.15316914E8
2023,안성시,뷰티,8246134.0
2023,안성시,렌터카,190937.0
2023,안성시,콘도,132977.0
2024,안성시,기타레저,6338834.0
2024,안성시,여행업,47867.0
2025,안성시,뷰티,8610716.0
2025,안성시,여행업,34169.0
2025,안성시,레저용품쇼핑,1.1046889E7
2019,안성시,여행업,21895.0
2019,안성시,뷰티,4223295.0
2020,안성시,대형쇼핑몰,6.6288104E7
2018,안성시,일반외식업,1.24079201E8
2019,안성시,제과음료업,1.2443103E7
2020,안성시,일반외식업,1.20433298E8
2020,안성시,뷰티,3608589.0
2021,안성시,골프장,8.4759416E7
2021,안성시,제과음료업,1.3405935E7
2023,안성시,제과음료업,1.8568628E7
2024,안성시,기타관광쇼핑,1.32474745E8
2024,안성시,렌터카,258310.0
2024,안성시,육상운송,3.8302821E8
2024,안성시,일반외식업,1.5131378E8
