기초지자체명,중분류,소비액(천원),전년동기 소비액
수원시 장안구,관광총소비,3.834191506E9,3.257282368E9
수원시 권선구,관광총소비,8.56091289E9,7.527979801E9
수원시 팔달구,관광총소비,1.0037819666E10,8.797601107E9
수원시 영통구,관광총소비,7.121783164E9,6.227016043E9
성남시 수정구,관광총소비,4.386079703E9,3.789164041E9
성남시 분당구,관광총소비,1.991167547E10,1.7333280009E10
의정부시,관광총소비,7.250783205E9,6.341737722E9
안양시 만안구,관광총소비,3.060423296E9,2.650834331E9
안양시 동안구,관광총소비,8.711814265E9,7.579945281E9
평택시,관광총소비,9.118129867E9,7.966557754E9
고양시 덕양구,관광총소비,1.1557841021E10,9.942700759E9
고양시 일산동구,관광총소비,9.115510475E9,7.993044746E9
고양시 일산서구,관광총소비,6.874418625E9,6.041580304E9
구리시,관광총소비,4.672143924E9,4.035782088E9
남양주시,관광총소비,9.883549574E9,8.461462211E9
시흥시,관광총소비,9.59354467E9,8.367773683E9
의왕시,관광총소비,3.823307492E9,3.256440534E9
하남시,관광총소비,1.0670288701E10,9.196341749E9
용인시 처인구,관광총소비,7.931484868E9,6.761518295E9
용인시 기흥구,관광총소비,1.0456459602E10,8.999072681E9
용인시 수지구,관광총소비,7.087394231E9,6.141669733E9
파주시,관광총소비,9.832791661E9,8.565051031E9
안성시,관광총소비,7.230479292E9,6.193979635E9
김포시,관광총소비,9.745551509E9,8.38191244E9
광주시,관광총소비,6.357128893E9,5.531240899E9
포천시,관광총소비,5.007549608E9,4.330592685E9
가평군,관광총소비,3.381883985E9,2.938448431E9
광명시,관광총소비,4.458563602E9,3.880580781E9
동두천시,관광총소비,1.000871013E9,8.85926432E8
안산시 상록구,관광총소비,4.325827158E9,3.823075165E9
안산시 단원구,관광총소비,7.95883991E9,6.907783483E9
양주시,관광총소비,4.351111057E9,3.73192593E9
여주시,관광총소비,7.573056829E9,6.515033006E9
연천군,관광총소비,6.62247497E8,5.72760175E8
과천시,관광총소비,1.22611621E9,1.030876251E9
오산시,관광총소비,3.688416146E9,3.192022675E9
이천시,관광총소비,7.094009808E9,6.182984719E9
성남시 중원구,관광총소비,3.279858941E9,2.873280272E9
군포시,관광총소비,2.761559524E9,2.390689142E9
양평군,관광총소비,2.864732389E9,2.471000054E9
부천시 원미구,관광총소비,2.413764723E9,1.242076403E9
부천시 소사구,관광총소비,7.38802498E8,3.73517743E8
부천시 오정구,관광총소비,5.25614473E8,2.66426445E8
