기준년월,기초지자체,중분류,소비액(천원)
2018,시흥시,관광총소비,1.068586563E9
2019,시흥시,관광총소비,1.109078468E9
2020,시흥시,관광총소비,1.073606389E9
2021,시흥시,관광총소비,1.187947129E9
2022,시흥시,관광총소비,1.342829796E9
2023,시흥시,관광총소비,1.319257674E9
2024,시흥시,관광총소비,1.266467664E9
2025,시흥시,관광총소비,1.225770987E9
2018,시흥시,기타관광쇼핑,1.63833313E8
2018,시흥시,여행업,69543.0
2018,시흥시,호텔,1132300.0
2018,시흥시,골프장,1.6170534E7
2018,시흥시,레저용품쇼핑,3.4436576E7
2018,시흥시,뷰티,1.2751718E7
2019,시흥시,기타숙박,1.0993681E7
2019,시흥시,기타레저,1.5725196E7
2019,시흥시,육상운송,3.27155534E8
2019,시흥시,여행업,63429.0
2019,시흥시,호텔,1023416.0
2019,시흥시,뷰티,1.3612091E7
2019,시흥시,관광유원시설,139135.0
2019,시흥시,골프장,1.7307631E7
2019,시흥시,레저용품쇼핑,3.1472788E7
2019,시흥시,캠핑장/펜션,1245883.0
2020,시흥시,기타레저,1.1001315E7
2020,시흥시,기타숙박,9324279.0
2020,시흥시,기타관광쇼핑,2.05679859E8
2020,시흥시,렌터카,47399.0
2020,시흥시,캠핑장/펜션,885075.0
2020,시흥시,제과음료업,4.9941911E7
2020,시흥시,문화서비스,2009803.0
2020,시흥시,뷰티,1.3153431E7
2020,시흥시,육상운송,2.91015125E8
2021,시흥시,기타숙박,9090891.0
2021,시흥시,육상운송,3.47949003E8
2022,시흥시,호텔,575331.0
2022,시흥시,캠핑장/펜션,1165578.0
2022,시흥시,기타숙박,1.042037E7
2022,시흥시,여행업,48897.0
2022,시흥시,렌터카,71474.0
2022,시흥시,레저용품쇼핑,3.1750699E7
2022,시흥시,기타관광쇼핑,2.44528682E8
2022,시흥시,관광유원시설,3370643.0
2022,시흥시,골프장,2.7369041E7
2022,시흥시,기타레저,1.4166513E7
2022,시흥시,문화서비스,3461478.0
2022,시흥시,육상운송,4.0712031E8
2022,시흥시,대형쇼핑몰,2.11942249E8
2022,시흥시,뷰티,1.5295496E7
2022,시흥시,일반외식업,3.11788803E8
2022,시흥시,제과음료업,5.9754232E7
2023,시흥시,뷰티,1.6607793E7
2023,시흥시,기타숙박,9805951.0
2023,시흥시,레저용품쇼핑,2.8446048E7
2023,시흥시,기타레저,1.6268399E7
2023,시흥시,여행업,103840.0
2024,시흥시,여행업,93123.0
2024,시흥시,일반외식업,3.38779915E8
2024,시흥시,기타레저,1.721188E7
2024,시흥시,육상운송,3.18683834E8
2024,시흥시,기타관광쇼핑,2.28866111E8
2024,시흥시,뷰티,1.6775037E7
2025,시흥시,여행업,70124.0
2025,시흥시,레저용품쇼핑,2.2083746E7
2025,시흥시,호텔,387190.0
2025,시흥시,기타관광쇼핑,2.27180922E8
2025,시흥시,기타레저,1.7083874E7
2025,시흥시,관광유원시설,911945.0
2018,시흥시,육상운송,3.38794084E8
2018,시흥시,관광유원시설,131428.0
2019,시흥시,문화서비스,3378438.0
2019,시흥시,기타관광쇼핑,1.7827873E8
2019,시흥시,렌터카,38874.0
2020,시흥시,여행업,71334.0
2020,시흥시,호텔,563635.0
2021,시흥시,레저용품쇼핑,3.2828668E7
2021,시흥시,캠핑장/펜션,903332.0
2021,시흥시,여행업,21847.0
2021,시흥시,호텔,406334.0
2023,시흥시,관광유원시설,3556468.0
2023,시흥시,대형쇼핑몰,2.18479114E8
2023,시흥시,골프장,2.7670811E7
2023,시흥시,캠핑장/펜션,1034410.0
2023,시흥시,호텔,504418.0
