기준년월,기초지자체,중분류,소비액(천원)
2018,밀양시,관광총소비,1.07358531E8
2019,밀양시,관광총소비,1.09997659E8
2020,밀양시,관광총소비,1.09796539E8
2021,밀양시,관광총소비,1.28323114E8
2023,밀양시,관광총소비,1.38849043E8
2024,밀양시,관광총소비,1.44829234E8
2025,밀양시,관광총소비,1.56447712E8
2022,밀양시,관광총소비,1.4569916E8
2018,밀양시,캠핑장/펜션,229372.0
2018,밀양시,기타레저,1476370.0
2019,밀양시,기타레저,1458845.0
2019,밀양시,육상운송,3.0115981E7
2019,밀양시,여행업,60664.0
2019,밀양시,제과음료업,2601059.0
2019,밀양시,관광유원시설,156.0
2019,밀양시,대형쇼핑몰,4475240.0
2019,밀양시,레저용품쇼핑,1899941.0
2019,밀양시,캠핑장/펜션,271840.0
2020,밀양시,육상운송,2.2729654E7
2020,밀양시,기타숙박,1478495.0
2020,밀양시,문화서비스,86345.0
2020,밀양시,관광유원시설,4416.0
2020,밀양시,기타관광쇼핑,3.6404683E7
2020,밀양시,렌터카,42887.0
2020,밀양시,대형쇼핑몰,4788794.0
2020,밀양시,여행업,94127.0
2021,밀양시,문화서비스,227450.0
2021,밀양시,뷰티,813880.0
2021,밀양시,캠핑장/펜션,194816.0
2021,밀양시,여행업,34023.0
2023,밀양시,뷰티,1344054.0
2023,밀양시,일반외식업,3.8273191E7
2023,밀양시,캠핑장/펜션,393237.0
2023,밀양시,기타관광쇼핑,3.3903916E7
2023,밀양시,문화서비스,482863.0
2023,밀양시,렌터카,15526.0
2024,밀양시,레저용품쇼핑,2003530.0
2024,밀양시,문화서비스,498208.0
2024,밀양시,기타관광쇼핑,3.5504265E7
2024,밀양시,렌터카,13591.0
2024,밀양시,캠핑장/펜션,136134.0
2024,밀양시,기타레저,2319228.0
2025,밀양시,기타숙박,3591551.0
2025,밀양시,캠핑장/펜션,155182.0
2025,밀양시,렌터카,17291.0
2025,밀양시,문화서비스,473819.0
2025,밀양시,육상운송,3.3936705E7
2025,밀양시,대형쇼핑몰,3694703.0
2025,밀양시,골프장,2.0669613E7
2018,밀양시,기타관광쇼핑,2.7728204E7
2018,밀양시,제과음료업,1882278.0
2018,밀양시,기타숙박,1288865.0
2018,밀양시,문화서비스,217887.0
2019,밀양시,일반외식업,2.6003126E7
2019,밀양시,문화서비스,240918.0
2019,밀양시,기타숙박,1352482.0
2020,밀양시,골프장,1.1085934E7
2020,밀양시,레저용품쇼핑,1538166.0
2021,밀양시,기타레저,1739645.0
2021,밀양시,골프장,1.6209749E7
2022,밀양시,캠핑장/펜션,228773.0
2022,밀양시,기타숙박,2505305.0
2022,밀양시,여행업,3477.0
2022,밀양시,렌터카,21951.0
2022,밀양시,레저용품쇼핑,1454975.0
2022,밀양시,기타관광쇼핑,4.0525184E7
2022,밀양시,골프장,1.9048655E7
2022,밀양시,기타레저,2187691.0
2022,밀양시,문화서비스,390203.0
2022,밀양시,육상운송,3.3496335E7
2022,밀양시,대형쇼핑몰,4500174.0
2022,밀양시,관광유원시설,722.0
2022,밀양시,뷰티,974197.0
2022,밀양시,일반외식업,3.5107176E7
2022,밀양시,제과음료업,5254344.0
2023,밀양시,제과음료업,5889173.0
2023,밀양시,관광유원시설,19500.0
2024,밀양시,골프장,2.2602428E7
2025,밀양시,여행업,14620.0
2025,밀양시,레저용품쇼핑,1228435.0
2025,밀양시,기타관광쇼핑,3.7974791E7
2025,밀양시,기타레저,2120511.0
2018,밀양시,여행업,32566.0
2018,밀양시,골프장,7105094.0
2018,밀양시,레저용품쇼핑,2074673.0
2019,밀양시,기타관광쇼핑,3.1481239E7
2019,밀양시,렌터카,11178.0
2020,밀양시,기타레저,1462242.0
2020,밀양시,뷰티,693530.0
2021,밀양시,기타숙박,2010379.0
2021,밀양시,기타관광쇼핑,3.9847255E7
2021,밀양시,렌터카,5573.0
2021,밀양시,대형쇼핑몰,5181251.0
2021,밀양시,레저용품쇼핑,1439502.0
2023,밀양시,레저용품쇼핑,1652795.0
2023,밀양시,기타레저,2201213.0
2023,밀양시,골프장,2.0926517E7
2023,밀양시,육상운송,2.6541417E7
2023,밀양시,대형쇼핑몰,4625736.0
2024,밀양시,기타숙박,3524456.0
2024,밀양시,관광유원시설,11133.0
2024,밀양시,뷰티,1184431.0
2018,밀양시,일반외식업,2.3467313E7
2020,밀양시,캠핑장/펜션,239070.0
2020,밀양시,제과음료업,3118165.0
2021,밀양시,일반외식업,2.9504419E7
2021,밀양시,제과음료업,4274859.0
2025,밀양시,뷰티,1250020.0
2019,밀양시,뷰티,804126.0
2019,밀양시,골프장,9220864.0
2024,밀양시,대형쇼핑몰,4157196.0
2018,밀양시,대형쇼핑몰,5118441.0
2018,밀양시,육상운송,3.5986037E7
2018,밀양시,관광유원시설,649.0
2020,밀양시,일반외식업,2.6030031E7
2021,밀양시,육상운송,2.6834176E7
2021,밀양시,관광유원시설,6135.0
2023,밀양시,기타숙박,2562980.0
2023,밀양시,여행업,16925.0
2024,밀양시,일반외식업,4.0558439E7
2024,밀양시,여행업,60276.0
2025,밀양시,관광유원시설,5476.0
2025,밀양시,일반외식업,4.4061734E7
2018,밀양시,뷰티,750781.0
2024,밀양시,제과음료업,6503187.0
2024,밀양시,육상운송,2.5752731E7
2025,밀양시,제과음료업,7253261.0
