기초지자체명,중분류,소비액(천원),전년동기 소비액
진주시,관광총소비,2.846191957E9,2.487436342E9
통영시,관광총소비,1.579400032E9,1.367637225E9
사천시,관광총소비,2.004607592E9,1.719797724E9
김해시,관광총소비,7.501548357E9,6.509597358E9
양산시,관광총소비,4.320401681E9,3.773292809E9
의령군,관광총소비,2.28716092E8,1.99672393E8
창녕군,관광총소비,1.364654159E9,1.18648083E9
남해군,관광총소비,7.29500747E8,6.22198978E8
하동군,관광총소비,6.92251903E8,6.03655959E8
함양군,관광총소비,4.80502033E8,4.1422998E8
거창군,관광총소비,5.42714805E8,4.6423723E8
창원시 마산합포구,관광총소비,2.777321519E9,2.431877567E9
창원시 마산회원구,관광총소비,2.084328246E9,1.803826414E9
창원시 진해구,관광총소비,2.98759776E9,2.570351968E9
고성군,관광총소비,8.6907187E8,7.5089629E8
산청군,관광총소비,8.1400546E8,6.98355661E8
창원시 의창구,관광총소비,2.876672091E9,2.485044744E9
창원시 성산구,관광총소비,4.711571546E9,4.117724783E9
밀양시,관광총소비,1.041300992E9,8.8485328E8
거제시,관광총소비,2.204515428E9,1.924502852E9
함안군,관광총소비,1.600259871E9,1.356700783E9
합천군,관광총소비,3.77900715E8,3.25872432E8
