기준년월,기초지자체,중분류,소비액(천원)
2018,목포시,관광총소비,3.25438479E8
2019,목포시,관광총소비,3.50148417E8
2020,목포시,관광총소비,3.22643164E8
2021,목포시,관광총소비,3.36968508E8
2022,목포시,관광총소비,3.93052315E8
2023,목포시,관광총소비,4.1464519E8
2024,목포시,관광총소비,4.17181889E8
2025,목포시,관광총소비,4.22148698E8
2018,목포시,제과음료업,1.1698725E7
2018,목포시,일반외식업,9.7185513E7
2019,목포시,골프장,962190.0
2019,목포시,캠핑장/펜션,204179.0
2019,목포시,기타관광쇼핑,7.9189867E7
2019,목포시,렌터카,1148776.0
2019,목포시,기타숙박,9602580.0
2019,목포시,기타레저,9018829.0
2019,목포시,문화서비스,4000259.0
2019,목포시,육상운송,5.3002246E7
2020,목포시,기타레저,1.1155172E7
2020,목포시,렌터카,1046532.0
2020,목포시,기타관광쇼핑,7.5835552E7
2020,목포시,캠핑장/펜션,156604.0
2020,목포시,호텔,2102718.0
2020,목포시,제과음료업,1.3843127E7
2020,목포시,대형쇼핑몰,3.032572E7
2021,목포시,레저용품쇼핑,2.113089E7
2021,목포시,문화서비스,1542922.0
2021,목포시,뷰티,6045762.0
2022,목포시,호텔,2471931.0
2022,목포시,캠핑장/펜션,198140.0
2022,목포시,기타숙박,9711394.0
2022,목포시,여행업,242084.0
2022,목포시,육상운송,7.3382658E7
2022,목포시,렌터카,530960.0
2022,목포시,레저용품쇼핑,2.0336628E7
2022,목포시,기타관광쇼핑,8.6471157E7
2022,목포시,골프장,1514497.0
2022,목포시,기타레저,1.2724818E7
2022,목포시,문화서비스,3019534.0
2022,목포시,수상운송,263046.0
2022,목포시,대형쇼핑몰,3.5371813E7
2022,목포시,뷰티,6491632.0
2022,목포시,일반외식업,1.22559776E8
2022,목포시,제과음료업,1.7762246E7
2023,목포시,캠핑장/펜션,190954.0
2023,목포시,기타관광쇼핑,9.6163821E7
2023,목포시,문화서비스,3142287.0
2023,목포시,렌터카,564595.0
2024,목포시,렌터카,376512.0
2024,목포시,육상운송,6.0432948E7
2024,목포시,여행업,824849.0
2024,목포시,제과음료업,2.1994555E7
2024,목포시,레저용품쇼핑,1.5868463E7
2024,목포시,캠핑장/펜션,194513.0
2024,목포시,호텔,2065675.0
2024,목포시,기타관광쇼핑,9.9567761E7
2025,목포시,기타숙박,8552953.0
2025,목포시,호텔,1844459.0
2025,목포시,기타관광쇼핑,1.00982595E8
2025,목포시,기타레저,1.2784106E7
2025,목포시,렌터카,465035.0
2025,목포시,문화서비스,3623018.0
2025,목포시,제과음료업,2.3947193E7
2025,목포시,일반외식업,1.48064334E8
2018,목포시,레저용품쇼핑,2.5528705E7
2019,목포시,레저용품쇼핑,2.2891983E7
2019,목포시,호텔,2478304.0
2019,목포시,대형쇼핑몰,3.1910531E7
2020,목포시,여행업,92325.0
2020,목포시,기타숙박,8274918.0
2021,목포시,기타레저,1.0494838E7
2021,목포시,일반외식업,1.04478966E8
2021,목포시,렌터카,796295.0
2021,목포시,수상운송,133840.0
2023,목포시,골프장,1548337.0
2023,목포시,육상운송,6.1005763E7
2023,목포시,레저용품쇼핑,1.8270371E7
2023,목포시,기타레저,1.42392E7
2023,목포시,대형쇼핑몰,3.6083374E7
2023,목포시,기타숙박,1.0098713E7
2024,목포시,골프장,1648577.0
2024,목포시,대형쇼핑몰,3.5291798E7
2024,목포시,문화서비스,3715729.0
2025,목포시,캠핑장/펜션,155563.0
2025,목포시,여행업,620007.0
2025,목포시,레저용품쇼핑,1.4643706E7
2018,목포시,호텔,2867985.0
2018,목포시,골프장,911240.0
2018,목포시,기타숙박,8491818.0
2018,목포시,문화서비스,3129392.0
2019,목포시,여행업,295578.0
2019,목포시,뷰티,6747396.0
2020,목포시,문화서비스,1579209.0
2020,목포시,골프장,1098389.0
2021,목포시,기타관광쇼핑,8.2818605E7
2021,목포시,호텔,1895786.0
2021,목포시,캠핑장/펜션,200287.0
2021,목포시,여행업,117599.0
2021,목포시,기타숙박,8798472.0
2023,목포시,제과음료업,2.1881055E7
2023,목포시,호텔,2260573.0
2023,목포시,여행업,428137.0
2024,목포시,뷰티,8517791.0
2024,목포시,기타숙박,9386833.0
2024,목포시,기타레저,1.3217482E7
2018,목포시,여행업,309353.0
2018,목포시,수상운송,111285.0
2019,목포시,수상운송,71382.0
2019,목포시,제과음료업,1.3195362E7
2020,목포시,뷰티,5884681.0
2020,목포시,육상운송,4.5171687E7
2020,목포시,레저용품쇼핑,2.1067043E7
2020,목포시,일반외식업,1.04923894E8
2021,목포시,대형쇼핑몰,2.9509716E7
2021,목포시,골프장,1410421.0
2023,목포시,수상운송,549102.0
2018,목포시,육상운송,5.3839628E7
2019,목포시,일반외식업,1.15428954E8
2018,목포시,캠핑장/펜션,145442.0
2018,목포시,렌터카,1412735.0
2018,목포시,기타레저,3989167.0
2018,목포시,기타관광쇼핑,7.3437669E7
2020,목포시,수상운송,85593.0
2021,목포시,제과음료업,1.4674673E7
2021,목포시,육상운송,5.2919435E7
2023,목포시,일반외식업,1.40354671E8
2024,목포시,일반외식업,1.43731839E8
2024,목포시,수상운송,346565.0
2025,목포시,육상운송,6.4418398E7
2025,목포시,대형쇼핑몰,3.1837045E7
2025,목포시,골프장,1344683.0
2018,목포시,뷰티,6358552.0
2018,목포시,대형쇼핑몰,3.6021268E7
2023,목포시,뷰티,7864236.0
2025,목포시,수상운송,319733.0
2025,목포시,뷰티,8545870.0
