기초지자체명,중분류,소비액(천원),전년동기 소비액
목포시,관광총소비,2.98222666E9,2.560077962E9
여수시,관광총소비,4.256211134E9,3.69322566E9
순천시,관광총소비,3.51898954E9,3.072343523E9
광양시,관광총소비,2.129640738E9,1.844687924E9
곡성군,관광총소비,5.47588602E8,4.6796945E8
구례군,관광총소비,3.24686806E8,2.79526971E8
고흥군,관광총소비,4.96772182E8,4.2766316E8
보성군,관광총소비,7.00853513E8,6.07701654E8
장흥군,관광총소비,4.13301392E8,3.5199418E8
영암군,관광총소비,1.146062281E9,9.9460245E8
무안군,관광총소비,1.863524125E9,1.621380617E9
영광군,관광총소비,5.86392659E8,5.10518916E8
장성군,관광총소비,1.196852509E9,1.014307713E9
완도군,관광총소비,3.78982961E8,3.29318545E8
나주시,관광총소비,1.674182141E9,1.420356154E9
신안군,관광총소비,3.28826061E8,2.84064588E8
담양군,관광총소비,1.159152813E9,9.88709017E8
화순군,관광총소비,1.038120792E9,8.8833981E8
해남군,관광총소비,6.67925374E8,5.71217117E8
함평군,관광총소비,9.65368375E8,8.2939951E8
진도군,관광총소비,3.68016404E8,3.2255696E8
강진군,관광총소비,3.55403823E8,3.02809918E8
