기준년월,기초지자체,중분류,소비액(천원)
2018,포항시,관광총소비,7.90784286E8
2019,포항시,관광총소비,8.00330964E8
2020,포항시,관광총소비,7.2687159E8
2021,포항시,관광총소비,7.99716741E8
2023,포항시,관광총소비,9.60956744E8
2024,포항시,관광총소비,9.43191645E8
2025,포항시,관광총소비,9.33369999E8
2022,포항시,관광총소비,9.21144332E8
2018,포항시,캠핑장/펜션,1032679.0
2018,포항시,렌터카,841517.0
2018,포항시,기타레저,7120191.0
2018,포항시,기타숙박,1.291469E7
2018,포항시,문화서비스,6975209.0
2018,포항시,레저용품쇼핑,2.9101817E7
2019,포항시,관광유원시설,116391.0
2019,포항시,대형쇼핑몰,1.191456E8
2019,포항시,캠핑장/펜션,1094248.0
2019,포항시,기타관광쇼핑,1.50789114E8
2019,포항시,렌터카,936668.0
2019,포항시,기타숙박,1.1718991E7
2019,포항시,일반외식업,2.3086713E8
2019,포항시,문화서비스,6557169.0
2020,포항시,육상운송,1.52729218E8
2020,포항시,기타숙박,1.0632334E7
2020,포항시,문화서비스,3097547.0
2020,포항시,뷰티,1.5857078E7
2020,포항시,관광유원시설,51277.0
2020,포항시,기타관광쇼핑,1.57308765E8
2020,포항시,렌터카,689242.0
2020,포항시,대형쇼핑몰,1.03793871E8
2020,포항시,여행업,789659.0
2020,포항시,호텔,3200041.0
2021,포항시,육상운송,1.80688096E8
2021,포항시,뷰티,1.6714549E7
2021,포항시,기타관광쇼핑,1.80884069E8
2021,포항시,관광유원시설,61570.0
2023,포항시,육상운송,2.03864725E8
2023,포항시,레저용품쇼핑,2.5903687E7
2023,포항시,기타레저,1.0573896E7
2023,포항시,여행업,1732707.0
2023,포항시,뷰티,2.1997988E7
2023,포항시,관광유원시설,6732.0
2023,포항시,기타숙박,1.5866877E7
2024,포항시,기타레저,1.0474533E7
2024,포항시,기타숙박,1.4562611E7
2024,포항시,캠핑장/펜션,833454.0
2024,포항시,대형쇼핑몰,1.10304657E8
2024,포항시,문화서비스,5115393.0
2024,포항시,수상운송,336697.0
2024,포항시,여행업,1080266.0
2024,포항시,호텔,3935921.0
2025,포항시,캠핑장/펜션,679720.0
2025,포항시,기타숙박,1.4224078E7
2025,포항시,뷰티,2.3214103E7
2025,포항시,관광유원시설,22441.0
2025,포항시,제과음료업,4.2296048E7
2018,포항시,여행업,1102176.0
2018,포항시,대형쇼핑몰,1.29389224E8
2018,포항시,호텔,1252718.0
2018,포항시,수상운송,1095614.0
2018,포항시,골프장,1.4197967E7
2018,포항시,기타관광쇼핑,1.41089561E8
2019,포항시,골프장,1.4172324E7
2019,포항시,레저용품쇼핑,2.946468E7
2019,포항시,기타레저,9283621.0
2019,포항시,육상운송,1.77127401E8
2019,포항시,여행업,1342077.0
2019,포항시,제과음료업,2.3847884E7
2019,포항시,호텔,3989233.0
2019,포항시,뷰티,1.8752398E7
2020,포항시,골프장,1.4733412E7
2020,포항시,레저용품쇼핑,2.7861657E7
2021,포항시,렌터카,828600.0
2021,포항시,대형쇼핑몰,1.05212637E8
2021,포항시,수상운송,245756.0
2021,포항시,골프장,1.8146719E7
2021,포항시,레저용품쇼핑,2.7616192E7
2021,포항시,호텔,3882988.0
2021,포항시,문화서비스,3275368.0
2021,포항시,제과음료업,3.0221564E7
2022,포항시,호텔,4035286.0
2022,포항시,캠핑장/펜션,948252.0
2022,포항시,기타숙박,1.3744975E7
2022,포항시,여행업,1752766.0
2022,포항시,육상운송,2.2134247E8
2022,포항시,렌터카,880811.0
2022,포항시,대형쇼핑몰,1.07515398E8
2022,포항시,레저용품쇼핑,2.697807E7
2022,포항시,기타관광쇼핑,1.96515459E8
2022,포항시,관광유원시설,35489.0
2022,포항시,골프장,2.1190671E7
2022,포항시,기타레저,8763019.0
2022,포항시,문화서비스,4820886.0
2022,포항시,뷰티,1.8761635E7
2022,포항시,수상운송,432062.0
2022,포항시,일반외식업,2.56277661E8
2022,포항시,제과음료업,3.7149421E7
2023,포항시,호텔,4433220.0
2023,포항시,캠핑장/펜션,1051365.0
2023,포항시,렌터카,747586.0
2024,포항시,육상운송,1.92551128E8
2024,포항시,기타관광쇼핑,2.08183429E8
2024,포항시,렌터카,640593.0
2025,포항시,렌터카,673397.0
2025,포항시,문화서비스,4501863.0
2018,포항시,뷰티,1.8437119E7
2018,포항시,육상운송,1.97710076E8
2018,포항시,관광유원시설,81142.0
2020,포항시,기타레저,6907963.0
2021,포항시,캠핑장/펜션,846531.0
2021,포항시,여행업,881578.0
2021,포항시,기타레저,7217020.0
2023,포항시,골프장,2.1721358E7
2023,포항시,대형쇼핑몰,1.13973717E8
2023,포항시,제과음료업,4.059464E7
2023,포항시,일반외식업,2.85220798E8
2024,포항시,제과음료업,4.07314E7
2024,포항시,레저용품쇼핑,2.3732174E7
2024,포항시,일반외식업,2.86474096E8
2024,포항시,골프장,2.1664018E7
2019,포항시,수상운송,1126036.0
2020,포항시,수상운송,291370.0
2020,포항시,캠핑장/펜션,694267.0
2020,포항시,제과음료업,2.5743487E7
2021,포항시,기타숙박,1.2403543E7
2025,포항시,일반외식업,2.89340716E8
2018,포항시,제과음료업,1.9043861E7
2020,포항시,일반외식업,2.02490401E8
2023,포항시,기타관광쇼핑,2.07342851E8
2023,포항시,문화서비스,5447874.0
2024,포항시,뷰티,2.2563214E7
2024,포항시,관광유원시설,8060.0
2025,포항시,여행업,1701815.0
2025,포항시,레저용품쇼핑,2.1557172E7
2025,포항시,호텔,3220793.0
2025,포항시,기타관광쇼핑,2.10942362E8
2025,포항시,기타레저,1.0499426E7
2025,포항시,육상운송,1.87400526E8
2025,포항시,대형쇼핑몰,1.01077519E8
2025,포항시,골프장,2.0732834E7
2025,포항시,수상운송,1285187.0
2018,포항시,일반외식업,2.09398725E8
2021,포항시,일반외식업,2.10589961E8
2023,포항시,수상운송,476722.0
