기준년월,기초지자체,중분류,소비액(천원)
2018,중구,관광총소비,1.041052957E9
2019,중구,관광총소비,9.20406191E8
2020,중구,관광총소비,5.95978622E8
2021,중구,관광총소비,5.98388204E8
2022,중구,관광총소비,7.12424493E8
2023,중구,관광총소비,8.64107774E8
2024,중구,관광총소비,9.84397171E8
2025,중구,관광총소비,8.83568192E8
2018,중구,캠핑장/펜션,140765.0
2018,중구,기타레저,5889207.0
2018,중구,레저용품쇼핑,1.664591E7
2018,중구,항공운송,3.96517437E8
2018,중구,기타관광쇼핑,5.7687351E7
2018,중구,여행업,2362401.0
2018,중구,대형쇼핑몰,2.51202527E8
2018,중구,렌터카,4517.0
2019,중구,대형쇼핑몰,3.12371601E8
2019,중구,항공운송,1.84576007E8
2019,중구,캠핑장/펜션,160063.0
2019,중구,기타관광쇼핑,6.1644658E7
2019,중구,기타숙박,4944071.0
2019,중구,일반외식업,2.22116775E8
2019,중구,문화서비스,1.0866739E7
2020,중구,레저용품쇼핑,1.3651507E7
2020,중구,대형쇼핑몰,2.68934441E8
2020,중구,호텔,1269711.0
2020,중구,문화서비스,5189037.0
2020,중구,항공운송,9860571.0
2021,중구,기타레저,3296341.0
2021,중구,일반외식업,1.65803578E8
2021,중구,캠핑장/펜션,289241.0
2021,중구,여행업,274421.0
2021,중구,기타관광쇼핑,5.553042E7
2021,중구,관광유원시설,1055.0
2021,중구,렌터카,6033.0
2021,중구,대형쇼핑몰,2.63951496E8
2022,중구,호텔,879409.0
2022,중구,캠핑장/펜션,79948.0
2022,중구,기타숙박,4592426.0
2022,중구,여행업,877073.0
2022,중구,항공운송,5.7269458E7
2022,중구,대형쇼핑몰,2.29848584E8
2022,중구,레저용품쇼핑,1.6900646E7
2022,중구,기타관광쇼핑,6.3195E7
2022,중구,관광유원시설,49441.0
2022,중구,골프장,4027694.0
2022,중구,기타레저,5124644.0
2022,중구,문화서비스,1.004895E7
2022,중구,육상운송,2.1291918E7
2022,중구,렌터카,2121.0
2022,중구,뷰티,2.6738259E7
2022,중구,일반외식업,2.23599134E8
2022,중구,제과음료업,4.7899788E7
2023,중구,기타숙박,4472133.0
2023,중구,레저용품쇼핑,1.600341E7
2023,중구,기타레저,7161836.0
2023,중구,여행업,3667991.0
2023,중구,항공운송,1.34629687E8
2023,중구,관광유원시설,84620.0
2024,중구,호텔,877940.0
2024,중구,기타관광쇼핑,6.9687012E7
2024,중구,렌터카,17421.0
2024,중구,골프장,3776317.0
2024,중구,여행업,4304010.0
2024,중구,뷰티,3.2018325E7
2024,중구,관광유원시설,39073.0
2024,중구,대형쇼핑몰,2.44352488E8
2024,중구,문화서비스,1.2252041E7
2025,중구,호텔,738460.0
2025,중구,항공운송,1.33216143E8
2025,중구,기타관광쇼핑,7.2813133E7
2025,중구,기타레저,1.0103116E7
2025,중구,렌터카,6329.0
2025,중구,문화서비스,1.0805756E7
2025,중구,여행업,4199996.0
2025,중구,레저용품쇼핑,1.9584994E7
2025,중구,대형쇼핑몰,2.38556954E8
2025,중구,골프장,3614766.0
2025,중구,제과음료업,5.7007048E7
2018,중구,뷰티,2.991143E7
2018,중구,호텔,3388380.0
2018,중구,골프장,517528.0
2019,중구,레저용품쇼핑,1.5926818E7
2019,중구,기타레저,6022982.0
2019,중구,여행업,2061827.0
2019,중구,제과음료업,4.5460185E7
2019,중구,호텔,3121313.0
2019,중구,뷰티,3.0158681E7
2020,중구,캠핑장/펜션,458089.0
2020,중구,제과음료업,3.3554613E7
2020,중구,기타레저,4195433.0
2021,중구,기타숙박,3846337.0
2021,중구,레저용품쇼핑,1.5043438E7
2021,중구,항공운송,3617624.0
2021,중구,문화서비스,6238329.0
2021,중구,뷰티,2.4888308E7
2023,중구,제과음료업,5.541261E7
2023,중구,캠핑장/펜션,86236.0
2023,중구,호텔,859228.0
2023,중구,기타관광쇼핑,7.0223891E7
2023,중구,문화서비스,1.2290815E7
2023,중구,대형쇼핑몰,2.3560235E8
2024,중구,제과음료업,5.6895101E7
2024,중구,일반외식업,2.66766951E8
2025,중구,관광유원시설,434189.0
2025,중구,뷰티,3.3814213E7
2018,중구,육상운송,2.5005599E7
2018,중구,일반외식업,1.96072522E8
2018,중구,제과음료업,3.8542057E7
2019,중구,육상운송,2.045304E7
2020,중구,뷰티,2.3317788E7
2020,중구,기타관광쇼핑,5.3838894E7
2020,중구,렌터카,7898.0
2020,중구,기타숙박,3514294.0
2020,중구,여행업,573000.0
2021,중구,제과음료업,3.8352048E7
2021,중구,호텔,1127284.0
2021,중구,골프장,1852304.0
2023,중구,일반외식업,2.65089161E8
2023,중구,렌터카,2232.0
2023,중구,골프장,3995240.0
2023,중구,육상운송,2.4225354E7
2024,중구,기타숙박,3917300.0
2024,중구,레저용품쇼핑,1.8065853E7
2024,중구,항공운송,2.41816226E8
2024,중구,기타레저,7319631.0
2024,중구,육상운송,2.2211726E7
2024,중구,캠핑장/펜션,79756.0
2019,중구,골프장,521432.0
2020,중구,골프장,559693.0
2023,중구,뷰티,3.030098E7
2025,중구,육상운송,2.2317846E7
2018,중구,기타숙박,4385456.0
2018,중구,문화서비스,1.277987E7
2020,중구,일반외식업,1.64186732E8
2020,중구,육상운송,1.2866923E7
2021,중구,육상운송,1.4269947E7
2025,중구,기타숙박,3368542.0
2025,중구,캠핑장/펜션,63691.0
2025,중구,일반외식업,2.72923015E8
2019,중구,렌터카,0.0
