기준년월,기초지자체,중분류,소비액(천원)
2018,수영구,관광총소비,3.29617588E8
2019,수영구,관광총소비,3.52266938E8
2020,수영구,관광총소비,3.12154825E8
2021,수영구,관광총소비,3.28533426E8
2022,수영구,관광총소비,4.1493226E8
2023,수영구,관광총소비,4.51535747E8
2024,수영구,관광총소비,4.44223554E8
2025,수영구,관광총소비,4.50459811E8
2018,수영구,여행업,176136.0
2018,수영구,호텔,4418705.0
2018,수영구,골프장,246606.0
2018,수영구,뷰티,8088238.0
2018,수영구,육상운송,3.7093871E7
2018,수영구,일반외식업,1.367166E8
2018,수영구,대형쇼핑몰,4.388153E7
2019,수영구,캠핑장/펜션,160955.0
2019,수영구,기타숙박,6352237.0
2019,수영구,기타레저,5015048.0
2019,수영구,일반외식업,1.5918993E8
2019,수영구,문화서비스,1144049.0
2019,수영구,여행업,71577.0
2019,수영구,호텔,4940582.0
2019,수영구,뷰티,8745882.0
2020,수영구,렌터카,26543.0
2020,수영구,문화서비스,1027252.0
2020,수영구,뷰티,7790996.0
2020,수영구,캠핑장/펜션,55674.0
2020,수영구,기타레저,3635790.0
2020,수영구,레저용품쇼핑,6559094.0
2020,수영구,기타숙박,3977967.0
2020,수영구,여행업,20433.0
2020,수영구,호텔,2251502.0
2021,수영구,기타레저,3630405.0
2021,수영구,골프장,585206.0
2022,수영구,호텔,3013768.0
2022,수영구,캠핑장/펜션,150299.0
2022,수영구,기타숙박,4728219.0
2022,수영구,여행업,19974.0
2022,수영구,렌터카,42681.0
2022,수영구,레저용품쇼핑,7034006.0
2022,수영구,기타관광쇼핑,7.7491432E7
2022,수영구,관광유원시설,25953.0
2022,수영구,기타레저,5429215.0
2022,수영구,문화서비스,3817405.0
2022,수영구,뷰티,1.0073476E7
2022,수영구,육상운송,3.5636892E7
2022,수영구,대형쇼핑몰,3.4560783E7
2022,수영구,골프장,506188.0
2022,수영구,일반외식업,2.0431654E8
2022,수영구,제과음료업,2.8085428E7
2023,수영구,뷰티,1.1906262E7
2023,수영구,관광유원시설,61831.0
2023,수영구,렌터카,61670.0
2024,수영구,관광유원시설,8736.0
2024,수영구,대형쇼핑몰,1.5295618E7
2024,수영구,문화서비스,6341555.0
2024,수영구,제과음료업,3.4611134E7
2024,수영구,기타숙박,4325105.0
2024,수영구,레저용품쇼핑,6381574.0
2024,수영구,뷰티,1.2304712E7
2025,수영구,캠핑장/펜션,172564.0
2025,수영구,기타숙박,4495594.0
2025,수영구,여행업,411149.0
2025,수영구,레저용품쇼핑,6612854.0
2025,수영구,호텔,3152654.0
2025,수영구,기타관광쇼핑,8.314273E7
2025,수영구,기타레저,9970134.0
2025,수영구,일반외식업,2.55863862E8
2018,수영구,기타숙박,6624735.0
2018,수영구,문화서비스,1356165.0
2019,수영구,기타관광쇼핑,6.611049E7
2019,수영구,렌터카,30589.0
2019,수영구,골프장,311404.0
2019,수영구,레저용품쇼핑,6124941.0
2020,수영구,골프장,575312.0
2020,수영구,대형쇼핑몰,5.043007E7
2021,수영구,호텔,2188020.0
2021,수영구,기타숙박,3315089.0
2021,수영구,뷰티,8648316.0
2021,수영구,기타관광쇼핑,6.9523595E7
2023,수영구,제과음료업,3.3613115E7
2023,수영구,기타관광쇼핑,7.7710985E7
2023,수영구,문화서비스,5268172.0
2023,수영구,대형쇼핑몰,3.0246126E7
2023,수영구,골프장,683402.0
2024,수영구,캠핑장/펜션,260977.0
2025,수영구,렌터카,45290.0
2025,수영구,문화서비스,5228121.0
2018,수영구,제과음료업,1.5394412E7
2018,수영구,캠핑장/펜션,182833.0
2018,수영구,렌터카,53237.0
2018,수영구,기타레저,4565491.0
2020,수영구,기타관광쇼핑,6.2768248E7
2021,수영구,문화서비스,2671474.0
2021,수영구,제과음료업,2.0263137E7
2021,수영구,캠핑장/펜션,229881.0
2021,수영구,레저용품쇼핑,6385584.0
2021,수영구,렌터카,36222.0
2021,수영구,대형쇼핑몰,4.4383713E7
2023,수영구,일반외식업,2.37363785E8
2023,수영구,캠핑장/펜션,182582.0
2023,수영구,기타숙박,4747119.0
2023,수영구,호텔,3592490.0
2023,수영구,레저용품쇼핑,6548142.0
2023,수영구,기타레저,6734653.0
2023,수영구,여행업,81555.0
2023,수영구,육상운송,3.273386E7
2024,수영구,기타레저,7249212.0
2024,수영구,호텔,3898746.0
2024,수영구,골프장,591047.0
2018,수영구,기타관광쇼핑,6.5504679E7
2020,수영구,육상운송,2.309318E7
2020,수영구,일반외식업,1.33836504E8
2021,수영구,일반외식업,1.39379693E8
2021,수영구,육상운송,2.7289995E7
2018,수영구,레저용품쇼핑,5314351.0
2019,수영구,육상운송,3.2120356E7
2019,수영구,제과음료업,1.7115179E7
2021,수영구,여행업,3095.0
2020,수영구,제과음료업,1.6106259E7
2024,수영구,기타관광쇼핑,7.796501E7
2024,수영구,렌터카,32239.0
2024,수영구,육상운송,3.0370078E7
2025,수영구,뷰티,1.345072E7
2025,수영구,관광유원시설,591.0
2019,수영구,대형쇼핑몰,4.4833719E7
2024,수영구,여행업,144937.0
2024,수영구,일반외식업,2.44442875E8
2025,수영구,육상운송,3.0072831E7
2025,수영구,골프장,563113.0
2025,수영구,제과음료업,3.7277606E7
2025,수영구,대형쇼핑몰,0.0
