기초지자체명,중분류,소비액(천원),전년동기 소비액
중구,관광총소비,3.079895175E9,2.660679906E9
동구,관광총소비,2.540389259E9,2.173301079E9
영도구,관광총소비,6.85479404E8,5.86553192E8
동래구,관광총소비,3.532738139E9,3.029004028E9
남구,관광총소비,2.934036415E9,2.539023121E9
북구,관광총소비,7.910734784E9,6.82484183E9
사하구,관광총소비,1.979068004E9,1.710835059E9
금정구,관광총소비,2.45595961E9,2.148545738E9
연제구,관광총소비,3.453758844E9,3.006307701E9
수영구,관광총소비,3.08372415E9,2.633264338E9
사상구,관광총소비,3.447127804E9,3.021417E9
기장군,관광총소비,6.942739064E9,5.939701165E9
부산진구,관광총소비,7.860788712E9,6.839654795E9
강서구,관광총소비,5.446883762E9,4.601023331E9
서구,관광총소비,1.113569992E9,9.59353496E8
해운대구,관광총소비,1.618646836E10,1.3851643268E10
