기준년월,기초지자체,중분류,소비액(천원)
2018,부평구,관광총소비,9.42551598E8
2019,부평구,관광총소비,9.05355062E8
2020,부평구,관광총소비,7.54646596E8
2021,부평구,관광총소비,7.31603368E8
2023,부평구,관광총소비,9.07424615E8
2024,부평구,관광총소비,9.40932734E8
2025,부평구,관광총소비,9.5344793E8
2022,부평구,관광총소비,8.47733275E8
2018,부평구,기타숙박,1.1965752E7
2018,부평구,문화서비스,1.6923875E7
2018,부평구,기타관광쇼핑,1.95614354E8
2018,부평구,캠핑장/펜션,1942561.0
2018,부평구,렌터카,387434.0
2018,부평구,기타레저,1.96211E7
2018,부평구,여행업,439676.0
2018,부평구,대형쇼핑몰,6.2688849E7
2018,부평구,골프장,4309759.0
2019,부평구,관광유원시설,63182.0
2019,부평구,대형쇼핑몰,5.3690699E7
2019,부평구,캠핑장/펜션,1713981.0
2019,부평구,기타관광쇼핑,1.86094196E8
2019,부평구,렌터카,599636.0
2019,부평구,기타숙박,1.2360031E7
2019,부평구,일반외식업,3.09479446E8
2019,부평구,문화서비스,1.2890337E7
2020,부평구,레저용품쇼핑,3.9222022E7
2020,부평구,일반외식업,2.39110815E8
2020,부평구,기타관광쇼핑,1.90281977E8
2020,부평구,렌터카,1033229.0
2021,부평구,기타숙박,8932631.0
2021,부평구,레저용품쇼핑,3.4782187E7
2023,부평구,기타관광쇼핑,2.38364191E8
2023,부평구,문화서비스,8231451.0
2023,부평구,캠핑장/펜션,709064.0
2024,부평구,캠핑장/펜션,545607.0
2024,부평구,기타관광쇼핑,2.65536854E8
2024,부평구,렌터카,861058.0
2024,부평구,레저용품쇼핑,4.0721582E7
2024,부평구,관광유원시설,73715.0
2024,부평구,일반외식업,3.10711459E8
2024,부평구,기타레저,1.9894758E7
2024,부평구,육상운송,1.70334756E8
2024,부평구,여행업,550353.0
2024,부평구,기타숙박,7904063.0
2024,부평구,대형쇼핑몰,3.88742E7
2024,부평구,문화서비스,7818506.0
2025,부평구,캠핑장/펜션,574713.0
2025,부평구,기타숙박,7117105.0
2025,부평구,관광유원시설,27536.0
2025,부평구,뷰티,2.8628958E7
2025,부평구,제과음료업,4.5612271E7
2018,부평구,육상운송,2.12965074E8
2018,부평구,관광유원시설,8381.0
2018,부평구,레저용품쇼핑,4.9933304E7
2019,부평구,레저용품쇼핑,4.4246995E7
2019,부평구,기타레저,2.0694941E7
2019,부평구,여행업,570066.0
2019,부평구,제과음료업,3.8928544E7
2019,부평구,뷰티,3.1360449E7
2020,부평구,기타숙박,9366438.0
2020,부평구,캠핑장/펜션,903169.0
2020,부평구,제과음료업,3.1706665E7
2021,부평구,렌터카,471763.0
2021,부평구,캠핑장/펜션,763191.0
2021,부평구,여행업,81833.0
2022,부평구,캠핑장/펜션,804696.0
2022,부평구,기타숙박,1.0144642E7
2022,부평구,여행업,194469.0
2022,부평구,육상운송,1.92406181E8
2022,부평구,렌터카,665585.0
2022,부평구,레저용품쇼핑,3.6196606E7
2022,부평구,기타관광쇼핑,2.02855337E8
2022,부평구,관광유원시설,55573.0
2022,부평구,기타레저,1.5200045E7
2022,부평구,문화서비스,9654197.0
2022,부평구,대형쇼핑몰,4.2923623E7
2022,부평구,골프장,4871652.0
2022,부평구,뷰티,2.5405087E7
2022,부평구,일반외식업,2.67852155E8
2022,부평구,제과음료업,3.8503428E7
2023,부평구,렌터카,712517.0
2023,부평구,여행업,486590.0
2025,부평구,렌터카,984412.0
2025,부평구,문화서비스,7433495.0
2018,부평구,제과음료업,3.7667548E7
2018,부평구,뷰티,2.9953941E7
2019,부평구,육상운송,1.88861794E8
2020,부평구,여행업,159799.0
2020,부평구,기타레저,1.3827849E7
2020,부평구,문화서비스,4819237.0
2020,부평구,관광유원시설,58156.0
2020,부평구,육상운송,1.46803489E8
2020,부평구,골프장,4082912.0
2021,부평구,육상운송,1.6469388E8
2021,부평구,기타관광쇼핑,2.03488226E8
2021,부평구,관광유원시설,74428.0
2021,부평구,문화서비스,5022046.0
2021,부평구,제과음료업,3.1793841E7
2023,부평구,관광유원시설,70014.0
2023,부평구,대형쇼핑몰,4.2008322E7
2023,부평구,골프장,4624631.0
2023,부평구,뷰티,2.7581071E7
2023,부평구,제과음료업,4.4174781E7
2023,부평구,기타숙박,9115278.0
2023,부평구,일반외식업,3.06209051E8
2024,부평구,골프장,4149244.0
2019,부평구,골프장,3800766.0
2020,부평구,뷰티,2.5317388E7
2021,부평구,뷰티,2.5323345E7
2025,부평구,일반외식업,3.1479321E8
2021,부평구,대형쇼핑몰,4.3836554E7
2018,부평구,일반외식업,2.98129993E8
2020,부평구,대형쇼핑몰,4.7953451E7
2021,부평구,기타레저,1.0617742E7
2021,부평구,골프장,4459398.0
2023,부평구,레저용품쇼핑,4.0101637E7
2023,부평구,기타레저,1.790978E7
2024,부평구,제과음료업,4.4795895E7
2025,부평구,여행업,360062.0
2025,부평구,레저용품쇼핑,3.9044636E7
2025,부평구,기타관광쇼핑,2.72844842E8
2025,부평구,기타레저,1.9490717E7
2021,부평구,일반외식업,1.97262301E8
2023,부평구,육상운송,1.67126237E8
2024,부평구,뷰티,2.8160684E7
2025,부평구,육상운송,1.7536786E8
2025,부평구,대형쇼핑몰,3.751625E7
2025,부평구,골프장,3651862.0
