기준년월,기초지자체,중분류,소비액(천원)
2018,연수구,관광총소비,8.5284882E8
2019,연수구,관광총소비,8.39757317E8
2020,연수구,관광총소비,7.35075231E8
2021,연수구,관광총소비,8.04484861E8
2023,연수구,관광총소비,1.085128207E9
2024,연수구,관광총소비,1.081714841E9
2025,연수구,관광총소비,1.067286052E9
2022,연수구,관광총소비,9.676893E8
2018,연수구,캠핑장/펜션,234491.0
2018,연수구,렌터카,1163463.0
2018,연수구,기타레저,1.7937036E7
2019,연수구,일반외식업,2.41377054E8
2019,연수구,여행업,180518.0
2019,연수구,제과음료업,3.9370753E7
2019,연수구,호텔,1.6475709E7
2019,연수구,뷰티,2.0711729E7
2019,연수구,관광유원시설,254914.0
2019,연수구,대형쇼핑몰,2.6561956E8
2019,연수구,수상운송,77091.0
2019,연수구,캠핑장/펜션,353565.0
2019,연수구,기타관광쇼핑,1.09365927E8
2020,연수구,골프장,2.0492433E7
2020,연수구,레저용품쇼핑,2.3274411E7
2020,연수구,대형쇼핑몰,2.36597253E8
2020,연수구,수상운송,3514.0
2020,연수구,호텔,1.3559977E7
2020,연수구,문화서비스,3122276.0
2020,연수구,관광유원시설,317900.0
2020,연수구,렌터카,1521574.0
2021,연수구,기타숙박,1.2533648E7
2021,연수구,레저용품쇼핑,2.679652E7
2021,연수구,문화서비스,3724970.0
2021,연수구,뷰티,1.9134272E7
2023,연수구,관광유원시설,1015871.0
2023,연수구,대형쇼핑몰,2.87336043E8
2023,연수구,호텔,2.4426094E7
2023,연수구,캠핑장/펜션,24921.0
2024,연수구,문화서비스,9927731.0
2024,연수구,수상운송,26639.0
2024,연수구,기타숙박,1.2572729E7
2024,연수구,관광유원시설,1205762.0
2024,연수구,대형쇼핑몰,2.89852034E8
2024,연수구,기타레저,1.9104808E7
2024,연수구,일반외식업,3.8339078E8
2024,연수구,캠핑장/펜션,2828.0
2025,연수구,기타숙박,1.4459627E7
2025,연수구,캠핑장/펜션,9049.0
2025,연수구,골프장,1.7401486E7
2025,연수구,여행업,402495.0
