기준년월,기초지자체,중분류,소비액(천원)
2018,울주군,관광총소비,4.9215338E8
2019,울주군,관광총소비,4.93735395E8
2020,울주군,관광총소비,4.78203402E8
2021,울주군,관광총소비,5.27049442E8
2023,울주군,관광총소비,6.03819655E8
2024,울주군,관광총소비,6.14866063E8
2025,울주군,관광총소비,6.41308781E8
2022,울주군,관광총소비,6.16408291E8
2018,울주군,기타숙박,4873747.0
2018,울주군,문화서비스,367288.0
2019,울주군,관광유원시설,259499.0
2019,울주군,대형쇼핑몰,7988723.0
2019,울주군,캠핑장/펜션,624008.0
2019,울주군,기타관광쇼핑,8.8605875E7
2019,울주군,렌터카,198439.0
2019,울주군,기타숙박,4521596.0
2019,울주군,일반외식업,1.12472572E8
2019,울주군,문화서비스,694353.0
2020,울주군,기타레저,3186516.0
2020,울주군,기타숙박,4171774.0
2020,울주군,기타관광쇼핑,9.5834057E7
2020,울주군,렌터카,166662.0
2020,울주군,캠핑장/펜션,495120.0
2020,울주군,제과음료업,1.2767866E7
2020,울주군,문화서비스,780611.0
2020,울주군,뷰티,3886656.0
2020,울주군,육상운송,2.10163237E8
2021,울주군,육상운송,2.46938717E8
2021,울주군,기타관광쇼핑,9.6803075E7
2021,울주군,관광유원시설,497585.0
2021,울주군,렌터카,189048.0
2021,울주군,대형쇼핑몰,7309259.0
2023,울주군,기타숙박,4882458.0
2023,울주군,일반외식업,1.44188568E8
2023,울주군,여행업,11836.0
2023,울주군,호텔,221242.0
2023,울주군,관광유원시설,428953.0
2023,울주군,대형쇼핑몰,7336246.0
2024,울주군,일반외식업,1.46122047E8
2024,울주군,캠핑장/펜션,994824.0
2024,울주군,문화서비스,446227.0
2024,울주군,기타관광쇼핑,1.1108459E8
2024,울주군,골프장,3.5494654E7
2024,울주군,레저용품쇼핑,4016190.0
2024,울주군,뷰티,5485889.0
2024,울주군,기타숙박,4907881.0
2024,울주군,기타레저,4069274.0
2024,울주군,여행업,36164.0
2024,울주군,관광유원시설,450443.0
2025,울주군,호텔,151439.0
2025,울주군,기타관광쇼핑,1.14091928E8
2025,울주군,기타레저,3892484.0
2025,울주군,콘도,2482.0
2025,울주군,렌터카,153352.0
2025,울주군,문화서비스,1164938.0
2025,울주군,뷰티,6308272.0
2025,울주군,관광유원시설,388827.0
2018,울주군,기타관광쇼핑,9.7835766E7
2018,울주군,캠핑장/펜션,536384.0
2018,울주군,렌터카,241200.0
2018,울주군,기타레저,3308778.0
2018,울주군,뷰티,5380963.0
2019,울주군,콘도,2193.0
2019,울주군,골프장,2.5178923E7
2019,울주군,레저용품쇼핑,4750634.0
2019,울주군,기타레저,3596356.0
2019,울주군,여행업,208991.0
2019,울주군,제과음료업,1.1292703E7
2019,울주군,호텔,181503.0
2019,울주군,뷰티,5226039.0
2020,울주군,여행업,121220.0
2020,울주군,호텔,124408.0
2021,울주군,레저용품쇼핑,4689116.0
2021,울주군,뷰티,3381057.0
2021,울주군,호텔,102021.0
2021,울주군,기타숙박,3832837.0
2023,울주군,뷰티,5348418.0
2023,울주군,캠핑장/펜션,1112962.0
2023,울주군,렌터카,207412.0
2023,울주군,콘도,6322.0
2023,울주군,기타관광쇼핑,1.08778275E8
2023,울주군,문화서비스,602912.0
2025,울주군,골프장,3.8946454E7
2025,울주군,여행업,23120.0
2025,울주군,레저용품쇼핑,3370711.0
2025,울주군,일반외식업,1.53967473E8
2018,울주군,제과음료업,9450623.0
2018,울주군,호텔,176447.0
2018,울주군,골프장,2.3576963E7
2018,울주군,레저용품쇼핑,4500048.0
2019,울주군,육상운송,2.27932989E8
2020,울주군,일반외식업,1.0597652E8
2020,울주군,관광유원시설,304256.0
2020,울주군,대형쇼핑몰,8348682.0
2020,울주군,골프장,2.6576352E7
2020,울주군,레저용품쇼핑,5293384.0
2020,울주군,콘도,6081.0
2021,울주군,기타레저,3259772.0
2021,울주군,골프장,3.2572561E7
2021,울주군,캠핑장/펜션,637352.0
2023,울주군,레저용품쇼핑,4818856.0
2023,울주군,기타레저,4244536.0
2023,울주군,골프장,3.3673879E7
2023,울주군,육상운송,2.66189168E8
2024,울주군,콘도,5821.0
2024,울주군,호텔,149837.0
2024,울주군,렌터카,166864.0
2025,울주군,육상운송,2.79728764E8
2025,울주군,대형쇼핑몰,6304788.0
2025,울주군,제과음료업,2.692539E7
2021,울주군,일반외식업,1.09960558E8
2021,울주군,콘도,3589.0
2024,울주군,육상운송,2.69915709E8
2018,울주군,여행업,97230.0
2018,울주군,육상운송,2.24152116E8
2018,울주군,관광유원시설,174718.0
2018,울주군,대형쇼핑몰,8144780.0
2021,울주군,문화서비스,963005.0
2022,울주군,호텔,136506.0
2022,울주군,캠핑장/펜션,990873.0
2022,울주군,기타숙박,4762503.0
2022,울주군,렌터카,217360.0
2022,울주군,레저용품쇼핑,4649722.0
2022,울주군,기타관광쇼핑,1.00753809E8
2022,울주군,관광유원시설,612348.0
2022,울주군,골프장,3.5297366E7
2022,울주군,기타레저,3756772.0
2022,울주군,문화서비스,750332.0
2022,울주군,뷰티,4369625.0
2022,울주군,콘도,1427.0
2022,울주군,육상운송,3.03234156E8
2022,울주군,대형쇼핑몰,6671593.0
2022,울주군,일반외식업,1.31501448E8
2022,울주군,제과음료업,1.8702453E7
2023,울주군,제과음료업,2.1767613E7
2025,울주군,캠핑장/펜션,832279.0
2025,울주군,기타숙박,5056081.0
2018,울주군,일반외식업,1.09336328E8
2021,울주군,제과음료업,1.5883885E7
2021,울주군,여행업,26006.0
2024,울주군,대형쇼핑몰,7000746.0
2024,울주군,제과음료업,2.4518904E7
2022,울주군,여행업,0.0
