기준년월,기초지자체,중분류,소비액(천원)
2018,순창군,관광총소비,3.6388681E7
2019,순창군,관광총소비,4.0036472E7
2020,순창군,관광총소비,3.5577718E7
2021,순창군,관광총소비,4.1960937E7
2023,순창군,관광총소비,4.4672526E7
2024,순창군,관광총소비,3.9092423E7
2025,순창군,관광총소비,3.6382564E7
2022,순창군,관광총소비,4.6531721E7
2018,순창군,캠핑장/펜션,149616.0
2018,순창군,기타레저,60435.0
2018,순창군,레저용품쇼핑,106149.0
2018,순창군,기타관광쇼핑,5744155.0
2018,순창군,관광유원시설,409128.0
2018,순창군,대형쇼핑몰,6078.0
2019,순창군,문화서비스,53742.0
2019,순창군,육상운송,1.7634517E7
2019,순창군,대형쇼핑몰,4382.0
2019,순창군,골프장,825145.0
2019,순창군,레저용품쇼핑,116567.0
2019,순창군,기타숙박,494207.0
2019,순창군,기타레저,71431.0
2020,순창군,레저용품쇼핑,127880.0
2020,순창군,골프장,970517.0
2020,순창군,기타숙박,304004.0
2020,순창군,기타관광쇼핑,6134184.0
2020,순창군,기타레저,61982.0
2021,순창군,대형쇼핑몰,2757.0
2021,순창군,골프장,1717068.0
2021,순창군,레저용품쇼핑,132733.0
2021,순창군,캠핑장/펜션,167093.0
2023,순창군,제과음료업,1646761.0
2023,순창군,골프장,1654312.0
2023,순창군,육상운송,1.818203E7
2023,순창군,레저용품쇼핑,122611.0
2023,순창군,기타레저,245275.0
2024,순창군,기타레저,418318.0
2024,순창군,제과음료업,1744317.0
2024,순창군,일반외식업,1.3588886E7
2024,순창군,캠핑장/펜션,150200.0
2024,순창군,대형쇼핑몰,3128.0
2024,순창군,문화서비스,79293.0
2024,순창군,육상운송,1.1524247E7
2024,순창군,관광유원시설,833676.0
2025,순창군,일반외식업,1.3112505E7
2025,순창군,기타레저,406517.0
2025,순창군,렌터카,13860.0
2025,순창군,문화서비스,58980.0
2018,순창군,뷰티,75079.0
2018,순창군,골프장,813973.0
2019,순창군,제과음료업,865620.0
2019,순창군,관광유원시설,377707.0
2019,순창군,캠핑장/펜션,137829.0
2019,순창군,일반외식업,1.0051588E7
2020,순창군,캠핑장/펜션,146044.0
2021,순창군,관광유원시설,473883.0
2021,순창군,기타레저,73370.0
2021,순창군,육상운송,2.0016994E7
2023,순창군,관광유원시설,743306.0
2023,순창군,기타숙박,377255.0
2023,순창군,캠핑장/펜션,157232.0
2025,순창군,제과음료업,1937324.0
2025,순창군,캠핑장/펜션,128126.0
2025,순창군,기타숙박,317905.0
2025,순창군,관광유원시설,853908.0
2025,순창군,육상운송,8648199.0
2025,순창군,대형쇼핑몰,4172.0
2025,순창군,골프장,545136.0
2018,순창군,육상운송,1.9139224E7
2018,순창군,일반외식업,8860367.0
2018,순창군,제과음료업,562609.0
2020,순창군,여행업,334.0
2020,순창군,문화서비스,14066.0
2020,순창군,뷰티,83339.0
2020,순창군,육상운송,1.6636751E7
2020,순창군,대형쇼핑몰,3702.0
2021,순창군,문화서비스,10999.0
2021,순창군,뷰티,92148.0
2021,순창군,기타숙박,369296.0
2023,순창군,뷰티,376175.0
2023,순창군,문화서비스,82384.0
2023,순창군,대형쇼핑몰,4317.0
2023,순창군,기타관광쇼핑,8091615.0
2024,순창군,골프장,1231915.0
2024,순창군,기타숙박,354069.0
2025,순창군,뷰티,385101.0
2025,순창군,레저용품쇼핑,94924.0
2019,순창군,뷰티,106189.0
2020,순창군,일반외식업,9679412.0
2020,순창군,제과음료업,1060172.0
2020,순창군,관광유원시설,355332.0
2021,순창군,제과음료업,1419664.0
2024,순창군,뷰티,409392.0
2018,순창군,기타숙박,423200.0
2018,순창군,문화서비스,38668.0
2019,순창군,기타관광쇼핑,9297548.0
2021,순창군,기타관광쇼핑,6881083.0
2021,순창군,일반외식업,1.0603849E7
2022,순창군,캠핑장/펜션,178675.0
2022,순창군,기타숙박,346456.0
2022,순창군,대형쇼핑몰,7268.0
2022,순창군,레저용품쇼핑,140941.0
2022,순창군,관광유원시설,517087.0
2022,순창군,골프장,1894922.0
2022,순창군,기타레저,156803.0
2022,순창군,문화서비스,64564.0
2022,순창군,여행업,354.0
2022,순창군,육상운송,2.1778203E7
2022,순창군,기타관광쇼핑,7474777.0
2022,순창군,뷰티,237881.0
2022,순창군,일반외식업,1.2097064E7
2022,순창군,제과음료업,1636725.0
2024,순창군,레저용품쇼핑,124078.0
2024,순창군,기타관광쇼핑,8630905.0
2023,순창군,일반외식업,1.2989251E7
2025,순창군,기타관광쇼핑,9875907.0
2021,순창군,여행업,0.0
2023,순창군,여행업,0.0
