기준년월,기초지자체,중분류,소비액(천원)
2018,음성군,관광총소비,3.76295996E8
2019,음성군,관광총소비,3.90746284E8
2020,음성군,관광총소비,3.83263014E8
2021,음성군,관광총소비,4.34277592E8
2023,음성군,관광총소비,4.73720517E8
2024,음성군,관광총소비,4.87316701E8
2025,음성군,관광총소비,4.8010475E8
2022,음성군,관광총소비,4.98444282E8
2018,음성군,기타숙박,3303013.0
2018,음성군,문화서비스,249569.0
2019,음성군,문화서비스,1232963.0
2019,음성군,육상운송,1.64896301E8
2019,음성군,골프장,3.3416913E7
2019,음성군,레저용품쇼핑,7171098.0
2019,음성군,렌터카,301912.0
2019,음성군,기타숙박,3441291.0
2019,음성군,기타레저,3592572.0
2020,음성군,골프장,3.7612372E7
2020,음성군,관광유원시설,100919.0
2020,음성군,대형쇼핑몰,3743226.0
2020,음성군,호텔,4685.0
2020,음성군,문화서비스,589476.0
2020,음성군,뷰티,3852984.0
2020,음성군,레저용품쇼핑,6654539.0
2020,음성군,렌터카,337037.0
2021,음성군,관광유원시설,133870.0
2021,음성군,렌터카,372866.0
2021,음성군,대형쇼핑몰,3585111.0
2021,음성군,기타레저,2646872.0
2021,음성군,일반외식업,7.2624512E7
2023,음성군,호텔,36536.0
2023,음성군,캠핑장/펜션,279838.0
2023,음성군,기타관광쇼핑,8.9238562E7
2023,음성군,문화서비스,942052.0
2024,음성군,렌터카,393442.0
2024,음성군,골프장,7.1920026E7
2024,음성군,레저용품쇼핑,6424504.0
2024,음성군,기타레저,3601630.0
2024,음성군,호텔,70458.0
2024,음성군,기타숙박,4802746.0
2024,음성군,관광유원시설,156489.0
2024,음성군,문화서비스,970108.0
2024,음성군,여행업,18720.0
2024,음성군,기타관광쇼핑,9.1289876E7
2025,음성군,관광유원시설,275934.0
2025,음성군,육상운송,1.95953123E8
2025,음성군,대형쇼핑몰,4755494.0
2025,음성군,골프장,6.4148998E7
2025,음성군,제과음료업,8820769.0
2018,음성군,캠핑장/펜션,235988.0
2018,음성군,렌터카,329118.0
2018,음성군,기타레저,2749856.0
2018,음성군,육상운송,1.85776072E8
2018,음성군,관광유원시설,104873.0
2019,음성군,여행업,23682.0
2019,음성군,제과음료업,6176179.0
2019,음성군,호텔,21059.0
2019,음성군,관광유원시설,93745.0
2019,음성군,대형쇼핑몰,5340337.0
2019,음성군,캠핑장/펜션,202696.0
2019,음성군,일반외식업,8.162161E7
2020,음성군,캠핑장/펜션,202819.0
2020,음성군,일반외식업,7.2299814E7
2021,음성군,호텔,3344.0
2021,음성군,문화서비스,637921.0
2021,음성군,제과음료업,6574791.0
2021,음성군,레저용품쇼핑,6958784.0
2023,음성군,골프장,5.9168489E7
2023,음성군,관광유원시설,192622.0
2023,음성군,기타숙박,5057779.0
2023,음성군,렌터카,449739.0
2024,음성군,뷰티,5210464.0
2025,음성군,여행업,13444.0
2025,음성군,레저용품쇼핑,9585260.0
2025,음성군,뷰티,5447305.0
2025,음성군,일반외식업,9.1149943E7
2025,음성군,렌터카,324839.0
2025,음성군,문화서비스,615387.0
2025,음성군,캠핑장/펜션,211136.0
2025,음성군,기타레저,3540564.0
2018,음성군,뷰티,3562308.0
2018,음성군,레저용품쇼핑,6071435.0
2018,음성군,기타관광쇼핑,6.3327728E7
2020,음성군,제과음료업,6437358.0
2020,음성군,기타숙박,3487765.0
2020,음성군,기타관광쇼핑,7.8407128E7
2020,음성군,기타레저,2844264.0
2021,음성군,골프장,4.8569918E7
2021,음성군,기타숙박,4244963.0
2021,음성군,육상운송,2.02578745E8
2022,음성군,호텔,39357.0
2022,음성군,캠핑장/펜션,165935.0
2022,음성군,기타숙박,4764527.0
2022,음성군,렌터카,432890.0
2022,음성군,레저용품쇼핑,7161307.0
2022,음성군,관광유원시설,86556.0
2022,음성군,골프장,5.9018038E7
2022,음성군,기타레저,3115655.0
2022,음성군,문화서비스,915519.0
2022,음성군,여행업,9414.0
2022,음성군,육상운송,2.34932741E8
2022,음성군,대형쇼핑몰,4914759.0
2022,음성군,기타관광쇼핑,8.6732343E7
2022,음성군,뷰티,4481332.0
2022,음성군,일반외식업,8.4300851E7
2022,음성군,제과음료업,7373057.0
2023,음성군,일반외식업,9.1903705E7
2023,음성군,여행업,3844.0
2023,음성군,레저용품쇼핑,6446652.0
2023,음성군,기타레저,3744680.0
2023,음성군,육상운송,1.97359196E8
2025,음성군,호텔,9831.0
2025,음성군,기타관광쇼핑,9.0966282E7
2025,음성군,기타숙박,4286442.0
2018,음성군,제과음료업,4681719.0
2019,음성군,뷰티,4080526.0
2020,음성군,육상운송,1.66688627E8
2021,음성군,기타관광쇼핑,8.1115701E7
2023,음성군,대형쇼핑몰,5374087.0
2024,음성군,대형쇼핑몰,5210850.0
2024,음성군,육상운송,1.94566002E8
2018,음성군,일반외식업,7.041551E7
2019,음성군,기타관광쇼핑,7.9133398E7
2024,음성군,일반외식업,9.4003118E7
2018,음성군,호텔,6874.0
2018,음성군,골프장,3.0132594E7
2018,음성군,여행업,7982.0
2021,음성군,뷰티,4017413.0
2021,음성군,캠핑장/펜션,212118.0
2021,음성군,여행업,664.0
2023,음성군,뷰티,5287093.0
2024,음성군,제과음료업,8440869.0
2024,음성군,캠핑장/펜션,237398.0
2018,음성군,대형쇼핑몰,5341358.0
2023,음성군,제과음료업,8235642.0
2020,음성군,여행업,0.0
