기초지자체명,중분류,소비액(천원),전년동기 소비액
청주시 상당구,관광총소비,4.48096982E9,3.878669373E9
청주시 서원구,관광총소비,5.399963019E9,4.724927195E9
청주시 청원구,관광총소비,5.083829582E9,4.409965187E9
충주시,관광총소비,4.304877394E9,3.744391293E9
보은군,관광총소비,6.73271747E8,5.83540879E8
영동군,관광총소비,5.47385774E8,4.72800395E8
증평군,관광총소비,9.85053726E8,8.64647074E8
진천군,관광총소비,2.627140696E9,2.300869049E9
괴산군,관광총소비,1.076247713E9,9.29569458E8
단양군,관광총소비,1.036579795E9,9.03145317E8
제천시,관광총소비,2.533907854E9,2.194554237E9
옥천군,관광총소비,1.023594933E9,8.76463489E8
음성군,관광총소비,3.524169136E9,3.044064386E9
청주시 흥덕구,관광총소비,8.97637418E9,7.662583985E9
