기준년월,기초지자체,중분류,소비액(천원)
2018,고령군,관광총소비,4.0859521E7
2019,고령군,관광총소비,4.0000944E7
2020,고령군,관광총소비,4.3132361E7
2021,고령군,관광총소비,5.6530072E7
2023,고령군,관광총소비,5.8268304E7
2024,고령군,관광총소비,6.0203498E7
2025,고령군,관광총소비,5.846917E7
2022,고령군,관광총소비,6.0271457E7
2018,고령군,캠핑장/펜션,46008.0
2018,고령군,기타레저,168704.0
2018,고령군,레저용품쇼핑,60317.0
2018,고령군,기타관광쇼핑,1.2294814E7
2018,고령군,대형쇼핑몰,12073.0
2019,고령군,기타레저,226594.0
2019,고령군,육상운송,1.2520176E7
2019,고령군,제과음료업,550139.0
2019,고령군,대형쇼핑몰,14475.0
2019,고령군,레저용품쇼핑,114679.0
2019,고령군,캠핑장/펜션,61670.0
2020,고령군,골프장,8953548.0
2020,고령군,레저용품쇼핑,124456.0
2020,고령군,육상운송,1.003248E7
2020,고령군,일반외식업,7563793.0
2020,고령군,캠핑장/펜션,34921.0
2020,고령군,제과음료업,632480.0
2021,고령군,캠핑장/펜션,39660.0
2023,고령군,일반외식업,1.0457855E7
2023,고령군,골프장,1.2108763E7
2023,고령군,육상운송,1.6650205E7
2023,고령군,레저용품쇼핑,26825.0
2023,고령군,기타레저,306354.0
2024,고령군,골프장,1.2480795E7
2024,고령군,뷰티,133181.0
2024,고령군,대형쇼핑몰,15207.0
2024,고령군,문화서비스,27432.0
2025,고령군,기타레저,526215.0
2025,고령군,문화서비스,19049.0
2025,고령군,육상운송,1.3748487E7
2025,고령군,대형쇼핑몰,12157.0
2025,고령군,골프장,1.2292757E7
2018,고령군,뷰티,80606.0
2018,고령군,골프장,4904584.0
2019,고령군,일반외식업,7292533.0
2019,고령군,문화서비스,41116.0
2019,고령군,기타숙박,139013.0
2020,고령군,기타레저,128232.0
2021,고령군,육상운송,1.6505919E7
2021,고령군,대형쇼핑몰,25119.0
2021,고령군,기타숙박,105646.0
2022,고령군,캠핑장/펜션,46798.0
2022,고령군,기타숙박,129049.0
2022,고령군,레저용품쇼핑,63517.0
2022,고령군,기타관광쇼핑,1.5700476E7
2022,고령군,골프장,1.315427E7
2022,고령군,기타레저,273696.0
2022,고령군,문화서비스,51113.0
2022,고령군,육상운송,2.0093866E7
2022,고령군,대형쇼핑몰,24132.0
2022,고령군,뷰티,121135.0
2022,고령군,일반외식업,9514969.0
2022,고령군,제과음료업,1098437.0
2023,고령군,기타숙박,122226.0
2023,고령군,캠핑장/펜션,81288.0
2023,고령군,제과음료업,1450983.0
2024,고령군,제과음료업,1688276.0
2024,고령군,일반외식업,1.0810728E7
2024,고령군,기타관광쇼핑,1.8217139E7
2025,고령군,캠핑장/펜션,43820.0
2025,고령군,레저용품쇼핑,32259.0
2025,고령군,기타숙박,116277.0
2018,고령군,육상운송,1.5860397E7
2018,고령군,관광유원시설,52598.0
2018,고령군,일반외식업,6797533.0
2018,고령군,제과음료업,439029.0
2020,고령군,대형쇼핑몰,19425.0
2020,고령군,기타숙박,125820.0
2020,고령군,문화서비스,15028.0
2021,고령군,골프장,1.3121186E7
2021,고령군,레저용품쇼핑,135059.0
2021,고령군,기타레저,161243.0
2021,고령군,일반외식업,8622536.0
2021,고령군,호텔,3431.0
2021,고령군,문화서비스,15342.0
2021,고령군,제과음료업,829253.0
2023,고령군,문화서비스,53766.0
2023,고령군,대형쇼핑몰,14263.0
2023,고령군,뷰티,144525.0
2024,고령군,기타숙박,112711.0
2024,고령군,레저용품쇼핑,56109.0
2024,고령군,기타레저,360440.0
2024,고령군,육상운송,1.6248382E7
2024,고령군,캠핑장/펜션,53098.0
2019,고령군,기타관광쇼핑,1.3689555E7
2018,고령군,기타숙박,102207.0
2018,고령군,문화서비스,40650.0
2019,고령군,뷰티,85022.0
2019,고령군,골프장,5265972.0
2020,고령군,기타관광쇼핑,1.5420639E7
2025,고령군,기타관광쇼핑,1.8373764E7
2020,고령군,뷰티,81541.0
2021,고령군,기타관광쇼핑,1.6852175E7
2023,고령군,기타관광쇼핑,1.6851252E7
2025,고령군,제과음료업,1856421.0
2025,고령군,일반외식업,1.1328318E7
2021,고령군,뷰티,113504.0
2025,고령군,뷰티,119646.0
2019,고령군,관광유원시설,0.0
2022,고령군,호텔,0.0
