기초지자체명,중분류,소비액(천원),전년동기 소비액
포항시 남구,관광총소비,3.175734366E9,2.753251992E9
포항시 북구,관광총소비,3.700631936E9,3.189744311E9
경주시,관광총소비,6.605743423E9,5.677110897E9
안동시,관광총소비,2.04274739E9,1.77065693E9
영주시,관광총소비,9.3931503E8,8.17856361E8
상주시,관광총소비,1.215381235E9,1.065396694E9
문경시,관광총소비,1.630792138E9,1.404410821E9
경산시,관광총소비,3.578746401E9,3.116861057E9
청송군,관광총소비,3.8976595E8,3.36946902E8
영양군,관광총소비,8.6945814E7,7.6292632E7
고령군,관광총소비,4.17735328E8,3.59266158E8
성주군,관광총소비,1.483482584E9,1.28096436E9
봉화군,관광총소비,2.90039655E8,2.51411937E8
울진군,관광총소비,7.53529546E8,6.41721863E8
김천시,관광총소비,1.98696908E9,1.725360991E9
구미시,관광총소비,4.196800428E9,3.664304362E9
청도군,관광총소비,9.96360722E8,8.4736177E8
영천시,관광총소비,1.72868349E9,1.491498967E9
의성군,관광총소비,6.65223174E8,5.65331002E8
예천군,관광총소비,4.58251669E8,3.96935729E8
울릉군,관광총소비,2.27505663E8,1.94459104E8
칠곡군,관광총소비,3.829510418E9,3.3173495E9
영덕군,관광총소비,9.942592E8,8.39826736E8
