기준년월,기초지자체,중분류,소비액(천원)
2018,영암군,관광총소비,1.22867747E8
2019,영암군,관광총소비,1.28330887E8
2020,영암군,관광총소비,1.24406055E8
2021,영암군,관광총소비,1.44200704E8
2023,영암군,관광총소비,1.51400376E8
2024,영암군,관광총소비,1.4982088E8
2025,영암군,관광총소비,1.51459831E8
2022,영암군,관광총소비,1.735758E8
2018,영암군,기타숙박,1228113.0
2018,영암군,문화서비스,1773.0
2018,영암군,콘도,8802.0
2018,영암군,기타관광쇼핑,2.5817464E7
2018,영암군,캠핑장/펜션,107949.0
2018,영암군,기타레저,367095.0
2018,영암군,호텔,1559910.0
2018,영암군,골프장,5827400.0
2019,영암군,기타레저,437037.0
2019,영암군,육상운송,7.0205811E7
2019,영암군,여행업,2548.0
2019,영암군,제과음료업,1286160.0
2019,영암군,호텔,1977283.0
2019,영암군,뷰티,548429.0
2019,영암군,관광유원시설,125527.0
2019,영암군,대형쇼핑몰,807494.0
2019,영암군,레저용품쇼핑,793713.0
2019,영암군,캠핑장/펜션,110593.0
2020,영암군,대형쇼핑몰,804092.0
2020,영암군,호텔,1369957.0
2020,영암군,육상운송,5.9421297E7
2020,영암군,기타레저,527965.0
2020,영암군,골프장,1.0991312E7
2021,영암군,호텔,1608201.0
2021,영암군,문화서비스,142665.0
2021,영암군,제과음료업,1903594.0
2021,영암군,기타숙박,1318030.0
2021,영암군,골프장,1.6538602E7
2021,영암군,레저용품쇼핑,1061680.0
2023,영암군,골프장,1.348296E7
2023,영암군,제과음료업,2395890.0
2023,영암군,콘도,4291.0
2024,영암군,콘도,8312.0
2024,영암군,기타레저,613040.0
2024,영암군,육상운송,7.0818005E7
2024,영암군,뷰티,640553.0
2024,영암군,캠핑장/펜션,283544.0
2024,영암군,여행업,6201.0
2024,영암군,골프장,1.2978583E7
2024,영암군,문화서비스,108220.0
2025,영암군,골프장,1.1533075E7
2025,영암군,레저용품쇼핑,867512.0
2025,영암군,뷰티,632920.0
2018,영암군,뷰티,540691.0
2018,영암군,육상운송,6.795361E7
2018,영암군,관광유원시설,149259.0
2018,영암군,레저용품쇼핑,837024.0
2019,영암군,일반외식업,1.9248597E7
2019,영암군,콘도,6270.0
2019,영암군,기타숙박,1268066.0
2020,영암군,콘도,5409.0
2020,영암군,일반외식업,1.9772218E7
2021,영암군,육상운송,7.1219609E7
2021,영암군,대형쇼핑몰,826077.0
2021,영암군,기타레저,464424.0
2021,영암군,일반외식업,2.1087205E7
2022,영암군,호텔,1816817.0
2022,영암군,콘도,5964.0
2022,영암군,캠핑장/펜션,192255.0
2022,영암군,기타숙박,1469832.0
2022,영암군,레저용품쇼핑,864794.0
2022,영암군,기타관광쇼핑,2.8257758E7
2022,영암군,관광유원시설,83400.0
2022,영암군,골프장,1.8745899E7
2022,영암군,기타레저,551659.0
2022,영암군,문화서비스,123570.0
2022,영암군,뷰티,506696.0
2022,영암군,육상운송,9.4349355E7
2022,영암군,대형쇼핑몰,824755.0
2022,영암군,일반외식업,2.3546811E7
2022,영암군,제과음료업,2236237.0
2023,영암군,레저용품쇼핑,858036.0
2023,영암군,기타레저,693860.0
2023,영암군,기타관광쇼핑,3.0696167E7
2023,영암군,문화서비스,151151.0
2023,영암군,기타숙박,1562360.0
2025,영암군,호텔,1632407.0
2025,영암군,기타관광쇼핑,3.0202653E7
2025,영암군,기타레저,860001.0
2025,영암군,관광유원시설,205475.0
2025,영암군,제과음료업,2732465.0
2025,영암군,캠핑장/펜션,375404.0
2025,영암군,기타숙박,1387099.0
2025,영암군,콘도,8286.0
2025,영암군,문화서비스,117919.0
2018,영암군,대형쇼핑몰,900637.0
2018,영암군,제과음료업,1173480.0
2019,영암군,기타관광쇼핑,2.5597159E7
2020,영암군,문화서비스,82929.0
2020,영암군,뷰티,473595.0
2020,영암군,레저용품쇼핑,1085264.0
2020,영암군,기타관광쇼핑,2.7208859E7
2020,영암군,캠핑장/펜션,94162.0
2020,영암군,제과음료업,1473143.0
2020,영암군,기타숙박,1095853.0
2021,영암군,콘도,3597.0
2021,영암군,뷰티,457603.0
2021,영암군,기타관광쇼핑,2.7420003E7
2023,영암군,육상운송,7.1728271E7
2023,영암군,뷰티,613429.0
2023,영암군,일반외식업,2.5970699E7
2023,영암군,캠핑장/펜션,176187.0
2023,영암군,호텔,2111552.0
2024,영암군,호텔,1931841.0
2024,영암군,기타관광쇼핑,3.1158304E7
2024,영암군,레저용품쇼핑,934528.0
2024,영암군,기타숙박,1678467.0
2024,영암군,관광유원시설,156809.0
2024,영암군,대형쇼핑몰,911485.0
2019,영암군,문화서비스,1468.0
2021,영암군,캠핑장/펜션,149413.0
2019,영암군,골프장,5914731.0
2024,영암군,일반외식업,2.5018767E7
2025,영암군,육상운송,7.5420546E7
2025,영암군,대형쇼핑몰,932632.0
2018,영암군,일반외식업,1.6394542E7
2023,영암군,관광유원시설,133758.0
2023,영암군,대형쇼핑몰,821766.0
2024,영암군,제과음료업,2574221.0
2025,영암군,일반외식업,2.4551438E7
2020,영암군,여행업,0.0
2020,영암군,관광유원시설,0.0
2025,영암군,여행업,0.0
