기준년월,기초지자체,중분류,소비액(천원)
2018,평창군,관광총소비,2.44184022E8
2019,평창군,관광총소비,2.711809E8
2020,평창군,관광총소비,2.57563107E8
2021,평창군,관광총소비,2.86295732E8
2022,평창군,관광총소비,3.29700592E8
2023,평창군,관광총소비,3.25232124E8
2024,평창군,관광총소비,3.25311905E8
2025,평창군,관광총소비,3.16110389E8
2018,평창군,육상운송,4.9843764E7
2018,평창군,관광유원시설,343004.0
2018,평창군,제과음료업,3319901.0
2018,평창군,면세점,7746.0
2018,평창군,뷰티,708597.0
2019,평창군,여행업,110081.0
2019,평창군,제과음료업,4702628.0
2019,평창군,호텔,6.3022534E7
2019,평창군,관광유원시설,354613.0
2019,평창군,콘도,4540651.0
2019,평창군,골프장,8553500.0
2019,평창군,레저용품쇼핑,3882547.0
2019,평창군,캠핑장/펜션,810677.0
2019,평창군,기타관광쇼핑,4.3470134E7
2019,평창군,기타숙박,3460777.0
2019,평창군,기타레저,1.1060392E7
2020,평창군,골프장,1.0065744E7
2020,평창군,관광유원시설,270553.0
2020,평창군,대형쇼핑몰,232075.0
2020,평창군,호텔,5.3656672E7
2020,평창군,문화서비스,124214.0
2020,평창군,뷰티,616666.0
2020,평창군,레저용품쇼핑,3391493.0
2020,평창군,기타관광쇼핑,4.6985884E7
2020,평창군,렌터카,39019.0
2021,평창군,렌터카,12965.0
2021,평창군,기타레저,8566830.0
2021,평창군,골프장,1.1858989E7
2022,평창군,호텔,7.8868384E7
2022,평창군,콘도,1545922.0
2022,평창군,캠핑장/펜션,898848.0
2022,평창군,기타숙박,3294610.0
2022,평창군,여행업,26920.0
2022,평창군,렌터카,27511.0
2022,평창군,레저용품쇼핑,3994500.0
2022,평창군,기타관광쇼핑,5.9101506E7
2022,평창군,관광유원시설,251434.0
2022,평창군,골프장,1.6165969E7
2022,평창군,스키장,3563722.0
2022,평창군,기타레저,8070446.0
2022,평창군,문화서비스,50153.0
2022,평창군,육상운송,4.984725E7
2022,평창군,대형쇼핑몰,29405.0
2022,평창군,뷰티,686664.0
2022,평창군,일반외식업,9.6011967E7
2022,평창군,제과음료업,7265383.0
2023,평창군,관광유원시설,178796.0
2023,평창군,대형쇼핑몰,23340.0
2023,평창군,스키장,6408140.0
2023,평창군,골프장,1.6481114E7
2023,평창군,콘도,122740.0
2023,평창군,기타숙박,2498694.0
2024,평창군,기타레저,6444684.0
2024,평창군,제과음료업,8261805.0
2024,평창군,일반외식업,1.0087038E8
2024,평창군,캠핑장/펜션,712210.0
2024,평창군,문화서비스,115594.0
2024,평창군,육상운송,3.7199712E7
2024,평창군,관광유원시설,298355.0
2024,평창군,대형쇼핑몰,35797.0
2025,평창군,콘도,202709.0
2025,평창군,렌터카,44569.0
2025,평창군,문화서비스,189424.0
2025,평창군,캠핑장/펜션,647763.0
2025,평창군,관광유원시설,525278.0
2025,평창군,육상운송,4.1975784E7
2025,평창군,대형쇼핑몰,27607.0
2025,평창군,골프장,1.4651825E7
2018,평창군,기타관광쇼핑,4.1905698E7
2018,평창군,캠핑장/펜션,1068408.0
2018,평창군,렌터카,66463.0
2018,평창군,기타레저,8538253.0
2019,평창군,대형쇼핑몰,224952.0
2019,평창군,렌터카,77619.0
2019,평창군,문화서비스,143147.0
2020,평창군,캠핑장/펜션,720934.0
2020,평창군,콘도,3704979.0
2020,평창군,일반외식업,7.6953406E7
2021,평창군,문화서비스,42175.0
2021,평창군,뷰티,662964.0
2021,평창군,육상운송,5.4732091E7
2023,평창군,뷰티,858646.0
2023,평창군,일반외식업,1.00754708E8
2023,평창군,렌터카,35384.0
2023,평창군,기타관광쇼핑,6.0588242E7
2023,평창군,문화서비스,137515.0
2023,평창군,육상운송,3.4450093E7
2023,평창군,레저용품쇼핑,3984172.0
2023,평창군,기타레저,6302086.0
2024,평창군,콘도,139140.0
2024,평창군,호텔,8.3497035E7
2025,평창군,여행업,32107.0
2025,평창군,레저용품쇼핑,3647041.0
2025,평창군,스키장,3682328.0
2025,평창군,호텔,7.5685128E7
2025,평창군,기타관광쇼핑,5.8120751E7
2025,평창군,기타레저,6756272.0
2025,평창군,제과음료업,8590993.0
2025,평창군,일반외식업,9.8114247E7
2018,평창군,일반외식업,6.9905864E7
2018,평창군,콘도,4321629.0
2020,평창군,제과음료업,5313793.0
2020,평창군,기타숙박,3281223.0
2020,평창군,기타레저,9197572.0
2020,평창군,여행업,36355.0
2021,평창군,레저용품쇼핑,3022116.0
2021,평창군,기타숙박,3856527.0
2021,평창군,콘도,4480644.0
2021,평창군,캠핑장/펜션,843945.0
2021,평창군,여행업,10842.0
2023,평창군,호텔,8.4292607E7
2023,평창군,캠핑장/펜션,797309.0
2023,평창군,여행업,17477.0
2024,평창군,여행업,11111.0
2024,평창군,스키장,4907141.0
2024,평창군,골프장,1.5683386E7
2024,평창군,기타숙박,2385517.0
2024,평창군,렌터카,89845.0
2025,평창군,뷰티,931993.0
2018,평창군,레저용품쇼핑,3967294.0
2019,평창군,육상운송,4.6966763E7
2019,평창군,뷰티,648893.0
2019,평창군,일반외식업,7.9150992E7
2020,평창군,육상운송,4.2972526E7
2021,평창군,기타관광쇼핑,5.2841672E7
2021,평창군,관광유원시설,228123.0
2021,평창군,대형쇼핑몰,66590.0
2023,평창군,제과음료업,7301062.0
2024,평창군,뷰티,933362.0
2018,평창군,여행업,17462.0
2018,평창군,호텔,4.8708968E7
2018,평창군,골프장,8703007.0
2018,평창군,기타숙박,2379196.0
2018,평창군,문화서비스,86509.0
2021,평창군,일반외식업,7.9775644E7
2021,평창군,호텔,5.9376797E7
2024,평창군,레저용품쇼핑,3908808.0
2024,평창군,기타관광쇼핑,5.9818024E7
2025,평창군,기타숙박,2284570.0
2018,평창군,대형쇼핑몰,292259.0
2021,평창군,제과음료업,5916818.0
2019,평창군,면세점,0.0
