기준년월,기초지자체,방문자 구분,방문자 수
2018,장흥군,외지인방문자(b),4616252.0
2018,장흥군,전체방문자(a+b),1.174965E7
2018,장흥군,현지인방문자(a),7133399.0
2019,장흥군,외지인방문자(b),4712208.0
2019,장흥군,전체방문자(a+b),1.226994E7
2019,장흥군,현지인방문자(a),7557732.0
2020,장흥군,외지인방문자(b),4404072.0
2020,장흥군,전체방문자(a+b),1.2369565E7
2020,장흥군,현지인방문자(a),7965492.0
2021,장흥군,외지인방문자(b),4685838.0
2021,장흥군,전체방문자(a+b),1.345751E7
2021,장흥군,현지인방문자(a),8771672.0
2022,장흥군,외지인방문자(b),5271406.0
2022,장흥군,전체방문자(a+b),1.4187926E7
2022,장흥군,현지인방문자(a),8916520.0
2023,장흥군,외지인방문자(b),5466146.0
2023,장흥군,전체방문자(a+b),1.4808094E7
2023,장흥군,현지인방문자(a),9341948.0
2024,장흥군,외지인방문자(b),5383088.0
2024,장흥군,전체방문자(a+b),1.4655893E7
2024,장흥군,현지인방문자(a),9272806.0
2025,장흥군,외지인방문자(b),5534736.0
2025,장흥군,전체방문자(a+b),1.4996338E7
2025,장흥군,현지인방문자(a),9461602.0
