기준년월,기초지자체,방문자 구분,방문자 수
2018,임실군,외지인방문자(b),4981442.0
2018,임실군,전체방문자(a+b),7400134.0
2018,임실군,현지인방문자(a),2418692.0
2019,임실군,외지인방문자(b),6440147.0
2019,임실군,전체방문자(a+b),9194241.0
2019,임실군,현지인방문자(a),2754094.0
2020,임실군,외지인방문자(b),6412108.0
2020,임실군,전체방문자(a+b),9388336.0
2020,임실군,현지인방문자(a),2976228.0
2021,임실군,외지인방문자(b),7329430.0
2021,임실군,전체방문자(a+b),1.0762885E7
2021,임실군,현지인방문자(a),3433454.0
2022,임실군,외지인방문자(b),8092476.0
2022,임실군,전체방문자(a+b),1.1690007E7
2022,임실군,현지인방문자(a),3597531.0
2023,임실군,외지인방문자(b),8522745.0
2023,임실군,전체방문자(a+b),1.2348259E7
2023,임실군,현지인방문자(a),3825514.0
2024,임실군,외지인방문자(b),8875772.0
2024,임실군,전체방문자(a+b),1.2922259E7
2024,임실군,현지인방문자(a),4046486.0
2025,임실군,외지인방문자(b),9183132.0
2025,임실군,전체방문자(a+b),1.3317238E7
2025,임실군,현지인방문자(a),4134106.0
