기준년월,기초지자체,방문자 구분,방문자 수
2018,연천군,외지인방문자(b),6620887.0
2018,연천군,전체방문자(a+b),1.451533E7
2018,연천군,현지인방문자(a),7894442.0
2019,연천군,외지인방문자(b),7784830.0
2019,연천군,전체방문자(a+b),1.5882674E7
2019,연천군,현지인방문자(a),8097845.0
2020,연천군,외지인방문자(b),8224069.0
2020,연천군,전체방문자(a+b),1.7705572E7
2020,연천군,현지인방문자(a),9481504.0
2021,연천군,외지인방문자(b),8699565.0
2021,연천군,전체방문자(a+b),1.8552936E7
2021,연천군,현지인방문자(a),9853372.0
2022,연천군,외지인방문자(b),9014352.0
2022,연천군,전체방문자(a+b),1.9330143E7
2022,연천군,현지인방문자(a),1.0315792E7
2023,연천군,외지인방문자(b),9125529.0
2023,연천군,전체방문자(a+b),1.8929768E7
2023,연천군,현지인방문자(a),9804238.0
2024,연천군,외지인방문자(b),9304900.0
2024,연천군,전체방문자(a+b),1.9219756E7
2024,연천군,현지인방문자(a),9914856.0
2025,연천군,외지인방문자(b),9108421.0
2025,연천군,전체방문자(a+b),1.8864926E7
2025,연천군,현지인방문자(a),9756506.0
