기초지자체,방문자 수
수원시 장안구,2.98710727E8
수원시 권선구,3.35179572E8
수원시 팔달구,5.05697059E8
수원시 영통구,4.39153012E8
성남시 수정구,3.1588521E8
성남시 중원구,2.11301979E8
성남시 분당구,6.80716298E8
의정부시,3.32794273E8
안양시 만안구,2.4916311E8
안양시 동안구,3.25624492E8
광명시,3.15989793E8
평택시,3.59000957E8
동두천시,7.6039075E7
안산시 상록구,2.27988282E8
안산시 단원구,4.11219263E8
고양시 덕양구,4.87216502E8
고양시 일산동구,4.73782925E8
고양시 일산서구,3.31815876E8
과천시,1.54797156E8
구리시,3.51258929E8
남양주시,5.49436706E8
오산시,2.16622777E8
시흥시,4.19820639E8
군포시,2.02127978E8
의왕시,2.15969887E8
하남시,4.20956725E8
용인시 처인구,3.61397782E8
용인시 기흥구,4.56467186E8
용인시 수지구,2.80419786E8
파주시,4.03872203E8
이천시,2.96030861E8
안성시,2.72952288E8
김포시,3.95831062E8
광주시,3.68770972E8
양주시,2.5359151E8
포천시,2.20316873E8
여주시,2.03577924E8
연천군,6.7882552E7
가평군,2.05657756E8
양평군,2.44873741E8
부천시 원미구,1.29871158E8
부천시 소사구,5.80071E7
부천시 오정구,4.152498E7
