기준년월,기초지자체,방문자 구분,방문자 수
2018,진안군,외지인방문자(b),4120599.0
2018,진안군,전체방문자(a+b),6412290.0
2018,진안군,현지인방문자(a),2291692.0
2019,진안군,외지인방문자(b),4300240.0
2019,진안군,전체방문자(a+b),6870552.0
2019,진안군,현지인방문자(a),2570312.0
2020,진안군,외지인방문자(b),4201730.0
2020,진안군,전체방문자(a+b),7366188.0
2020,진안군,현지인방문자(a),3164458.0
2021,진안군,외지인방문자(b),4480966.0
2021,진안군,전체방문자(a+b),8030908.0
2021,진안군,현지인방문자(a),3549942.0
2022,진안군,외지인방문자(b),4713912.0
2022,진안군,전체방문자(a+b),8234720.0
2022,진안군,현지인방문자(a),3520808.0
2023,진안군,외지인방문자(b),4805840.0
2023,진안군,전체방문자(a+b),8464869.0
2023,진안군,현지인방문자(a),3659030.0
2024,진안군,외지인방문자(b),4794066.0
2024,진안군,전체방문자(a+b),8437292.0
2024,진안군,현지인방문자(a),3643227.0
2025,진안군,외지인방문자(b),5015686.0
2025,진안군,전체방문자(a+b),8675261.0
2025,진안군,현지인방문자(a),3659576.0
