기준년월,기초지자체,방문자 구분,방문자 수
2018,보성군,외지인방문자(b),6232930.0
2018,보성군,전체방문자(a+b),1.172928E7
2018,보성군,현지인방문자(a),5496351.0
2019,보성군,외지인방문자(b),6576059.0
2019,보성군,전체방문자(a+b),1.234038E7
2019,보성군,현지인방문자(a),5764322.0
2020,보성군,외지인방문자(b),6007506.0
2020,보성군,전체방문자(a+b),1.2075144E7
2020,보성군,현지인방문자(a),6067638.0
2021,보성군,외지인방문자(b),6381560.0
2021,보성군,전체방문자(a+b),1.3213176E7
2021,보성군,현지인방문자(a),6831615.0
2022,보성군,외지인방문자(b),7043032.0
2022,보성군,전체방문자(a+b),1.4090156E7
2022,보성군,현지인방문자(a),7047124.0
2023,보성군,외지인방문자(b),7275926.0
2023,보성군,전체방문자(a+b),1.470547E7
2023,보성군,현지인방문자(a),7429544.0
2024,보성군,외지인방문자(b),6985545.0
2024,보성군,전체방문자(a+b),1.4362204E7
2024,보성군,현지인방문자(a),7376660.0
2025,보성군,외지인방문자(b),7306764.0
2025,보성군,전체방문자(a+b),1.4988918E7
2025,보성군,현지인방문자(a),7682154.0
