기준년월,기초지자체,방문자 구분,방문자 수
2018,울주군,외지인방문자(b),2.8682976E7
2018,울주군,전체방문자(a+b),6.651757E7
2018,울주군,현지인방문자(a),3.7834594E7
2019,울주군,외지인방문자(b),2.918923E7
2019,울주군,전체방문자(a+b),6.6992384E7
2019,울주군,현지인방문자(a),3.7803154E7
2020,울주군,외지인방문자(b),2.8910665E7
2020,울주군,전체방문자(a+b),6.7510516E7
2020,울주군,현지인방문자(a),3.8599852E7
2021,울주군,외지인방문자(b),2.9605216E7
2021,울주군,전체방문자(a+b),6.9553824E7
2021,울주군,현지인방문자(a),3.9948608E7
2022,울주군,외지인방문자(b),3.304525E7
2022,울주군,전체방문자(a+b),7.8028545E7
2022,울주군,현지인방문자(a),4.4983295E7
2023,울주군,외지인방문자(b),3.4571562E7
2023,울주군,전체방문자(a+b),8.1628984E7
2023,울주군,현지인방문자(a),4.7057423E7
2024,울주군,외지인방문자(b),3.5822087E7
2024,울주군,전체방문자(a+b),8.2332016E7
2024,울주군,현지인방문자(a),4.6509928E7
2025,울주군,외지인방문자(b),3.8923062E7
2025,울주군,전체방문자(a+b),8.8830094E7
2025,울주군,현지인방문자(a),4.9907032E7
