기준년월,기초지자체,방문자 구분,방문자 수
2018,순창군,외지인방문자(b),3947674.0
2018,순창군,전체방문자(a+b),6846154.0
2018,순창군,현지인방문자(a),2898480.0
2019,순창군,외지인방문자(b),4196878.0
2019,순창군,전체방문자(a+b),7302862.0
2019,순창군,현지인방문자(a),3105984.0
2020,순창군,외지인방문자(b),4040564.0
2020,순창군,전체방문자(a+b),7459210.0
2020,순창군,현지인방문자(a),3418646.0
2021,순창군,외지인방문자(b),4421498.0
2021,순창군,전체방문자(a+b),8200224.0
2021,순창군,현지인방문자(a),3778726.0
2022,순창군,외지인방문자(b),4987230.0
2022,순창군,전체방문자(a+b),8995248.0
2022,순창군,현지인방문자(a),4008018.0
2023,순창군,외지인방문자(b),5067419.0
2023,순창군,전체방문자(a+b),9373343.0
2023,순창군,현지인방문자(a),4305924.0
2024,순창군,외지인방문자(b),4857646.0
2024,순창군,전체방문자(a+b),8805282.0
2024,순창군,현지인방문자(a),3947636.0
2025,순창군,외지인방문자(b),4986608.0
2025,순창군,전체방문자(a+b),8997030.0
2025,순창군,현지인방문자(a),4010422.0
