기준년월,기초지자체,방문자 구분,방문자 수
2018,음성군,외지인방문자(b),1.4875956E7
2018,음성군,전체방문자(a+b),3.2481362E7
2018,음성군,현지인방문자(a),1.7605406E7
2019,음성군,외지인방문자(b),1.5412828E7
2019,음성군,전체방문자(a+b),3.4072244E7
2019,음성군,현지인방문자(a),1.8659417E7
2020,음성군,외지인방문자(b),1.471372E7
2020,음성군,전체방문자(a+b),3.401482E7
2020,음성군,현지인방문자(a),1.93011E7
2021,음성군,외지인방문자(b),1.5154209E7
2021,음성군,전체방문자(a+b),3.5898275E7
2021,음성군,현지인방문자(a),2.0744066E7
2022,음성군,외지인방문자(b),1.9141188E7
2022,음성군,전체방문자(a+b),4.2716958E7
2022,음성군,현지인방문자(a),2.3575769E7
2023,음성군,외지인방문자(b),1.894088E7
2023,음성군,전체방문자(a+b),4.204563E7
2023,음성군,현지인방문자(a),2.310475E7
2024,음성군,외지인방문자(b),1.7800198E7
2024,음성군,전체방문자(a+b),3.987159E7
2024,음성군,현지인방문자(a),2.2071392E7
2025,음성군,외지인방문자(b),1.9137626E7
2025,음성군,전체방문자(a+b),4.2648921E7
2025,음성군,현지인방문자(a),2.3511296E7
