기준년월,기초지자체,방문자 구분,방문자 수
2018,고령군,외지인방문자(b),4988361.0
2018,고령군,전체방문자(a+b),9452408.0
2018,고령군,현지인방문자(a),4464047.0
2019,고령군,외지인방문자(b),5232266.0
2019,고령군,전체방문자(a+b),9762683.0
2019,고령군,현지인방문자(a),4530418.0
2020,고령군,외지인방문자(b),5499742.0
2020,고령군,전체방문자(a+b),1.024246E7
2020,고령군,현지인방문자(a),4742717.0
2021,고령군,외지인방문자(b),5947232.0
2021,고령군,전체방문자(a+b),1.0932782E7
2021,고령군,현지인방문자(a),4985550.0
2022,고령군,외지인방문자(b),6117394.0
2022,고령군,전체방문자(a+b),1.1288382E7
2022,고령군,현지인방문자(a),5170988.0
2023,고령군,외지인방문자(b),6172537.0
2023,고령군,전체방문자(a+b),1.1685156E7
2023,고령군,현지인방문자(a),5512619.0
2024,고령군,외지인방문자(b),6223000.0
2024,고령군,전체방문자(a+b),1.1488054E7
2024,고령군,현지인방문자(a),5265054.0
2025,고령군,외지인방문자(b),6465302.0
2025,고령군,전체방문자(a+b),1.225435E7
2025,고령군,현지인방문자(a),5789049.0
