기준년월,기초지자체,방문자 구분,방문자 수
2018,영암군,외지인방문자(b),8842855.0
2018,영암군,전체방문자(a+b),1.8715554E7
2018,영암군,현지인방문자(a),9872698.0
2019,영암군,외지인방문자(b),9244526.0
2019,영암군,전체방문자(a+b),1.9751018E7
2019,영암군,현지인방문자(a),1.0506492E7
2020,영암군,외지인방문자(b),8985748.0
2020,영암군,전체방문자(a+b),2.0143374E7
2020,영암군,현지인방문자(a),1.1157626E7
2021,영암군,외지인방문자(b),9770397.0
2021,영암군,전체방문자(a+b),2.2385976E7
2021,영암군,현지인방문자(a),1.2615578E7
2022,영암군,외지인방문자(b),1.0405171E7
2022,영암군,전체방문자(a+b),2.3202358E7
2022,영암군,현지인방문자(a),1.2797186E7
2023,영암군,외지인방문자(b),1.0479021E7
2023,영암군,전체방문자(a+b),2.3348507E7
2023,영암군,현지인방문자(a),1.2869486E7
2024,영암군,외지인방문자(b),1.0373447E7
2024,영암군,전체방문자(a+b),2.2778056E7
2024,영암군,현지인방문자(a),1.2404609E7
2025,영암군,외지인방문자(b),1.0672462E7
2025,영암군,전체방문자(a+b),2.4007732E7
2025,영암군,현지인방문자(a),1.333527E7
