기준년월,기초지자체,방문자 구분,방문자 수
2018,평창군,외지인방문자(b),1.496062E7
2018,평창군,전체방문자(a+b),2.3990939E7
2018,평창군,현지인방문자(a),9030318.0
2019,평창군,외지인방문자(b),1.4051832E7
2019,평창군,전체방문자(a+b),2.2259576E7
2019,평창군,현지인방문자(a),8207745.0
2020,평창군,외지인방문자(b),1.3619837E7
2020,평창군,전체방문자(a+b),2.273096E7
2020,평창군,현지인방문자(a),9111123.0
2021,평창군,외지인방문자(b),1.524685E7
2021,평창군,전체방문자(a+b),2.5337938E7
2021,평창군,현지인방문자(a),1.0091088E7
2022,평창군,외지인방문자(b),1.701811E7
2022,평창군,전체방문자(a+b),2.7922388E7
2022,평창군,현지인방문자(a),1.0904278E7
2023,평창군,외지인방문자(b),1.7665613E7
2023,평창군,전체방문자(a+b),2.9225374E7
2023,평창군,현지인방문자(a),1.1559762E7
2024,평창군,외지인방문자(b),1.7309016E7
2024,평창군,전체방문자(a+b),2.9150762E7
2024,평창군,현지인방문자(a),1.1841746E7
2025,평창군,외지인방문자(b),1.7450391E7
2025,평창군,전체방문자(a+b),2.9493754E7
2025,평창군,현지인방문자(a),1.2043364E7
