기준년월,기초지자체,방문자 구분,방문자 수
2018,정선군,외지인방문자(b),9008307.0
2018,정선군,전체방문자(a+b),1.6776868E7
2018,정선군,현지인방문자(a),7768562.0
2019,정선군,외지인방문자(b),8981256.0
2019,정선군,전체방문자(a+b),1.639694E7
2019,정선군,현지인방문자(a),7415684.0
2020,정선군,외지인방문자(b),6518141.0
2020,정선군,전체방문자(a+b),1.4231256E7
2020,정선군,현지인방문자(a),7713114.0
2021,정선군,외지인방문자(b),6932818.0
2021,정선군,전체방문자(a+b),1.5276226E7
2021,정선군,현지인방문자(a),8343408.0
2022,정선군,외지인방문자(b),8999826.0
2022,정선군,전체방문자(a+b),1.8036414E7
2022,정선군,현지인방문자(a),9036587.0
2023,정선군,외지인방문자(b),9877122.0
2023,정선군,전체방문자(a+b),1.9161261E7
2023,정선군,현지인방문자(a),9284138.0
2024,정선군,외지인방문자(b),9916344.0
2024,정선군,전체방문자(a+b),1.9414546E7
2024,정선군,현지인방문자(a),9498202.0
2025,정선군,외지인방문자(b),1.0187373E7
2025,정선군,전체방문자(a+b),1.9842294E7
2025,정선군,현지인방문자(a),9654922.0
