기준년월,기초지자체,방문자 구분,방문자 수
2018,서천군,외지인방문자(b),8256532.0
2018,서천군,전체방문자(a+b),1.896063E7
2018,서천군,현지인방문자(a),1.0704099E7
2019,서천군,외지인방문자(b),9153644.0
2019,서천군,전체방문자(a+b),2.0379534E7
2019,서천군,현지인방문자(a),1.122589E7
2020,서천군,외지인방문자(b),8942696.0
2020,서천군,전체방문자(a+b),2.1237167E7
2020,서천군,현지인방문자(a),1.2294471E7
2021,서천군,외지인방문자(b),9067366.0
2021,서천군,전체방문자(a+b),2.2049846E7
2021,서천군,현지인방문자(a),1.298248E7
2022,서천군,외지인방문자(b),1.0108392E7
2022,서천군,전체방문자(a+b),2.3649252E7
2022,서천군,현지인방문자(a),1.354086E7
2023,서천군,외지인방문자(b),1.0723223E7
2023,서천군,전체방문자(a+b),2.399018E7
2023,서천군,현지인방문자(a),1.3266956E7
2024,서천군,외지인방문자(b),1.0570476E7
2024,서천군,전체방문자(a+b),2.421721E7
2024,서천군,현지인방문자(a),1.3646734E7
2025,서천군,외지인방문자(b),1.1119518E7
2025,서천군,전체방문자(a+b),2.4465665E7
2025,서천군,현지인방문자(a),1.3346148E7
