기준년월,기초지자체,방문자 구분,방문자 수
2018,화성시,외지인방문자(b),8.3008779E7
2018,화성시,전체방문자(a+b),1.95516352E8
2018,화성시,현지인방문자(a),1.12507574E8
2019,화성시,외지인방문자(b),8.9546646E7
2019,화성시,전체방문자(a+b),2.04620801E8
2019,화성시,현지인방문자(a),1.15074155E8
2020,화성시,외지인방문자(b),8.6102874E7
2020,화성시,전체방문자(a+b),2.20852104E8
2020,화성시,현지인방문자(a),1.3474923E8
2021,화성시,외지인방문자(b),9.0607674E7
2021,화성시,전체방문자(a+b),2.37629556E8
2021,화성시,현지인방문자(a),1.47021882E8
2022,화성시,외지인방문자(b),9.7596646E7
2022,화성시,전체방문자(a+b),2.64538334E8
2022,화성시,현지인방문자(a),1.66941688E8
2023,화성시,외지인방문자(b),9.9817662E7
2023,화성시,전체방문자(a+b),2.77365382E8
2023,화성시,현지인방문자(a),1.7754772E8
2024,화성시,외지인방문자(b),9.8212464E7
2024,화성시,전체방문자(a+b),2.80245312E8
2024,화성시,현지인방문자(a),1.82032848E8
2025,화성시,외지인방문자(b),1.04112312E8
2025,화성시,전체방문자(a+b),3.0141551E8
2025,화성시,현지인방문자(a),1.97303197E8
