기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
기배동,1.1130256E7,1.3
남양읍,5.8782804E7,7.0
동탄1동,7.853887E7,9.3
동탄2동,1.7476448E7,2.1
동탄3동,1.3873696E7,1.6
동탄4동,1.3274202E7,1.6
동탄5동,3.2610403E7,3.9
동탄6동,7.5098446E7,8.9
동탄7동,3.1430315E7,3.7
동탄8동,1.3863594E7,1.6
동탄9동,3559468.0,0.4
마도면,1.4651098E7,1.7
매송면,1.977493E7,2.3
반월동,3.0147086E7,3.6
병점1동,1.6595652E7,2.0
병점2동,6449331.0,0.8
봉담읍,6.3355954E7,7.5
비봉면,1.4656992E7,1.7
새솔동,4874940.0,0.6
서신면,3.7457994E7,4.4
송산면,3.1470379E7,3.7
양감면,1.5018938E7,1.8
우정읍,2.5056742E7,3.0
장안면,1.9800466E7,2.3
정남면,2.8117852E7,3.3
진안동,3.3505199E7,4.0
팔탄면,5.60768E7,6.6
향남읍,5.4534462E7,6.5
화산동,2.3642048E7,2.8
