기준년월,기초지자체,방문자 구분,방문자 수
2018,서산시,외지인방문자(b),1.7180989E7
2018,서산시,전체방문자(a+b),4.9288264E7
2018,서산시,현지인방문자(a),3.2107274E7
2019,서산시,외지인방문자(b),1.8163078E7
2019,서산시,전체방문자(a+b),5.2144799E7
2019,서산시,현지인방문자(a),3.398172E7
2020,서산시,외지인방문자(b),1.7158544E7
2020,서산시,전체방문자(a+b),5.2526372E7
2020,서산시,현지인방문자(a),3.5367829E7
2021,서산시,외지인방문자(b),1.7729996E7
2021,서산시,전체방문자(a+b),5.5530216E7
2021,서산시,현지인방문자(a),3.780022E7
2022,서산시,외지인방문자(b),1.8311958E7
2022,서산시,전체방문자(a+b),5.6545321E7
2022,서산시,현지인방문자(a),3.8233363E7
2023,서산시,외지인방문자(b),1.8517814E7
2023,서산시,전체방문자(a+b),5.7777258E7
2023,서산시,현지인방문자(a),3.9259444E7
2024,서산시,외지인방문자(b),1.7856293E7
2024,서산시,전체방문자(a+b),5.629294E7
2024,서산시,현지인방문자(a),3.8436646E7
2025,서산시,외지인방문자(b),1.8388262E7
2025,서산시,전체방문자(a+b),5.6511844E7
2025,서산시,현지인방문자(a),3.8123582E7
